P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
13087407,13087404,13087564,13087771,13087508,13087402,13087486,13087426,13087558,13087862,,1. Locate the player you want to select in the list below ,,,,,,,,
13087407,13087404,13087564,13087419,13087523,13087483,13087486,13087558,13087658,13087862,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13087407,13087404,13087470,13087419,13087508,13087483,13087607,13087426,13087558,13087422,,3. Paste the ID into the roster position desired ,,,,,,,,
13087407,13087404,13087439,13087419,13087508,13087402,13087697,13087426,13087558,13087519,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13087407,13087805,13087564,13087771,13087523,13087483,13087486,13087426,13087558,13087744,,5. You can create up to 500 lineups per file ,,,,,,,,
13087407,13087404,13087538,13087771,13087523,13087493,13087486,13087558,13087422,13087862,,,,,,,,,,
13087407,13087404,13087538,13087573,13087414,13087412,13087697,13087558,13087481,13087744,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13087407,13087404,13087538,13087419,13087508,13087402,13087466,13087422,13087519,13087744,,SP,Max Scherzer (13087405),Max Scherzer,13087405,P,12800,WAS@SF 08/06/2019 09:45PM ET,WAS,26.68
13087407,13087404,13087470,13087521,13087414,13087483,13087697,13087426,13087422,13087658,,SP,Clayton Kershaw (13087404),Clayton Kershaw,13087404,P,11800,STL@LAD 08/06/2019 10:10PM ET,LAD,21.27
13087407,13087404,13087564,13087771,13087523,13087412,13087697,13087558,13087862,13087481,,SP,Stephen Strasburg (13087488),Stephen Strasburg,13087488,P,11600,WAS@SF 08/06/2019 09:45PM ET,WAS,21.42
13087407,13087404,13087462,13087573,13087523,13087402,13087486,13087558,13087862,13087511,,SP,Walker Buehler (13087709),Walker Buehler,13087709,P,10900,STL@LAD 08/06/2019 10:10PM ET,LAD,22.41
13087407,13087404,13087387,13087573,13087502,13087479,13087659,13087426,13087658,13087777,,SP,Patrick Corbin (13087492),Patrick Corbin,13087492,P,10800,WAS@SF 08/06/2019 09:45PM ET,WAS,20.82
13087407,13087404,13087538,13087521,13087523,13087483,13087607,13087426,13087422,13087481,,SP,Robbie Ray (13087575),Robbie Ray,13087575,P,10400,PHI@ARI 08/06/2019 09:40PM ET,ARI,19.64
13087437,13087404,13087564,13087771,13087778,13087412,13087486,13087558,13087494,13087862,,SP,Rich Hill (13087368),Rich Hill,13087368,P,10300,STL@LAD 08/06/2019 10:10PM ET,LAD,19.06
13087407,13087404,13087822,13087524,13087414,13087412,13087697,13087426,13087558,13087862,,SP,Aaron Nola (13087662),Aaron Nola,13087662,P,10100,PHI@ARI 08/06/2019 09:40PM ET,PHI,19.09
13087407,13087404,13087439,13087419,13087508,13087483,13087466,13087558,13087744,13087614,,SP,Garrett Richards (13087491),Garrett Richards,13087491,P,9900,SD@SEA 08/06/2019 10:10PM ET,SD,0
13087407,13087404,13087538,13087638,13087523,13087483,13087739,13087558,13087658,13087533,,SP,Carlos Martinez (13087557),Carlos Martinez,13087557,P,9700,STL@LAD 08/06/2019 10:10PM ET,STL,3.35
13087404,13087805,13087644,13087573,13087778,13087402,13087560,13087426,13087494,13087833,,SP,Chris Paddack (13087841),Chris Paddack,13087841,P,9600,SD@SEA 08/06/2019 10:10PM ET,SD,18.26
13087407,13087404,13087564,13087524,13087508,13087402,13087466,13087558,13087519,13087614,,SP,Alex Reyes (13087763),Alex Reyes,13087763,P,9200,STL@LAD 08/06/2019 10:10PM ET,STL,-1.51
13087407,13087805,13087564,13087524,13087523,13087479,13087486,13087558,13087422,13087511,,SP,Taylor Widener (13087876),Taylor Widener,13087876,P,8700,PHI@ARI 08/06/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Johnny Cueto (13087399),Johnny Cueto,13087399,P,8700,WAS@SF 08/06/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,Jeff Samardzija (13087410),Jeff Samardzija,13087410,P,8700,WAS@SF 08/06/2019 09:45PM ET,SF,14.8
,,,,,,,,,,,SP,Jack Flaherty (13087781),Jack Flaherty,13087781,P,8600,STL@LAD 08/06/2019 10:10PM ET,STL,14.66
,,,,,,,,,,,SP,Yadier Alvarez (13087816),Yadier Alvarez,13087816,P,8600,STL@LAD 08/06/2019 10:10PM ET,LAD,0
,,,,,,,,,,,SP,Luke Weaver (13087664),Luke Weaver,13087664,P,8500,PHI@ARI 08/06/2019 09:40PM ET,ARI,17.25
,,,,,,,,,,,SP,Daniel Ponce de Leon (13087586),Daniel Ponce de Leon,13087586,P,8500,STL@LAD 08/06/2019 10:10PM ET,STL,11.89
,,,,,,,,,,,SP,Dinelson Lamet (13087805),Dinelson Lamet,13087805,P,8500,SD@SEA 08/06/2019 10:10PM ET,SD,13.19
,,,,,,,,,,,SP,Mike Leake (13087413),Mike Leake,13087413,P,8400,PHI@ARI 08/06/2019 09:40PM ET,ARI,14.37
,,,,,,,,,,,SP,Taijuan Walker (13087562),Taijuan Walker,13087562,P,8400,PHI@ARI 08/06/2019 09:40PM ET,ARI,0
