Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22,1564814591,4th_and_29 (5/20),0,172.25,OF David Peralta C Alex Avila 3B Eduardo Escobar OF Wil Myers 1B Christian Walker OF Ketel Marte 2B Luis Urías P Dinelson Lamet P Conner Menez SS Fernando Tatis Jr.,,Kristopher Negrón,2B,15.07%,5
23,1565065202,dgarrott (19/20),0,171.65,P Aníbal Sánchez C Kurt Suzuki OF Gerardo Parra 1B Eric Hosmer 3B Eduardo Escobar 2B Brian Dozier OF Hunter Renfroe OF Manuel Margot P Dinelson Lamet SS Fernando Tatis Jr.,,Mallex Smith,OF,14.68%,5
24,1565441027,dozarks33 (9/11),0,170.9,P Clayton Kershaw OF David Peralta C Alex Avila OF Keon Broxton 3B Jake Lamb 1B Christian Walker SS Nick Ahmed 2B Luis Urías P Dinelson Lamet OF Josh Naylor,,Kyle Seager,3B,14.56%,7
25,1565440964,BoneHardGorilla (7/20),0,170.25,P Aníbal Sánchez C Kurt Suzuki P Clayton Kershaw OF Wil Myers 3B Matt Carpenter 1B Rhys Hoskins 2B Luis Urías OF Josh Naylor OF Adam Haseley SS Fernando Tatis Jr.,,Scooter Gennett,2B,14.29%,5
26,1565360620,baseballs (15/20),0,166.9,P Clayton Kershaw 3B Eduardo Escobar 1B Christian Walker SS Nick Ahmed C Austin Hedges OF Manuel Margot 2B Luis Urías P Dinelson Lamet OF Josh Naylor OF Adam Haseley,,J.T. Realmuto,C,14.20%,3
26,1565392443,dirtysouthi85,0,166.9,C Kurt Suzuki P Clayton Kershaw 2B Kristopher Negrón 1B Eric Hosmer 3B Kyle Seager OF Wil Myers OF Mallex Smith SS J.P. Crawford P Dinelson Lamet OF Adam Haseley,,Juan Soto,OF,13.92%,3
28,1565077697,cb1umthal (7/20),0,166.8,C Kurt Suzuki P Clayton Kershaw P Jake Arrieta 1B Eric Hosmer 3B Anthony Rendon OF Wil Myers SS Trea Turner OF Manuel Margot 2B Luis Urías OF Josh Naylor,,Brandon Belt,1B,13.19%,5
29,1565094948,ry0880 (15/20),0,165.95,P Mike Leake 2B Kristopher Negrón OF Jarrod Dyson C Alex Avila 3B Eduardo Escobar 1B Christian Walker SS Trea Turner OF Manuel Margot P Dinelson Lamet OF Josh Naylor,,Anthony Rendon,3B,13.11%,6
30,1565074237,lareinaloca85 (15/20),0,165.9,P Clayton Kershaw SS Jean Segura OF Kevin Pillar C Austin Hedges 1B Rhys Hoskins 2B Luis Urías P Dinelson Lamet 3B Scott Kingery OF Josh Naylor OF Adam Haseley,,Omar Narváez,C,12.88%,3
30,1565074915,elreychorizo84 (2/20),0,165.9,P Clayton Kershaw SS Jean Segura OF Wil Myers C Austin Hedges 1B Rhys Hoskins 2B Luis Urías P Dinelson Lamet 3B Scott Kingery OF Josh Naylor OF Adam Haseley,,J.P. Crawford,SS,12.78%,7
30,1565430644,tritiger (13/20),0,165.9,P Clayton Kershaw 1B Brandon Belt OF Gerardo Parra C Alex Avila 3B Jake Lamb OF Joc Pederson SS Corey Seager 2B Luis Urías P Dinelson Lamet OF Josh Naylor,,Luis Urías,2B,12.53%,12
33,1565400304,themanjerry,0,164.9,C Kurt Suzuki P Clayton Kershaw 1B Gerardo Parra OF Wil Myers 2B Brian Dozier 3B Matt Carpenter OF Kevin Pillar OF Manuel Margot SS Corey Seager P Dinelson Lamet,,Kurt Suzuki,C,12.52%,24
34,1564749692,Wanna_Square_Up1567 (11/20),0,164.8,C Kurt Suzuki P Clayton Kershaw OF Wil Myers P Miles Mikolas 3B Manny Machado 1B Rhys Hoskins 2B Luis Urías OF Josh Naylor OF Adam Haseley SS Fernando Tatis Jr.,,Justin Turner,3B,12.33%,12
34,1565285718,rittnasty (13/20),0,164.8,C Kurt Suzuki P Clayton Kershaw OF Wil Myers P Miles Mikolas 3B Manny Machado 1B Rhys Hoskins 2B Luis Urías OF Josh Naylor OF Adam Haseley SS Fernando Tatis Jr.,,Eduardo Escobar,3B,12.12%,25
