PG,SG,SF,PF,C,G,F,UTIL
Jamal Murray,Desmond Bane,Danuel House Jr.,Kyle Kuzma,Nikola Jokic,Tyus Jones,LeBron James,DeMarcus Cousins
Jamal Murray,Dennis Schroder,Danuel House Jr.,P.J. Tucker,Nikola Jokic,Tyus Jones,Anthony Davis,De'Anthony Melton
Ja Morant,Ben McLemore,Sterling Brown,Anthony Davis,Nikola Jokic,Jamal Murray,Kyle Kuzma,Desmond Bane
Tyus Jones,De'Anthony Melton,Jae'Sean Tate,Anthony Davis,Nikola Jokic,Will Barton,Kyle Kuzma,DeMarcus Cousins
Ja Morant,De'Anthony Melton,Michael Porter Jr.,Danuel House Jr.,Montrezl Harrell,Jamal Murray,LeBron James,DeMarcus Cousins
Jamal Murray,Dennis Schroder,Jae'Sean Tate,Kyle Kuzma,Christian Wood,De'Anthony Melton,John Konchar,Nikola Jokic
Ja Morant,De'Anthony Melton,Danuel House Jr.,Anthony Davis,Nikola Jokic,Alex Caruso,Paul Millsap,DeMarcus Cousins
Ja Morant,Wesley Matthews,John Konchar,P.J. Tucker,Nikola Jokic,Jamal Murray,Anthony Davis,DeMarcus Cousins
Dennis Schroder,Dillon Brooks,Michael Porter Jr.,Danuel House Jr.,Christian Wood,Desmond Bane,Kyle Kuzma,Nikola Jokic
Jamal Murray,Mason Jones,Desmond Bane,Xavier Tillman Sr.,Nikola Jokic,Dennis Schroder,Anthony Davis,DeMarcus Cousins
Jamal Murray,De'Anthony Melton,Jae'Sean Tate,P.J. Tucker,Montrezl Harrell,LeBron James,Desmond Bane,Nikola Jokic
Ja Morant,Ben McLemore,Jae'Sean Tate,Anthony Davis,Nikola Jokic,Tyus Jones,Paul Millsap,Dennis Schroder
Ja Morant,Dennis Schroder,Sterling Brown,Danuel House Jr.,Nikola Jokic,De'Anthony Melton,LeBron James,Facundo Campazzo
Ja Morant,Ben McLemore,Michael Porter Jr.,Danuel House Jr.,Nikola Jokic,LeBron James,Kyle Kuzma,John Konchar
Ja Morant,Dennis Schroder,Michael Porter Jr.,Xavier Tillman Sr.,Christian Wood,Jamal Murray,Kyle Kuzma,DeMarcus Cousins
Jamal Murray,Dillon Brooks,Talen Horton-Tucker,Anthony Davis,Nikola Jokic,De'Anthony Melton,Sterling Brown,DeMarcus Cousins
Ja Morant,Will Barton,Sterling Brown,P.J. Tucker,Montrezl Harrell,Tyus Jones,Anthony Davis,Nikola Jokic
Jamal Murray,Dillon Brooks,Jae'Sean Tate,Anthony Davis,Gorgui Dieng,Alex Caruso,Danuel House Jr.,Nikola Jokic
Jamal Murray,Ben McLemore,Danuel House Jr.,Xavier Tillman Sr.,Gorgui Dieng,Dennis Schroder,LeBron James,Nikola Jokic
Tyus Jones,Ben McLemore,LeBron James,Anthony Davis,Nikola Jokic,Facundo Campazzo,John Konchar,DeMarcus Cousins
