Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Mike Zunino,2300.00,TBR,C,MIA,6.48,2.82,8,1
Trent Grisham,2800.00,MIL,OF,CHC,7.69,2.75,1,1
Travis Shaw,2300.00,MIL,3B,CHC,6.24,2.71,8,1
Humberto Arteaga,2500.00,KCR,SS,MIN,6.76,2.7,7,1
Eloy Jimenez,3800.00,CHW,OF,PHI,9.52,2.51,5,1
Matt Duffy,3200.00,TBR,3B,MIA,7.63,2.38,1,1
Jesus Aguilar,3100.00,TBR,1B,MIA,7.07,2.28,3,1
Yasiel Puig,4400.00,CLE,OF,LAA,9.97,2.27,4,1
Josh VanMeter,3800.00,CIN,OF,ATL,8.59,2.26,4,1
Jonathan Villar,4300.00,BAL,2B/SS,TOR,9.7,2.26,1,1
Adam Frazier,3500.00,PIT,2B,NYM,7.89,2.25,1,1
Max Stassi,2100.00,LAA,C,CLE,4.7,2.24,9,1
Chris Davis,3000.00,BAL,1B,TOR,6.57,2.19,8,1
Guillermo Heredia,2700.00,TBR,OF,MIA,5.83,2.16,7,1
Eric Thames,3700.00,MIL,1B,CHC,7.99,2.16,4,1
Ryan Goins,3300.00,CHW,3B/SS,PHI,7.08,2.15,6,1
Joey Votto,4100.00,CIN,1B,ATL,8.73,2.13,2,1
Tommy Pham,4000.00,TBR,OF,MIA,8.47,2.12,2,1
Jace Peterson,3200.00,BAL,3B/OF,TOR,6.76,2.11,5,1
Dylan Moore,2900.00,SEA,OF/SS,HOU,6.07,2.09,9,1
Cesar Hernandez,3800.00,PHI,2B,CHW,7.93,2.09,1,0
James McCann,3900.00,CHW,C,PHI,8.12,2.08,7,1
Jose Abreu,4300.00,CHW,1B,PHI,8.95,2.08,3,1
Alex Bregman,4800.00,HOU,3B/SS,SEA,10,2.08,3,1
Anthony Santander,4500.00,BAL,OF,TOR,9.31,2.07,3,1
Cavan Biggio,4400.00,TOR,2B/OF,BAL,9.11,2.07,2,1
Bryce Harper,4400.00,PHI,OF,CHW,9.08,2.06,4,0
Jesse Winker,4000.00,CIN,OF,ATL,8.14,2.04,1,1
Jorge Soler,4100.00,KCR,OF,MIN,8.36,2.04,4,1
Domingo Santana,3900.00,SEA,OF,HOU,7.92,2.03,3,1
Yasmani Grandal,4100.00,MIL,C,CHC,8.27,2.02,2,1
Tim Anderson,4600.00,CHW,SS,PHI,9.25,2.01,2,1
Mike Moustakas,4000.00,MIL,2B/3B,CHC,8.02,2.01,5,1
Whit Merrifield,4500.00,KCR,2B/OF,MIN,8.98,2,1,1
Tucker Barnhart,2800.00,CIN,C,ATL,5.54,1.98,8,1
Curtis Granderson,3200.00,MIA,OF,TBR,6.35,1.98,5,1
Luis Arraez,3800.00,MIN,2B/3B,KCR,7.49,1.97,2,1
Colin Moran,3600.00,PIT,3B,NYM,7.09,1.97,6,1
Jose Altuve,5100.00,HOU,2B,SEA,10.05,1.97,2,1
Starlin Castro,3000.00,MIA,2B,TBR,5.88,1.96,6,1
Lourdes Gurriel,5000.00,TOR,OF,BAL,9.79,1.96,3,1
Robinson Cano,3800.00,NYM,2B,PIT,7.45,1.96,4,1
Nick Castellanos,3900.00,CHC,OF,MIL,7.6,1.95,2,1
Jon Berti,3500.00,MIA,3B/OF,TBR,6.82,1.95,2,1
Nicky Lopez,2600.00,KCR,2B,MIN,5.06,1.95,8,1
Shohei Ohtani,4600.00,LAA,OF,CLE,8.93,1.94,3,1
Justin Smoak,4300.00,TOR,1B,BAL,8.28,1.93,5,1
Ender Inciarte,3900.00,ATL,OF,CIN,7.5,1.92,6,1
Carlos Correa,4900.00,HOU,SS,SEA,9.35,1.91,5,1
George Springer,5400.00,HOU,OF,SEA,10.31,1.91,1,1
Alex Gordon,4000.00,KCR,OF,MIN,7.63,1.91,2,1
Brian Anderson,3900.00,MIA,3B/OF,TBR,7.46,1.91,4,1
Carlos Santana,4800.00,CLE,1B,LAA,9.12,1.9,3,1
Yolmer Sanchez,3100.00,CHW,2B,PHI,5.85,1.89,8,1
Bubba Starling,3100.00,KCR,OF,MIN,5.86,1.89,6,1
Michael Brosseau,3400.00,TBR,2B/3B,MIA,6.41,1.89,6,1
C.J. Cron,3700.00,MIN,1B,KCR,7,1.89,7,1
Jean Segura,4300.00,PHI,SS,CHW,8.09,1.88,2,0
Eddie Rosario,4500.00,MIN,OF,KCR,8.44,1.88,4,1
Ozzie Albies,4200.00,ATL,2B,CIN,7.84,1.87,2,1
Maikel Franco,3400.00,PHI,3B,CHW,6.37,1.87,7,0
Kole Calhoun,4200.00,LAA,OF,CLE,7.85,1.87,5,1
Jake Cave,3200.00,MIN,OF,KCR,5.95,1.86,9,1
Ben Gamel,3700.00,MIL,OF,CHC,6.86,1.85,6,1
Leury Garcia,4200.00,CHW,OF/SS,PHI,7.75,1.85,1,1
Teoscar Hernandez,4100.00,TOR,OF,BAL,7.57,1.85,7,1
Christian Yelich,5500.00,MIL,OF,CHC,10.14,1.84,3,1
Johan Camargo,3000.00,ATL,OF/SS,CIN,5.52,1.84,7,1
Jacob Stallings,2800.00,PIT,C,NYM,5.16,1.84,8,1
Orlando Arcia,2900.00,MIL,SS,CHC,5.3,1.83,7,1
Derek Dietrich,3700.00,CIN,1B/2B,ATL,6.77,1.83,6,1
Trey Mancini,4400.00,BAL,1B/OF,TOR,8.01,1.82,2,1
Mallex Smith,3700.00,SEA,OF,HOU,6.72,1.82,1,1
Jake Marisnick,4000.00,HOU,OF,SEA,7.22,1.81,8,1
Ronald Acuna,5200.00,ATL,OF,CIN,9.34,1.8,1,1
Rhys Hoskins,4700.00,PHI,1B,CHW,8.44,1.8,3,0
Tyler Flowers,3400.00,ATL,C,CIN,6.11,1.8,8,1
J.T. Realmuto,4500.00,PHI,C,CHW,8.11,1.8,5,0
Garrett Cooper,3700.00,MIA,1B/OF,TBR,6.66,1.8,3,1
Vladimir Guerrero Jr,4900.00,TOR,3B,BAL,8.78,1.79,4,1
Michael Conforto,4700.00,NYM,OF,PIT,8.39,1.79,2,1
Jason Heyward,4100.00,CHC,OF,MIL,7.28,1.78,1,1
Javier Baez,5000.00,CHC,SS,MIL,8.88,1.78,4,1
Hunter Dozier,4400.00,KCR,3B,MIN,7.85,1.78,3,1
Jason Castro,3700.00,MIN,C,KCR,6.6,1.78,8,1
Kyle Schwarber,4300.00,CHC,OF,MIL,7.59,1.77,5,1
Renato Nunez,4300.00,BAL,1B/3B,TOR,7.59,1.77,4,1
Francisco Lindor,5400.00,CLE,SS,LAA,9.52,1.76,1,1
Melky Cabrera,3600.00,PIT,OF,NYM,6.34,1.76,5,1
Omar Narvaez,3700.00,SEA,C,HOU,6.51,1.76,2,1
Mike Trout,5800.00,LAA,OF,CLE,10.21,1.76,2,1
Bo Bichette,4300.00,TOR,SS,BAL,7.54,1.75,1,1
Oscar Mercado,4700.00,CLE,OF,LAA,8.23,1.75,2,1
Jose Ramirez,4700.00,CLE,3B,LAA,8.23,1.75,5,1
Eugenio Suarez,4500.00,CIN,3B,ATL,7.81,1.74,3,1
Chance Sisco,3700.00,BAL,C,TOR,6.39,1.73,7,1
Randal Grichuk,4100.00,TOR,OF,BAL,7.1,1.73,6,1
Avisail Garcia,3700.00,TBR,OF,MIA,6.41,1.73,5,1
Kyle Seager,3500.00,SEA,3B,HOU,6.04,1.73,5,1
Anthony Rizzo,4500.00,CHC,1B,MIL,7.8,1.73,3,1
Jon Jay,3300.00,CHW,OF,PHI,5.67,1.72,4,1
Jason Kipnis,4100.00,CLE,2B,LAA,7.05,1.72,7,1
Austin Riley,4100.00,ATL,OF,CIN,7,1.71,5,1
Robinson Chirinos,4000.00,HOU,C,SEA,6.84,1.71,7,1
Todd Frazier,4100.00,NYM,3B,PIT,6.98,1.7,3,1
Jose Iglesias,3400.00,CIN,SS,ATL,5.78,1.7,7,1
Nick Senzel,4100.00,CIN,OF,ATL,6.91,1.69,5,1
Max Kepler,5300.00,MIN,OF,KCR,8.81,1.66,1,1
Travis d'Arnaud,4200.00,TBR,1B/C,MIA,6.94,1.65,4,1
Cheslor Cuthbert,3700.00,KCR,1B/3B,MIN,6.1,1.65,5,1
Roberto Perez,4000.00,CLE,C,LAA,6.54,1.64,8,1
Matthew Thaiss,3800.00,LAA,1B/3B,CLE,6.25,1.64,7,1
Josh Reddick,3400.00,HOU,OF,SEA,5.59,1.64,9,1
David Fletcher,3800.00,LAA,3B/OF,CLE,6.25,1.64,6,1
Tim Beckham,3400.00,SEA,OF/SS,HOU,5.58,1.64,6,1
Miguel Sano,5000.00,MIN,3B,KCR,8.22,1.64,5,1
Miguel Rojas,3600.00,MIA,SS,TBR,5.85,1.63,1,1
Brian Goodwin,3900.00,LAA,OF,CLE,6.35,1.63,1,1
Franmil Reyes,4100.00,CLE,OF,LAA,6.67,1.63,6,1
Stevie Wilkerson,3300.00,BAL,OF,TOR,5.36,1.62,9,1
Josh Donaldson,4400.00,ATL,3B,CIN,7.13,1.62,3,1
Nelson Cruz,5600.00,MIN,OF,KCR,8.97,1.6,3,1
Bryan Reynolds,4200.00,PIT,OF,NYM,6.72,1.6,2,1
Josh Bell,4400.00,PIT,1B,NYM,7,1.59,4,1
Daniel Vogelbach,4100.00,SEA,1B,HOU,6.5,1.59,4,1
Tony Kemp,3600.00,CHC,2B/OF,MIL,5.67,1.58,7,1
Jeff McNeil,4900.00,NYM,2B/OF,PIT,7.71,1.57,1,1
Yulieski Gurriel,4500.00,HOU,1B/3B,SEA,7.05,1.57,6,1
Ehire Adrianza,3500.00,MIN,3B/SS,KCR,5.46,1.56,6,1
Adam Duvall,4300.00,ATL,OF,CIN,6.72,1.56,4,1
Brandon Drury,3600.00,TOR,3B/OF,BAL,5.61,1.56,8,1
J.D. Davis,4400.00,NYM,3B/OF,PIT,6.83,1.55,5,1
Bryan Holaday,2900.00,MIA,C,TBR,4.48,1.54,9,1
Starling Marte,5100.00,PIT,OF,NYM,7.79,1.53,3,1
Amed Rosario,4100.00,NYM,SS,PIT,6.24,1.52,6,1
Victor Caratini,4000.00,CHC,C,MIL,5.98,1.5,6,1
Albert Pujols,3900.00,LAA,1B,CLE,5.79,1.48,4,1
Cam Gallagher,3100.00,KCR,C,MIN,4.55,1.47,9,1
David Bote,3800.00,CHC,2B/3B,MIL,5.53,1.46,8,1
Willy Adames,3400.00,TBR,SS,MIA,4.95,1.46,9,1
Danny Jansen,3300.00,TOR,C,BAL,4.8,1.45,9,1
Austin Nola,3700.00,SEA,1B/2B,HOU,5.26,1.42,8,1
Corey Dickerson,4800.00,PHI,OF,CHW,6.83,1.42,6,0
Yordan Alvarez,5700.00,HOU,OF,SEA,7.97,1.4,4,1
Jordan Luplow,4400.00,CLE,OF,LAA,6.08,1.38,9,1
Luis Rengifo,3300.00,LAA,2B/SS,CLE,4.53,1.37,8,1
