PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16363257,16363105,16363145,16363263,16363244,16363218,16363370,16363188,,1. Locate the player you want to select in the list below ,,,,,,,,
16363180,16363105,16363145,16363370,16363244,16363218,16363267,16363109,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16363105,16363392,16363145,16363263,16363109,16363218,16363370,16363167,,3. Paste the ID into the roster position desired ,,,,,,,,
16363180,16363105,16363138,16363370,16363244,16363218,16363117,16363167,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16363180,16363218,16363145,16363263,16363370,16363156,16363267,16363257,,5. You can create up to 500 lineups per file ,,,,,,,,
16363361,16363105,16363267,16363263,16363115,16363208,16363370,16363392,,,,,,,,,,
16363156,16363208,16363197,16363263,16363115,16363218,16363370,16363244,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16363105,16363392,16363145,16363263,16363115,16363329,16363370,16363188,,PG/SG,James Harden (16363105),James Harden,16363105,PG/SG/G/UTIL,10400,IND@BKN 02/10/2021 08:00PM ET,BKN,54.2
16363105,16363392,16363138,16363263,16363244,16363267,16363370,16363117,,PF/C,Kevin Durant (16363093),Kevin Durant,16363093,PF/C/F/UTIL,9800,IND@BKN 02/10/2021 08:00PM ET,BKN,50.97
16363180,16363105,16363145,16363370,16363115,16363287,16363385,16363109,,C,Karl-Anthony Towns (16363216),Karl-Anthony Towns,16363216,C/UTIL,9700,LAC@MIN 02/10/2021 08:00PM ET,MIN,51.5
16363105,16363329,16363138,16363263,16363115,16363218,16363370,16363131,,SF,Kawhi Leonard (16363145),Kawhi Leonard,16363145,SF/F/UTIL,9400,LAC@MIN 02/10/2021 08:00PM ET,LAC,45.92
16363180,16363392,16363138,16363370,16363115,16363156,16363117,16363244,,PG,Kyrie Irving (16363156),Kyrie Irving,16363156,PG/G/UTIL,9100,IND@BKN 02/10/2021 08:00PM ET,BKN,45.81
16363180,16363218,16363145,16363263,16363370,16363319,16363138,16363131,,SG,Paul George (16363135),Paul George,16363135,SG/G/UTIL,8800,LAC@MIN 02/10/2021 08:00PM ET,LAC,43.88
16363105,16363218,16363138,16363263,16363370,16363319,16363197,16363117,,PF/C,Domantas Sabonis (16363263),Domantas Sabonis,16363263,PF/C/F/UTIL,8600,IND@BKN 02/10/2021 08:00PM ET,IND,46.56
16363257,16363105,16363145,16363263,16363167,16363287,16363370,16363197,,PG,LaMelo Ball (16363428),LaMelo Ball,16363428,PG/G/UTIL,8500,CHA@MEM 02/10/2021 08:00PM ET,CHA,34.24
16363180,16363105,16363197,16363370,16363244,16363428,16363267,16363392,,SF/PF,Gordon Hayward (16363138),Gordon Hayward,16363138,SF/PF/F/UTIL,7700,CHA@MEM 02/10/2021 08:00PM ET,CHA,38.97
16363180,16363392,16363267,16363263,16363115,16363156,16363370,16363176,,PG,Malcolm Brogdon (16363180),Malcolm Brogdon,16363180,PG/G/UTIL,7400,IND@BKN 02/10/2021 08:00PM ET,IND,40.23
16363180,16363105,16363117,16363370,16363115,16363361,16363267,16363244,,C,Jonas Valanciunas (16363176),Jonas Valanciunas,16363176,C/UTIL,7400,CHA@MEM 02/10/2021 08:00PM ET,MEM,35.96
16363180,16363105,16363138,16363370,16363115,16363319,16363131,16363244,,PG,Caris LeVert (16363205),Caris LeVert,16363205,PG/G/UTIL,7300,IND@BKN 02/10/2021 08:00PM ET,IND,36.17
16363126,16363105,16363197,16363263,16363115,16363319,16363370,16363244,,PG,Ja Morant (16363361),Ja Morant,16363361,PG/G/UTIL,7300,CHA@MEM 02/10/2021 08:00PM ET,MEM,34.5
,,,,,,,,,SG,Malik Beasley (16363275),Malik Beasley,16363275,SG/G/UTIL,7000,LAC@MIN 02/10/2021 08:00PM ET,MIN,33.5
,,,,,,,,,PG,D'Angelo Russell (16363254),D'Angelo Russell,16363254,PG/G/UTIL,6800,LAC@MIN 02/10/2021 08:00PM ET,MIN,33.48
,,,,,,,,,PF/C,Jaren Jackson Jr. (16363381),Jaren Jackson Jr.,16363381,PF/C/F/UTIL,6700,CHA@MEM 02/10/2021 08:00PM ET,MEM,0
,,,,,,,,,PG,Devonte' Graham (16363241),Devonte' Graham,16363241,PG/G/UTIL,6300,CHA@MEM 02/10/2021 08:00PM ET,CHA,30.08
,,,,,,,,,C,Naz Reid (16363405),Naz Reid,16363405,C/UTIL,6300,LAC@MIN 02/10/2021 08:00PM ET,MIN,24.66
