PG,SG,SF,PF,C,G,F,UTIL
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,Chris Boucher,Evan Fournier,Jeff Green,Ricky Rubio
Malcolm Brogdon,Bradley Beal,Cedi Osman,Stanley Johnson,DeAndre Jordan,Evan Fournier,Furkan Korkmaz,D'Angelo Russell
D'Angelo Russell,Bradley Beal,Joe Harris,Stanley Johnson,Myles Turner,Tyrese Maxey,Larry Nance Jr.,Terrence Ross
Ricky Rubio,Bradley Beal,Danny Green,Cedi Osman,Myles Turner,Aaron Gordon,Joe Harris,Chris Boucher
Malcolm Brogdon,Bradley Beal,James Ennis III,Larry Nance Jr.,DeAndre Jordan,Fred VanVleet,Anthony Edwards,Tyrese Maxey
Malcolm Brogdon,Bradley Beal,Terrence Ross,Reggie Perry,Andre Drummond,Anthony Edwards,Furkan Korkmaz,Chris Boucher
Malcolm Brogdon,Evan Fournier,Danny Green,Stanley Johnson,Naz Reid,Russell Westbrook,Larry Nance Jr.,Joe Harris
Kyle Lowry,Evan Fournier,Anthony Edwards,Larry Nance Jr.,Myles Turner,Russell Westbrook,Jeff Green,Furkan Korkmaz
Russell Westbrook,D'Angelo Russell,Dwayne Bacon,Domantas Sabonis,DeAndre Jordan,Tyrese Maxey,Larry Nance Jr.,Chris Boucher
Fred VanVleet,Bradley Beal,Danny Green,Jeff Green,Myles Turner,Evan Fournier,Josh Okogie,Jarrett Allen
Malcolm Brogdon,Anthony Edwards,Danny Green,Jeff Green,Jarrett Allen,Russell Westbrook,Aaron Gordon,Chris Boucher
T.J. McConnell,Bradley Beal,Joe Harris,Jarred Vanderbilt,Larry Nance Jr.,Evan Fournier,Furkan Korkmaz,Fred VanVleet
D'Angelo Russell,Bradley Beal,Matisse Thybulle,Domantas Sabonis,Jarrett Allen,Joe Harris,James Ennis III,Chris Boucher
Tyrese Maxey,Malik Beasley,Cedi Osman,Domantas Sabonis,Chris Boucher,Bradley Beal,Reggie Perry,Evan Fournier
Russell Westbrook,Evan Fournier,Matisse Thybulle,Cedi Osman,Myles Turner,Fred VanVleet,Reggie Perry,D'Angelo Russell
Cole Anthony,Bradley Beal,Furkan Korkmaz,Stanley Johnson,Andre Drummond,Ricky Rubio,Domantas Sabonis,Jeff Green
Kyle Lowry,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,DeAndre Jordan,Jaylen Nowell,Aaron Gordon,Myles Turner
Ricky Rubio,Bradley Beal,Danny Green,Domantas Sabonis,Larry Nance Jr.,Fred VanVleet,Reggie Perry,Dwayne Bacon
Cole Anthony,Bradley Beal,Josh Okogie,Larry Nance Jr.,Myles Turner,Ben Simmons,Reggie Perry,Chris Boucher
Russell Westbrook,Evan Fournier,Matisse Thybulle,Domantas Sabonis,Andre Drummond,Matt Thomas,Joe Harris,Anthony Edwards
