CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Patrick Mahomes,Emmanuel Sanders,Tre'Quan Smith,Alvin Kamara,Tyreek Hill,Demarcus Robinson
Alvin Kamara,Emmanuel Sanders,Patrick Mahomes,Jared Cook,Tyreek Hill,Demarcus Robinson
