C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16198877,16198780,16198721,16198832,16198908,16198836,16198737,16199057,16198902,,1. Locate the player you want to select in the list below ,,,,,,,,
16199218,16198877,16198908,16199092,16198902,16198733,16198836,16199057,16198677,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16198914,16198877,16198908,16198902,16198757,16198681,16198836,16199057,16199031,,3. Paste the ID into the roster position desired ,,,,,,,,
16198877,16199273,16198721,16198908,16198902,16198681,16198689,16199057,16198810,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16198877,16198759,16198721,16198908,16198902,16198733,16198836,16198744,16198798,,5. You can create up to 500 lineups per file ,,,,,,,,
16199218,16198877,16198908,16199092,16198902,16198681,16198737,16198744,16199031,,,,,,,,,,
16198877,16198869,16198721,16198908,16198902,16198681,16198836,16198767,16198677,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16198877,16198774,16198908,16198902,16198995,16198681,16198733,16199057,16198737,,G,Robin Lehner (16198767),Robin Lehner,16198767,G,8500,ARI@VGK 01/20/2021 10:00PM ET,VGK,16.5
16198877,16198780,16198908,16198902,16199027,16198681,16198733,16198744,16198677,,G,Jordan Binnington (16198881),Jordan Binnington,16198881,G,8300,SJ@STL 01/20/2021 09:00PM ET,STL,9.37
16198877,16199273,16198721,16198832,16198908,16198733,16198719,16198692,16198902,,G,Marc-Andre Fleury (16198674),Marc-Andre Fleury,16198674,G,8300,ARI@VGK 01/20/2021 10:00PM ET,VGK,17.2
16198877,16198965,16198908,16198902,16199031,16198681,16198733,16198767,16198918,,G,Ville Husso (16199054),Ville Husso,16199054,G,8100,SJ@STL 01/20/2021 09:00PM ET,STL,-7
16198877,16198965,16198721,16198908,16198902,16198836,16199277,16198881,16198918,,G,Carey Price (16198692),Carey Price,16198692,G,8000,MON@VAN 01/20/2021 10:00PM ET,MON,15.55
16198914,16198877,16198908,16198902,16198677,16198836,16198737,16198744,16199125,,G,Cam Talbot (16198784),Cam Talbot,16198784,G,7800,MIN@ANH 01/20/2021 09:30PM ET,MIN,16.13
16198914,16198877,16198908,16198902,16199044,16198733,16198689,16199057,16198715,,G,Jake Allen (16198745),Jake Allen,16198745,G,7800,MON@VAN 01/20/2021 10:00PM ET,MON,20
16198877,16198862,16198908,16198902,16198828,16198733,16198689,16198767,16198836,,G,Kaapo Kahkonen (16199057),Kaapo Kahkonen,16199057,G,7600,MIN@ANH 01/20/2021 09:30PM ET,MIN,0
16198914,16199218,16198908,16199092,16198902,16198737,16199277,16199057,16198856,,G,Braden Holtby (16198744),Braden Holtby,16198744,G,7600,MON@VAN 01/20/2021 10:00PM ET,VAN,13.5
16198877,16198701,16198721,16198908,16198902,16198681,16198733,16198868,16198806,,LW,Max Pacioretty (16198721),Max Pacioretty,16198721,W/UTIL,7500,ARI@VGK 01/20/2021 10:00PM ET,VGK,19.93
16198914,16198877,16198908,16198902,16199027,16198733,16198836,16198692,16198763,,G,Thatcher Demko (16199041),Thatcher Demko,16199041,G,7400,MON@VAN 01/20/2021 10:00PM ET,VAN,9.55
16198877,16198715,16198832,16198908,16198902,16198681,16198836,16198744,16199044,,G,John Gibson (16198868),John Gibson,16198868,G,7300,MIN@ANH 01/20/2021 09:30PM ET,ANH,17.77
16198877,16198965,16198908,16199092,16198902,16198733,16198737,16198868,16198856,,G,Martin Jones (16198743),Martin Jones,16198743,G,7100,SJ@STL 01/20/2021 09:00PM ET,SJ,7.55
,,,,,,,,,,G,Ryan Miller (16198671),Ryan Miller,16198671,G,7100,MIN@ANH 01/20/2021 09:30PM ET,ANH,0
,,,,,,,,,,G,Darcy Kuemper (16198793),Darcy Kuemper,16198793,G,7000,ARI@VGK 01/20/2021 10:00PM ET,ARI,10.1
,,,,,,,,,,D,Brent Burns (16198681),Brent Burns,16198681,D/UTIL,6900,SJ@STL 01/20/2021 09:00PM ET,SJ,13.97
,,,,,,,,,,G,Devan Dubnyk (16198691),Devan Dubnyk,16198691,G,6900,SJ@STL 01/20/2021 09:00PM ET,SJ,1.75
,,,,,,,,,,G,Antti Raanta (16198962),Antti Raanta,16198962,G,6800,ARI@VGK 01/20/2021 10:00PM ET,ARI,17.2
,,,,,,,,,,RW,Mark Stone (16198832),Mark Stone,16198832,W/UTIL,6700,ARI@VGK 01/20/2021 10:00PM ET,VGK,11.93
,,,,,,,,,,RW,Evander Kane (16198757),Evander Kane,16198757,W/UTIL,6600,SJ@STL 01/20/2021 09:00PM ET,SJ,15.83
,,,,,,,,,,D,Alex Pietrangelo (16198733),Alex Pietrangelo,16198733,D/UTIL,6600,ARI@VGK 01/20/2021 10:00PM ET,VGK,13.37
,,,,,,,,,,G,Jon Gillies (16198924),Jon Gillies,16198924,G,6500,SJ@STL 01/20/2021 09:00PM ET,STL,0
,,,,,,,,,,LW,Timo Meier (16199086),Timo Meier,16199086,W/UTIL,6500,SJ@STL 01/20/2021 09:00PM ET,SJ,10.17
,,,,,,,,,,G,Josef Korenar (16199255),Josef Korenar,16199255,G,6500,SJ@STL 01/20/2021 09:00PM ET,SJ,0
,,,,,,,,,,G,Alexei Melnichuk (16199256),Alexei Melnichuk,16199256,G,6500,SJ@STL 01/20/2021 09:00PM ET,SJ,0
,,,,,,,,,,G,Joel Hofer (16199289),Joel Hofer,16199289,G,6500,SJ@STL 01/20/2021 09:00PM ET,STL,0
,,,,,,,,,,G,Andrew Shortridge (16199314),Andrew Shortridge,16199314,G,6500,SJ@STL 01/20/2021 09:00PM ET,SJ,0
,,,,,,,,,,G,Oscar Dansk (16198920),Oscar Dansk,16198920,G,6500,ARI@VGK 01/20/2021 10:00PM ET,VGK,0
,,,,,,,,,,D,Shea Theodore (16198969),Shea Theodore,16198969,D/UTIL,6500,ARI@VGK 01/20/2021 10:00PM ET,VGK,12.63
,,,,,,,,,,G,Adin Hill (16199114),Adin Hill,16199114,G,6500,ARI@VGK 01/20/2021 10:00PM ET,ARI,0
,,,,,,,,,,G,Ivan Prosvetov (16199290),Ivan Prosvetov,16199290,G,6500,ARI@VGK 01/20/2021 10:00PM ET,ARI,0
,,,,,,,,,,G,Alex Stalock (16198750),Alex Stalock,16198750,G,6500,MIN@ANH 01/20/2021 09:30PM ET,MIN,0
,,,,,,,,,,G,Anthony Stolarz (16198921),Anthony Stolarz,16198921,G,6500,MIN@ANH 01/20/2021 09:30PM ET,ANH,0
,,,,,,,,,,G,Andrew Hammond (16198953),Andrew Hammond,16198953,G,6500,MIN@ANH 01/20/2021 09:30PM ET,MIN,0
,,,,,,,,,,G,Olle Eriksson Ek (16199245),Olle Eriksson Ek,16199245,G,6500,MIN@ANH 01/20/2021 09:30PM ET,ANH,0
,,,,,,,,,,G,Michael McNiven (16199141),Michael McNiven,16199141,G,6500,MON@VAN 01/20/2021 10:00PM ET,MON,0
,,,,,,,,,,G,Vasili Demchenko (16199142),Vasili Demchenko,16199142,G,6500,MON@VAN 01/20/2021 10:00PM ET,MON,0
,,,,,,,,,,G,Charlie Lindgren (16199151),Charlie Lindgren,16199151,G,6500,MON@VAN 01/20/2021 10:00PM ET,MON,0
,,,,,,,,,,G,Michael DiPietro (16199236),Michael DiPietro,16199236,G,6500,MON@VAN 01/20/2021 10:00PM ET,VAN,0
,,,,,,,,,,G,Cayden Primeau (16199250),Cayden Primeau,16199250,G,6500,MON@VAN 01/20/2021 10:00PM ET,MON,0
,,,,,,,,,,G,Jake Kielly (16199309),Jake Kielly,16199309,G,6500,MON@VAN 01/20/2021 10:00PM ET,VAN,0
,,,,,,,,,,RW,Kevin Fiala (16199027),Kevin Fiala,16199027,W/UTIL,6400,MIN@ANH 01/20/2021 09:30PM ET,MIN,12.43
,,,,,,,,,,C,Elias Pettersson (16199218),Elias Pettersson,16199218,C/UTIL,6400,MON@VAN 01/20/2021 10:00PM ET,VAN,5.7
,,,,,,,,,,C,Tomas Hertl (16198914),Tomas Hertl,16198914,C/UTIL,6200,SJ@STL 01/20/2021 09:00PM ET,SJ,17.93
,,,,,,,,,,D,Shea Weber (16198689),Shea Weber,16198689,D/UTIL,6100,MON@VAN 01/20/2021 10:00PM ET,MON,12.03
,,,,,,,,,,C,William Karlsson (16198877),William Karlsson,16198877,C/UTIL,5900,ARI@VGK 01/20/2021 10:00PM ET,VGK,9.87
,,,,,,,,,,LW,Tomas Tatar (16198776),Tomas Tatar,16198776,W/UTIL,5900,MON@VAN 01/20/2021 10:00PM ET,MON,11.8
,,,,,,,,,,LW,Clayton Keller (16199158),Clayton Keller,16199158,W/UTIL,5800,ARI@VGK 01/20/2021 10:00PM ET,ARI,13.27
,,,,,,,,,,D,Jeff Petry (16198782),Jeff Petry,16198782,D/UTIL,5800,MON@VAN 01/20/2021 10:00PM ET,MON,19.93
,,,,,,,,,,C,Bo Horvat (16198965),Bo Horvat,16198965,C/UTIL,5800,MON@VAN 01/20/2021 10:00PM ET,VAN,8.95
,,,,,,,,,,C,Logan Couture (16198715),Logan Couture,16198715,C/UTIL,5700,SJ@STL 01/20/2021 09:00PM ET,SJ,17.37
,,,,,,,,,,RW,Phil Kessel (16198699),Phil Kessel,16198699,W/UTIL,5700,ARI@VGK 01/20/2021 10:00PM ET,ARI,12.5
,,,,,,,,,,D,Jakob Chychrun (16199160),Jakob Chychrun,16199160,D/UTIL,5600,ARI@VGK 01/20/2021 10:00PM ET,ARI,14.27
,,,,,,,,,,RW,Brendan Gallagher (16198828),Brendan Gallagher,16198828,W/UTIL,5600,MON@VAN 01/20/2021 10:00PM ET,MON,9.83
,,,,,,,,,,D,Erik Karlsson (16198737),Erik Karlsson,16198737,D/UTIL,5500,SJ@STL 01/20/2021 09:00PM ET,SJ,7.77
,,,,,,,,,,RW,Conor Garland (16199121),Conor Garland,16199121,W/UTIL,5500,ARI@VGK 01/20/2021 10:00PM ET,ARI,13.67
,,,,,,,,,,D,Torey Krug (16198896),Torey Krug,16198896,D/UTIL,5400,SJ@STL 01/20/2021 09:00PM ET,STL,6.47
,,,,,,,,,,RW,Kirill Kaprizov (16199125),Kirill Kaprizov,16199125,W/UTIL,5400,MIN@ANH 01/20/2021 09:30PM ET,MIN,12.33
,,,,,,,,,,C,Nick Suzuki (16199222),Nick Suzuki,16199222,C/UTIL,5400,MON@VAN 01/20/2021 10:00PM ET,MON,11.6
,,,,,,,,,,C,Ryan O'Reilly (16198774),Ryan O'Reilly,16198774,C/UTIL,5300,SJ@STL 01/20/2021 09:00PM ET,STL,7.6
,,,,,,,,,,RW,Josh Anderson (16198931),Josh Anderson,16198931,W/UTIL,5300,MON@VAN 01/20/2021 10:00PM ET,MON,14.47
,,,,,,,,,,D,Quinn Hughes (16199277),Quinn Hughes,16199277,D/UTIL,5300,MON@VAN 01/20/2021 10:00PM ET,VAN,9.65
,,,,,,,,,,RW,Vladimir Tarasenko (16198800),Vladimir Tarasenko,16198800,W/UTIL,5200,SJ@STL 01/20/2021 09:00PM ET,STL,0
,,,,,,,,,,LW,Rickard Rakell (16198864),Rickard Rakell,16198864,W/UTIL,5200,MIN@ANH 01/20/2021 09:30PM ET,ANH,6.87
,,,,,,,,,,D,Matt Dumba (16198912),Matt Dumba,16198912,D/UTIL,5200,MIN@ANH 01/20/2021 09:30PM ET,MIN,14.77
,,,,,,,,,,D,Oliver Ekman-Larsson (16198761),Oliver Ekman-Larsson,16198761,D/UTIL,5100,ARI@VGK 01/20/2021 10:00PM ET,ARI,12.65
,,,,,,,,,,LW,Brock Boeser (16199092),Brock Boeser,16199092,W/UTIL,5100,MON@VAN 01/20/2021 10:00PM ET,VAN,7.62
,,,,,,,,,,LW,Jonathan Marchessault (16198908),Jonathan Marchessault,16198908,W/UTIL,5000,ARI@VGK 01/20/2021 10:00PM ET,VGK,8.03
,,,,,,,,,,D,Ryan Suter (16198675),Ryan Suter,16198675,D/UTIL,5000,MIN@ANH 01/20/2021 09:30PM ET,MIN,9.93
,,,,,,,,,,D,Alexander Edler (16198707),Alexander Edler,16198707,D/UTIL,4900,MON@VAN 01/20/2021 10:00PM ET,VAN,6.3
,,,,,,,,,,LW,J.T. Miller (16198856),J.T. Miller,16198856,W/UTIL,4900,MON@VAN 01/20/2021 10:00PM ET,VAN,5
,,,,,,,,,,RW,David Perron (16198723),David Perron,16198723,W/UTIL,4800,SJ@STL 01/20/2021 09:00PM ET,STL,4.17
,,,,,,,,,,D,Nate Schmidt (16198954),Nate Schmidt,16198954,D/UTIL,4800,MON@VAN 01/20/2021 10:00PM ET,VAN,6.65
,,,,,,,,,,LW,Jaden Schwartz (16198798),Jaden Schwartz,16198798,W/UTIL,4700,SJ@STL 01/20/2021 09:00PM ET,STL,6.33
,,,,,,,,,,D,Colton Parayko (16198929),Colton Parayko,16198929,D/UTIL,4700,SJ@STL 01/20/2021 09:00PM ET,STL,9.57
,,,,,,,,,,C,Christian Dvorak (16199046),Christian Dvorak,16199046,C/UTIL,4700,ARI@VGK 01/20/2021 10:00PM ET,ARI,8.63
,,,,,,,,,,D,Alec Martinez (16198731),Alec Martinez,16198731,D/UTIL,4600,ARI@VGK 01/20/2021 10:00PM ET,VGK,13.4
,,,,,,,,,,C,Adam Henrique (16198838),Adam Henrique,16198838,C/UTIL,4600,MIN@ANH 01/20/2021 09:30PM ET,ANH,2.8
,,,,,,,,,,LW,Jonathan Drouin (16198963),Jonathan Drouin,16198963,W/UTIL,4600,MON@VAN 01/20/2021 10:00PM ET,MON,7
,,,,,,,,,,LW,Mike Hoffman (16198778),Mike Hoffman,16198778,W/UTIL,4500,SJ@STL 01/20/2021 09:00PM ET,STL,6.5
,,,,,,,,,,C,Ryan Getzlaf (16198679),Ryan Getzlaf,16198679,C/UTIL,4500,MIN@ANH 01/20/2021 09:30PM ET,ANH,4.47
,,,,,,,,,,D,Jared Spurgeon (16198836),Jared Spurgeon,16198836,D/UTIL,4500,MIN@ANH 01/20/2021 09:30PM ET,MIN,5.23
,,,,,,,,,,C,Nick Schmaltz (16199033),Nick Schmaltz,16199033,C/UTIL,4400,ARI@VGK 01/20/2021 10:00PM ET,ARI,11.37
,,,,,,,,,,LW,Zach Parise (16198677),Zach Parise,16198677,W/UTIL,4400,MIN@ANH 01/20/2021 09:30PM ET,MIN,6
,,,,,,,,,,C,Chandler Stephenson (16198925),Chandler Stephenson,16198925,C/UTIL,4300,ARI@VGK 01/20/2021 10:00PM ET,VGK,8.1
,,,,,,,,,,D,Alexander Romanov (16199283),Alexander Romanov,16199283,D/UTIL,4300,MON@VAN 01/20/2021 10:00PM ET,MON,12.6
,,,,,,,,,,C,Brayden Schenn (16198759),Brayden Schenn,16198759,C/UTIL,4100,SJ@STL 01/20/2021 09:00PM ET,STL,8.63
,,,,,,,,,,RW,Kevin Labanc (16199070),Kevin Labanc,16199070,W/UTIL,4100,SJ@STL 01/20/2021 09:00PM ET,SJ,8.87
,,,,,,,,,,D,Jonas Brodin (16198852),Jonas Brodin,16198852,D/UTIL,4100,MIN@ANH 01/20/2021 09:30PM ET,MIN,9.73
,,,,,,,,,,D,Joel Edmundson (16198871),Joel Edmundson,16198871,D/UTIL,4100,MON@VAN 01/20/2021 10:00PM ET,MON,9.07
,,,,,,,,,,RW,Jakob Silfverberg (16198848),Jakob Silfverberg,16198848,W/UTIL,4000,MIN@ANH 01/20/2021 09:30PM ET,ANH,1.93
,,,,,,,,,,LW,Tyler Toffoli (16198810),Tyler Toffoli,16198810,W/UTIL,3900,MON@VAN 01/20/2021 10:00PM ET,MON,5.17
,,,,,,,,,,C,Phillip Danault (16198862),Phillip Danault,16198862,C/UTIL,3900,MON@VAN 01/20/2021 10:00PM ET,MON,4.7
,,,,,,,,,,RW,Nils Hoglander (16199331),Nils Hoglander,16199331,W/UTIL,3900,MON@VAN 01/20/2021 10:00PM ET,VAN,6.75
,,,,,,,,,,RW,Reilly Smith (16198902),Reilly Smith,16198902,W/UTIL,3800,ARI@VGK 01/20/2021 10:00PM ET,VGK,10.27
,,,,,,,,,,D,Hampus Lindholm (16198910),Hampus Lindholm,16198910,D/UTIL,3800,MIN@ANH 01/20/2021 09:30PM ET,ANH,5.1
,,,,,,,,,,LW,Max Comtois (16199232),Max Comtois,16199232,W/UTIL,3800,MIN@ANH 01/20/2021 09:30PM ET,ANH,11.93
,,,,,,,,,,D,Alex Goligoski (16198725),Alex Goligoski,16198725,D/UTIL,3700,ARI@VGK 01/20/2021 10:00PM ET,ARI,5.47
,,,,,,,,,,RW,Danton Heinen (16199060),Danton Heinen,16199060,W/UTIL,3700,MIN@ANH 01/20/2021 09:30PM ET,ANH,5.73
,,,,,,,,,,LW,Tanner Pearson (16198918),Tanner Pearson,16198918,W/UTIL,3700,MON@VAN 01/20/2021 10:00PM ET,VAN,5.5
,,,,,,,,,,RW,Oskar Sundqvist (16198927),Oskar Sundqvist,16198927,W/UTIL,3600,SJ@STL 01/20/2021 09:00PM ET,STL,10.4
,,,,,,,,,,C,Derick Brassard (16198701),Derick Brassard,16198701,C/UTIL,3600,ARI@VGK 01/20/2021 10:00PM ET,ARI,6
,,,,,,,,,,LW,Marcus Johansson (16198763),Marcus Johansson,16198763,W/UTIL,3600,MIN@ANH 01/20/2021 09:30PM ET,MIN,4.83
