first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection
Alexander,Romanov,D,,x,2,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,4300,27,5.5,11,14.5,4.5,1.05
Marcus,Foligno,W,,3,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3300,23,0,4.5,11.5,4.5,1.36
Tyler,Motte,W,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3200,5,0,4.9,13.5,4.5,1.41
Drake,Caggiula,W,,2,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2700,16,3,5.9,11.5,4.4,1.63
Mario,Ferraro,D,,x,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,3300,28,1.5,4.7,10.5,4.4,1.33
Victor,Rask,C,,1,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3000,14,0,5.2,10,4.4,1.47
Adam,Gaudette,C,,3,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2900,22,0,5.7,12.5,4.4,1.52
Niklas,Hjalmarsson,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2600,2,0.5,1,2,4.3,1.65
Tyler,Myers,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3100,4,2.5,6.4,17,4.3,1.39
Chandler,Stephenson,C,,1,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,4300,26,0,7,15,4.2,0.98
Nicolas,Hague,D,,x,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,21,0,5,15,4.2,1.68
Sonny,Milano,W,,1,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2700,1,1.5,4.2,7,4,1.48
Carter,Rowney,W,,4,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,1,0.5,4.5,10,3.7,1.48
Brett,Kulak,D,,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3400,27,3.5,7.9,16,3.7,1.09
Kyle,Capobianco,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,2,1,3.6,6.5,3.6,1.44
Tomas,Nosek,C,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2800,26,0.5,5.5,12,3.6,1.29
Ivan,Barbashev,C,,4,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,21,1,3.8,6.5,3.6,1.44
William,Carrier,W,,3,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,31,0,1.4,2.5,3.5,1.4
Matt,Nieto,W,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,1.4,2,3.5,1.4
Joel,Armia,W,,3,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2900,11,0,8.5,25.5,3.5,1.21
Nicolas,Deslauriers,W,,4,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,1,4.5,11.9,33.5,3.5,1.4
Carl,Gunnarsson,D,,x,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,30,1.5,3.7,7.5,3.5,1.4
Jani,Hakanpaa,D,,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,15,0,3.1,11,3.4,1.36
Jordan,Kyrou,W,,2,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2800,29,0,6.8,18,3.4,1.21
Brandon,Sutter,W,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3100,5,1.5,3,5,3.3,1.06
Marcus,Sorensen,W,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,2.6,6.5,3.2,1.28
Christian,Fischer,W,,4,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,16,0,0.7,1.5,3.2,1.28
Sammy,Blais,W,DTD,4,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,29,1.5,4.3,8.5,3.1,1.24
Nico,Sturm,W,,4,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,23,0,4.8,14,3.1,1.24
Ryan,Hartman,W,,4,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,23,1,2.9,5,3.1,1.24
