CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,DST,Bears  (16111724),Bears ,16111724,CPT,4200,CHI@NO 01/10/2021 04:40PM ET,CHI,5.75
,,,,,,,RB,Latavius Murray (16111670),Latavius Murray,16111670,FLEX,4000,CHI@NO 01/10/2021 04:40PM ET,NO,9.28
,,,,,,,WR,Anthony Miller (16111671),Anthony Miller,16111671,FLEX,3800,CHI@NO 01/10/2021 04:40PM ET,CHI,6.86
,,,,,,,K,Wil Lutz (16111672),Wil Lutz,16111672,FLEX,3600,CHI@NO 01/10/2021 04:40PM ET,NO,8.44
,,,,,,,WR,Tre'Quan Smith (16111725),Tre'Quan Smith,16111725,CPT,3600,CHI@NO 01/10/2021 04:40PM ET,NO,7.93
,,,,,,,K,Eddy Pineiro (16111673),Eddy Pineiro,16111673,FLEX,3200,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,K,Cairo Santos (16111674),Cairo Santos,16111674,FLEX,3200,CHI@NO 01/10/2021 04:40PM ET,CHI,8.69
,,,,,,,WR,Marquez Callaway (16111726),Marquez Callaway,16111726,CPT,3000,CHI@NO 01/10/2021 04:40PM ET,NO,4.7
,,,,,,,DST,Bears  (16111675),Bears ,16111675,FLEX,2800,CHI@NO 01/10/2021 04:40PM ET,CHI,5.75
,,,,,,,WR,Lil'Jordan Humphrey (16111727),Lil'Jordan Humphrey,16111727,CPT,2700,CHI@NO 01/10/2021 04:40PM ET,NO,6.8
,,,,,,,WR,Tre'Quan Smith (16111676),Tre'Quan Smith,16111676,FLEX,2400,CHI@NO 01/10/2021 04:40PM ET,NO,7.93
,,,,,,,RB,Ty Montgomery (16111728),Ty Montgomery,16111728,CPT,2400,CHI@NO 01/10/2021 04:40PM ET,NO,4.7
,,,,,,,WR,Marquez Callaway (16111677),Marquez Callaway,16111677,FLEX,2000,CHI@NO 01/10/2021 04:40PM ET,NO,4.7
,,,,,,,WR,Lil'Jordan Humphrey (16111678),Lil'Jordan Humphrey,16111678,FLEX,1800,CHI@NO 01/10/2021 04:40PM ET,NO,6.8
,,,,,,,RB,Ty Montgomery (16111679),Ty Montgomery,16111679,FLEX,1600,CHI@NO 01/10/2021 04:40PM ET,NO,4.7
