QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Kyler Murray,Mike Davis,Duke Johnson,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Evan Engram,Aaron Jones,Los Angeles Rams
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,DeAndre Hopkins,Cole Beasley,Dallas Goedert,Aaron Jones,Los Angeles Rams
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,DeAndre Hopkins,John Brown,Jacob Hollister,Aaron Jones,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,John Brown,Christian Kirk,Noah Fant,Aaron Jones,New Orleans Saints
Kyler Murray,Mike Davis,Duke Johnson,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Aaron Jones,Detroit Lions
Josh Allen,Mike Davis,Duke Johnson,Tyler Lockett,Stefon Diggs,DeAndre Hopkins,Hunter Henry,Cole Beasley,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,DeAndre Hopkins,Cole Beasley,Logan Thomas,Aaron Jones,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Tyler Lockett,Stefon Diggs,DeAndre Hopkins,Dallas Goedert,John Brown,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Larry Fitzgerald,Evan Engram,John Brown,New Orleans Saints
Kyler Murray,Mike Davis,Duke Johnson,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,Robby Anderson,DeAndre Hopkins,Evan Engram,Cole Beasley,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Noah Fant,John Brown,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,DeAndre Hopkins,Cole Beasley,Evan Engram,Aaron Jones,Jacksonville Jaguars
Josh Allen,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,DeAndre Hopkins,Noah Fant,John Brown,New Orleans Saints
Justin Herbert,Mike Davis,Duke Johnson,DeVante Parker,Stefon Diggs,Keenan Allen,Hunter Henry,Aaron Jones,New Orleans Saints
Josh Allen,Mike Davis,Duke Johnson,Stefon Diggs,DeAndre Hopkins,John Brown,Logan Thomas,Aaron Jones,Detroit Lions
Kyler Murray,Mike Davis,Duke Johnson,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Evan Engram,Miles Sanders,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Keelan Cole,Stefon Diggs,DeAndre Hopkins,Evan Engram,John Brown,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Darren Waller,John Brown,Los Angeles Rams
Josh Allen,Mike Davis,Duke Johnson,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Noah Fant,John Brown,New Orleans Saints
