PG,SG,SF,PF,C,G,F,UTIL
Reggie Jackson,Jevon Carter,Kyle Kuzma,Jerami Grant,Harry Giles III,Stephen Curry,Jae'Sean Tate,Bam Adebayo
Reggie Jackson,Victor Oladipo,Kyle Kuzma,Precious Achiuwa,Mason Plumlee,Stephen Curry,Cam Johnson,Enes Kanter
Kendrick Nunn,Victor Oladipo,Kyle Kuzma,Marcus Morris,Harry Giles III,Andrew Wiggins,Jerami Grant,Deandre Ayton
Chris Paul,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Kelly Oubre,Serge Ibaka
Damian Lillard,Victor Oladipo,Kyle Kuzma,Precious Achiuwa,Deandre Ayton,Reggie Jackson,Draymond Green,Isaiah Stewart
Chris Paul,Kendrick Nunn,Kyle Kuzma,Draymond Green,Harry Giles III,Terance Mann,Jerami Grant,Christian Wood
Jevon Carter,Victor Oladipo,Kyle Kuzma,Carmelo Anthony,Bam Adebayo,Terance Mann,Draymond Green,Jerami Grant
Chris Paul,Victor Oladipo,Kent Bazemore,Kyle Kuzma,Harry Giles III,Terance Mann,Jerami Grant,Bam Adebayo
Damian Lillard,Jevon Carter,Kyle Kuzma,Jerami Grant,Christian Wood,Kendrick Nunn,Eric Paschall,Terance Mann
Kendrick Nunn,Victor Oladipo,Mikal Bridges,Draymond Green,Mason Plumlee,Terance Mann,LeBron James,Harry Giles III
Damian Lillard,Victor Oladipo,Abdel Nader,Precious Achiuwa,Mason Plumlee,Stephen Curry,Kyle Kuzma,Terance Mann
Damian Lillard,Victor Oladipo,Kyle Kuzma,Draymond Green,Mason Plumlee,Lou Williams,KZ Okpala,Deandre Ayton
Damian Lillard,Damion Lee,Mikal Bridges,Kyle Kuzma,Mason Plumlee,Kendrick Nunn,Nicolas Batum,Christian Wood
Damian Lillard,Kendrick Nunn,Kyle Kuzma,Nicolas Batum,Mason Plumlee,Victor Oladipo,Andrew Wiggins,Frank Kaminsky
Stephen Curry,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Cam Johnson,Nicolas Batum
Chris Paul,Victor Oladipo,Kyle Kuzma,Marcus Morris,Mason Plumlee,Anfernee Simons,Kelly Oubre,Bam Adebayo
Chris Paul,Victor Oladipo,Kyle Kuzma,Eric Paschall,Mason Plumlee,Reggie Jackson,Gary Trent Jr.,Bam Adebayo
Reggie Jackson,Damion Lee,Kyle Kuzma,Derrick Jones Jr.,Bam Adebayo,Victor Oladipo,Blake Griffin,Deandre Ayton
Damian Lillard,Kendrick Nunn,Kyle Kuzma,Jerami Grant,Deandre Ayton,Terance Mann,Jae'Sean Tate,Kevon Looney
Damian Lillard,Victor Oladipo,Kyle Kuzma,Precious Achiuwa,Mason Plumlee,Reggie Jackson,Jae Crowder,Kelly Oubre
