Player_Name,Salary,Team,Pos,Opp,Proj_FP
Bilal Powell,5000.00,NYJ,RB,LAR,8.31
Victor Cruz,3800.00,NYG,WR,CIN,6.16
Trey Burton,2500.00,PHI,TE,ATL,4.04
Austin Seferian-Jenkins,2500.00,NYJ,TE,LAR,3.98
Vernon Davis,2700.00,WAS,TE,MIN,4.28
Freddie Martino,3000.00,TBB,WR,CHI,4.73
Robby Anderson,3000.00,NYJ,WR,LAR,4.74
Jeff Janis,3100.00,GBP,WR,TEN,4.64
Doug Martin,5800.00,TBB,RB,CHI,8.66
Darren Fells,2500.00,ARI,TE,SFO,3.71
Terron Ward,3500.00,ATL,RB,PHI,5.18
Christine Michael,5900.00,SEA,RB,NEP,8.66
Bobby Rainey,3000.00,NYG,RB,CIN,4.32
Tyler Higbee,2500.00,LAR,TE,NYJ,3.31
Ronnie Hillman,3500.00,MIN,RB,WAS,4.56
Keith Mumphery,3000.00,HOU,WR,JAC,3.72
Jermaine Gresham,2500.00,ARI,TE,SFO,3.02
Jeremy Langford,3700.00,CHI,RB,TBB,4.38
Michael Floyd,3800.00,ARI,WR,SFO,4.4
Andre Ellington,3500.00,ARI,RB,SFO,4.02
Paul Richardson,3000.00,SEA,WR,NEP,3.46
Josh Hill,2500.00,NOS,TE,DEN,2.84
Cecil Shorts,3000.00,TBB,WR,CHI,3.42
James Starks,4200.00,GBP,RB,TEN,4.8
Derrick Henry,5000.00,TEN,RB,GBP,5.64
Damien Williams,3900.00,MIA,RB,SDC,4.36
Travaris Cadet,3000.00,NOS,RB,DEN,3.3
Justin Hardy,3000.00,ATL,WR,PHI,3.29
Don Jackson,3000.00,GBP,RB,TEN,3.28
Harry Douglas,3000.00,TEN,WR,GBP,3.21
Charles Johnson,3000.00,MIN,WR,WAS,3.19
Brandon Williams,2500.00,SEA,TE,NEP,2.66
Geoff Swaim,2500.00,DAL,TE,PIT,2.56
Kamar Aiken,3900.00,BAL,WR,CLE,3.97
Charcandrick West,5200.00,KCC,RB,CAR,5.03
Jonathan Grimes,3000.00,HOU,RB,JAC,2.87
MarQueis Gray,2500.00,MIA,TE,SDC,2.36
Bennie Fowler,3000.00,DEN,WR,NOS,2.79
Jeff Heuerman,2500.00,DEN,TE,NOS,2.32
Fitzgerald Toussaint,3000.00,PIT,RB,DAL,2.76
Ed Dickson,2500.00,CAR,TE,KCC,2.22
Alfred Morris,4900.00,DAL,RB,PIT,4.29
Brandon Myers,2500.00,TBB,TE,CHI,2.09
Demetrius Harris,2500.00,KCC,TE,CAR,2.11
Tyler Kroft,2500.00,CIN,TE,NYG,2.1
Rhett Ellison,2500.00,MIN,TE,WAS,2.04
Xavier Grimble,2500.00,PIT,TE,DAL,2.03
Mike James,3300.00,TBB,RB,CHI,2.64
Brice Butler,3500.00,DAL,WR,PIT,2.8
Aldrick Robinson,3000.00,ATL,WR,PHI,2.37
Aaron Ripkowski,3000.00,GBP,RB,TEN,2.37
Malcolm Mitchell,3000.00,NEP,WR,SEA,2.34
Fozzy Whittaker,3200.00,CAR,RB,KCC,2.46
Anthony Fasano,2500.00,TEN,TE,GBP,1.82
Ka'Deem Carey,3700.00,CHI,RB,TBB,2.46
Logan Paulsen,2500.00,CHI,TE,TBB,1.62
Benny Cunningham,3700.00,LAR,RB,NYJ,2.33
Josh Bellamy,3000.00,CHI,WR,TBB,1.86
Brandon Bostick,2500.00,NYJ,TE,LAR,1.51
Ryan Grant,3000.00,WAS,WR,MIN,1.64
Bradley Marquez,3000.00,LAR,WR,NYJ,1.64
Jakeem Grant,3000.00,MIA,WR,SDC,1.6
Alfred Blue,4800.00,HOU,RB,JAC,2.52
Rashard Higgins,3000.00,CLE,WR,BAL,1.49
Antonio Andrews,3000.00,TEN,RB,GBP,1.47
Dwayne Harris,3000.00,NYG,WR,CIN,1.37
