Player_Name,Salary,Team,Pos,Opp,Proj_FP
Seth Roberts,200.00,CHI,WR,CAR,3.57
Alexander Mattison,4000.00,MIN,RB,ATL,21.28
Ryan Fitzpatrick,5000.00,MIA,QB,NYJ,21.68
Ronald Jones,5300.00,TBB,RB,GBP,20.82
Andy Dalton,5200.00,DAL,QB,ARI,20.43
Deon Cain,200.00,PIT,WR,CLE,0.74
Cam Newton,5900.00,NEP,QB,DEN,21.42
Carolina Panthers,2100.00,CAR,DST,CHI,7.56
Ezekiel Elliott,6600.00,DAL,RB,ARI,23.28
Josh Allen,7000.00,BUF,QB,KCC,24.56
Daniel Jones,5400.00,NYG,QB,WAS,18.97
Devonta Freeman,4600.00,NYG,RB,WAS,15.8
Mike Davis,6700.00,CAR,RB,CHI,22.77
Lamar Jackson,6900.00,BAL,QB,PHI,23.35
Matthew Stafford,6600.00,DET,QB,JAC,22.06
Aaron Rodgers,6700.00,GBP,QB,TBB,22.2
N'Keal Harry,3400.00,NEP,WR,DEN,11.21
Kyler Murray,7800.00,ARI,QB,DAL,25.75
Deshaun Watson,7100.00,HOU,QB,TEN,23.25
Ryan Tannehill,6300.00,TEN,QB,HOU,20.58
Kirk Cousins,6200.00,MIN,QB,ATL,20.27
Matt Ryan,6400.00,ATL,QB,MIN,20.71
Jonnu Smith,3900.00,TEN,TE,HOU,12.61
Detroit Lions,2300.00,DET,DST,JAC,7.34
Nick Foles,5500.00,CHI,QB,CAR,17.55
David Montgomery,5700.00,CHI,RB,CAR,18.05
Philip Rivers,5600.00,IND,QB,CIN,17.62
Joe Flacco,4500.00,NYJ,QB,MIA,14.16
Teddy Bridgewater,6000.00,CAR,QB,CHI,18.82
Adam Thielen,6700.00,MIN,WR,ATL,20.97
Julian Edelman,4500.00,NEP,WR,DEN,13.98
Jonathan Taylor,6000.00,IND,RB,CIN,18.52
Dallas Cowboys,2000.00,DAL,DST,ARI,6.12
Clyde Edwards-Helaire,6100.00,KCC,RB,BUF,18.65
Patrick Mahomes,8100.00,KCC,QB,BUF,24.71
Aaron Jones,6800.00,GBP,RB,TBB,20.6
Marquez Valdes-Scantling,3600.00,GBP,WR,TBB,10.89
Minnesota Vikings,2400.00,MIN,DST,ATL,7.22
Kyle Allen,5300.00,WAS,QB,NYG,15.84
Tom Brady,6900.00,TBB,QB,GBP,20.57
Indianapolis Colts,3300.00,IND,DST,CIN,9.79
DeVante Parker,5200.00,MIA,WR,NYJ,15.42
T.Y. Hilton,4600.00,IND,WR,CIN,13.64
Michael Gallup,4000.00,DAL,WR,ARI,11.78
Mark Andrews,4800.00,BAL,TE,PHI,14.01
Ben Roethlisberger,6500.00,PIT,QB,CLE,18.69
CeeDee Lamb,4900.00,DAL,WR,ARI,14.04
Baltimore Ravens,3500.00,BAL,DST,PHI,10.01
James Washington,3000.00,PIT,WR,CLE,8.55
Miami Dolphins,2800.00,MIA,DST,NYJ,7.98
Amari Cooper,5600.00,DAL,WR,ARI,15.86
Adrian Peterson,4000.00,DET,RB,JAC,11.23
Golden Tate,3700.00,NYG,WR,WAS,10.35
Darius Slayton,5000.00,NYG,WR,WAS,13.88
Jeff Smith,3300.00,NYJ,WR,MIA,9.13
Kenny Golladay,6400.00,DET,WR,JAC,17.64
Myles Gaskin,5900.00,MIA,RB,NYJ,16.14
A.J. Brown,6600.00,TEN,WR,HOU,18.06
DeAndre Hopkins,8200.00,ARI,WR,DAL,22.24
Calvin Ridley,7000.00,ATL,WR,MIN,18.99
Mike Gesicki,4400.00,MIA,TE,NYJ,11.88
Kenyan Drake,4700.00,ARI,RB,DAL,12.68
Travis Kelce,7200.00,KCC,TE,BUF,19.32
Drew Lock,5200.00,DEN,QB,NEP,13.92
Isaiah Ford,3000.00,NYJ,WR,MIA,8.05
David Johnson,5600.00,HOU,RB,TEN,15.03
New York Jets,2300.00,NYJ,DST,MIA,6.14
Preston Williams,4100.00,MIA,WR,NYJ,10.93
New York Giants,2700.00,NYG,DST,WAS,7.19
Robert Tonyan,4000.00,GBP,TE,TBB,10.65
Evan Engram,4300.00,NYG,TE,WAS,11.43
Robby Anderson,6300.00,CAR,WR,CHI,16.69
Devin Singletary,4700.00,BUF,RB,KCC,12.38
Terry McLaurin,6500.00,WAS,WR,NYG,17.04
Chris Godwin,6000.00,TBB,WR,GBP,15.74
John Brown,4600.00,BUF,WR,KCC,12.05
Damiere Byrd,3800.00,NEP,WR,DEN,9.93
Derrick Henry,7900.00,TEN,RB,HOU,20.58
New England Patriots,3800.00,NEP,DST,DEN,9.91
Trey Burton,3500.00,IND,TE,CIN,9.08
Allen Robinson,6900.00,CHI,WR,CAR,17.77
Adam Humphries,3400.00,TEN,WR,HOU,8.73
Antonio Gibson,5800.00,WAS,RB,NYG,14.9
D.J. Moore,5600.00,CAR,WR,CHI,14.37
Jerry Jeudy,4700.00,DEN,WR,NEP,12.02
Stefon Diggs,7400.00,BUF,WR,KCC,18.98
Arizona Cardinals,2900.00,ARI,DST,DAL,7.4
Justin Jefferson,6100.00,MIN,WR,ATL,15.37
Phillip Lindsay,5200.00,DEN,RB,NEP,13.09
Tyreek Hill,7100.00,KCC,WR,BUF,17.83
Marvin Jones,5100.00,DET,WR,JAC,12.79
Will Fuller,6800.00,HOU,WR,TEN,16.87
Marquise Brown,6000.00,BAL,WR,PHI,14.83
Davante Adams,8400.00,GBP,WR,TBB,20.71
Larry Fitzgerald,3800.00,ARI,WR,DAL,9.36
Tennessee Titans,3000.00,TEN,DST,HOU,7.38
Zach Pascal,4300.00,IND,WR,CIN,10.59
Randall Cobb,4500.00,HOU,WR,TEN,11.07
Mike Evans,6400.00,TBB,WR,GBP,15.7
Eric Ebron,4500.00,PIT,TE,CLE,10.98
Cameron Brate,2500.00,TBB,TE,GBP,6.1
Jamison Crowder,5900.00,NYJ,WR,MIA,14.34
Dontrelle Inman,3300.00,WAS,WR,NYG,8.03
James White,4600.00,NEP,RB,DEN,11.1
James Conner,6900.00,PIT,RB,CLE,16.6
Breshad Perriman,3800.00,NYJ,WR,MIA,9.14
Dalton Schultz,3600.00,DAL,TE,ARI,8.66
Danny Amendola,3700.00,DET,WR,JAC,8.87
Demarcus Robinson,3200.00,KCC,WR,BUF,7.64
Nyheim Hines,4400.00,IND,RB,CIN,10.49
Chase Claypool,5700.00,PIT,WR,CLE,13.46
Chris Herndon,2800.00,NYJ,TE,MIA,6.49
Irv Smith,2900.00,MIN,TE,ATL,6.72
Todd Gurley,6200.00,ATL,RB,MIN,14.35
Denver Broncos,2700.00,DEN,DST,NEP,6.2
Jimmy Graham,3800.00,CHI,TE,CAR,8.7
Logan Thomas,3700.00,WAS,TE,NYG,8.48
Brandin Cooks,5500.00,HOU,WR,TEN,12.55
Nick Vannett,2500.00,DEN,TE,NEP,5.67
Darnell Mooney,3900.00,CHI,WR,CAR,8.87
Tim Patrick,4900.00,DEN,WR,NEP,11.09
Chicago Bears,3200.00,CHI,DST,CAR,7.17
Jake Butt,2500.00,DEN,TE,NEP,5.59
Julio Jones,7200.00,ATL,WR,MIN,15.99
T.J. Hockenson,5100.00,DET,TE,JAC,11.32
JuJu Smith-Schuster,6200.00,PIT,WR,CLE,13.7
Mecole Hardman,4800.00,KCC,WR,BUF,10.6
Ryan Izzo,2500.00,NEP,TE,DEN,5.51
Anthony Miller,4000.00,CHI,WR,CAR,8.77
Marcus Johnson,3000.00,IND,WR,CIN,6.53
Cordarrelle Patterson,3200.00,CHI,WR,CAR,6.93
Russell Gage,4500.00,ATL,WR,MIN,9.75
Christian Kirk,5300.00,ARI,WR,DAL,11.42
Green Bay Packers,3100.00,GBP,DST,TBB,6.68
Hayden Hurst,4100.00,ATL,TE,MIN,8.73
Atlanta Falcons,2500.00,ATL,DST,MIN,5.28
DaeSean Hamilton,3200.00,DEN,WR,NEP,6.66
Andy Isabella,3200.00,ARI,WR,DAL,6.59
Washington Football Team,3400.00,WAS,DST,NYG,7.02
Buffalo Bills,2400.00,BUF,DST,KCC,4.94
Mark Ingram,4800.00,BAL,RB,PHI,9.85
J.D. McKissic,4300.00,WAS,RB,NYG,8.71
Tampa Bay Buccaneers,3600.00,TBB,DST,GBP,7.32
Frank Gore,4000.00,NYJ,RB,MIA,8.1
Cole Beasley,5400.00,BUF,WR,KCC,10.93
Houston Texans,3100.00,HOU,DST,TEN,6.1
Tyler Kroft,3200.00,BUF,TE,KCC,6.3
La'Mical Perine,4400.00,NYJ,RB,MIA,8.53
Rex Burkhead,4000.00,NEP,RB,DEN,7.73
Anthony Firkser,2800.00,TEN,TE,HOU,5.26
Isaiah Wright,3000.00,WAS,WR,NYG,5.62
Miles Boykin,3200.00,BAL,WR,PHI,5.98
Gabriel Davis,3200.00,BUF,WR,KCC,5.8
Mike Boone,4000.00,MIN,RB,ATL,7.14
Matt Breida,4000.00,MIA,RB,NYJ,7.16
D'Andre Swift,5000.00,DET,RB,JAC,8.84
Damien Harris,5300.00,NEP,RB,DEN,9.36
Kansas City Chiefs,3700.00,KCC,DST,BUF,6.53
Ian Thomas,2800.00,CAR,TE,CHI,4.85
Brian Hill,4000.00,ATL,RB,MIN,6.87
Royce Freeman,4000.00,DEN,RB,NEP,6.84
Kalif Raymond,3000.00,TEN,WR,HOU,5.14
Darrius Shepherd,3000.00,GBP,WR,TBB,5.12
