Minimum Place,Payout
1,500
2,300
3,200
4,150
5,100
7,75
10,50
13,40
16,30
20,25
25,20
30,15
40,10
55,8
70,6
90,5
115,4
165,3
315,2
650,1.5
1610,1
4180,0.75
11410,0.5
47562,0
