PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16278399,16278681,16278467,16278858,16278693,16278456,16278486,16278764,,1. Locate the player you want to select in the list below ,,,,,,,,
16278399,16278681,16278486,16278858,16278632,16278456,16278463,16278881,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16278496,16278681,16278467,16278858,16278891,16278399,16278486,16278518,,3. Paste the ID into the roster position desired ,,,,,,,,
16278496,16278681,16278486,16278858,16278881,16278399,16278549,16278456,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16278399,16278638,16278467,16278858,16278911,16278456,16278463,16278693,,5. You can create up to 500 lineups per file ,,,,,,,,
16278496,16278681,16278486,16278678,16278693,16278399,16278858,16278463,,,,,,,,,,
16278496,16278681,16278486,16278678,16278722,16278399,16278858,16278456,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16278496,16278681,16278486,16278858,16278632,16278399,16278463,16278764,,PF/C,Giannis Antetokounmpo (16278395),Giannis Antetokounmpo,16278395,PF/C/F/UTIL,10800,MIL@CHA 01/30/2021 08:00PM ET,MIL,53.98
16278664,16278681,16278486,16278858,16278632,16278496,16278510,16278399,,PG,Luka Doncic (16278399),Luka Doncic,16278399,PG/G/UTIL,10700,PHO@DAL 01/30/2021 09:00PM ET,DAL,57.5
16278664,16278681,16278467,16278858,16278484,16278524,16278650,16278399,,PG,Damian Lillard (16278402),Damian Lillard,16278402,PG/G/UTIL,10600,POR@CHI 01/30/2021 08:00PM ET,POR,48.19
16278524,16278681,16278877,16278858,16278463,16278399,16278549,16278456,,PG/SF,LeBron James (16278405),LeBron James,16278405,PG/SF/F/G/UTIL,10300,LAL@BOS 01/30/2021 08:30PM ET,LAL,49.4
16278664,16278681,16278486,16278858,16278693,16278399,16278549,16278452,,PG,Stephen Curry (16278410),Stephen Curry,16278410,PG/G/UTIL,9700,DET@GS 01/30/2021 10:00PM ET,GS,46.83
16278496,16278681,16278467,16278858,16278463,16278399,16278650,16278764,,PF/C,Anthony Davis (16278413),Anthony Davis,16278413,PF/C/F/UTIL,9300,LAL@BOS 01/30/2021 08:30PM ET,LAL,44.76
16278664,16278681,16278486,16278858,16278764,16278496,16278452,16278399,,C,Bam Adebayo (16278417),Bam Adebayo,16278417,C/UTIL,9200,SAC@MIA 01/30/2021 08:00PM ET,MIA,42.19
16278664,16278638,16278486,16278858,16278911,16278399,16278395,16278722,,SG,Zach LaVine (16278419),Zach LaVine,16278419,SG/G/UTIL,8800,POR@CHI 01/30/2021 08:00PM ET,CHI,45.1
16278399,16278681,16278486,16278858,16278722,16278456,16278463,16278764,,C,Christian Wood (16278422),Christian Wood,16278422,C/UTIL,8700,HOU@NO 01/30/2021 08:00PM ET,HOU,44.56
16278664,16278681,16278486,16278858,16278722,16278399,16278510,16278456,,PG,CJ McCollum (16278424),CJ McCollum,16278424,PG/G/UTIL,8600,POR@CHI 01/30/2021 08:00PM ET,POR,44.48
