Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Chris Owings,2100.00,BOS,2B/OF,LAA,9.25,4.4,1,1
Humberto Arteaga,2000.00,KCR,SS,DET,6.6,3.3,8,1
Trent Grisham,2100.00,MIL,OF,TEX,6.04,2.88,7,1
Nick Dini,2000.00,KCR,C,DET,5.41,2.71,7,1
Sam Travis,3700.00,BOS,1B/OF,LAA,9.68,2.62,6,1
Max Stassi,2000.00,LAA,C,BOS,5.15,2.58,8,1
Paul Goldschmidt,4000.00,STL,1B,PIT,10.14,2.54,3,1
Bubba Starling,3000.00,KCR,OF,DET,7.58,2.53,6,1
Billy Hamilton,2700.00,KCR,OF,DET,6.6,2.44,9,1
Lewis Brinson,2200.00,MIA,OF,ATL,5.37,2.44,8,1
Aaron Judge,4400.00,NYY,OF,TOR,10.26,2.33,2,1
Johan Camargo,3100.00,ATL,OF/SS,MIA,7.09,2.29,5,1
Adam Frazier,3100.00,PIT,2B,STL,7.06,2.28,1,1
Jose Peraza,3000.00,CIN,2B/SS,CHC,6.83,2.28,5,1
Rio Ruiz,2700.00,BAL,3B,HOU,6.1,2.26,9,1
Matt Skole,3300.00,CHW,1B,OAK,7.35,2.23,6,1
Dawel Lugo,2800.00,DET,3B,KCR,6.22,2.22,5,1
J.D. Martinez,5100.00,BOS,OF,LAA,11.18,2.19,4,1
Harold Castro,3400.00,DET,2B/OF,KCR,7.4,2.18,1,1
Shohei Ohtani,4800.00,LAA,OF,BOS,10.32,2.15,3,1
Jason Heyward,4000.00,CHC,OF,CIN,8.54,2.14,1,1
Whit Merrifield,4700.00,KCR,2B/OF,DET,10.04,2.14,1,1
Yasiel Puig,4100.00,CLE,OF,MIN,8.72,2.13,4,1
Ronny Rodriguez,3200.00,DET,2B/SS,KCR,6.8,2.13,6,1
Nick Martini,3100.00,OAK,OF,CHW,6.57,2.12,2,1
Leury Garcia,3700.00,CHW,OF/SS,OAK,7.79,2.11,1,1
Kevin Plawecki,2700.00,CLE,C,MIN,5.68,2.1,9,1
Yairo Munoz,3400.00,STL,3B/OF,PIT,7.11,2.09,6,1
Miguel Cabrera,3600.00,DET,1B,KCR,7.53,2.09,3,1
Isan Diaz,3200.00,MIA,2B,ATL,6.66,2.08,2,1
Franmil Reyes,3400.00,CLE,OF,MIN,7.08,2.08,7,1
Xander Bogaerts,5200.00,BOS,SS,LAA,10.75,2.07,3,1
Justin Smoak,3600.00,TOR,1B,NYY,7.45,2.07,5,1
Jon Jay,2900.00,CHW,OF,OAK,5.99,2.07,2,1
Greg Allen,3300.00,CLE,OF,MIN,6.79,2.06,2,1
Brandon Dixon,4000.00,DET,1B,KCR,8.15,2.04,4,1
Shin-soo Choo,4600.00,TEX,OF,MIL,9.37,2.04,1,1
Kole Calhoun,4300.00,LAA,OF,BOS,8.75,2.03,5,1
Mike Moustakas,4100.00,MIL,2B/3B,TEX,8.27,2.02,3,1
