Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Mike Foltynewicz,7000.00,ATL,SP,MIA,17.87,2.55
Masahiro Tanaka,7300.00,NYY,SP,TOR,17.58,2.41
Justin Verlander,12400.00,HOU,SP,BAL,29.6,2.39
Jacob deGrom,11800.00,NYM,SP,WAS,27.83,2.36
Miles Mikolas,8000.00,STL,SP,PIT,18.59,2.32
Aaron Civale,6900.00,CLE,SP,MIN,15.83,2.29
Daniel Norris,6600.00,DET,SP,KCR,14.61,2.21
Jakob Junis,7900.00,KCR,SP,DET,16.71,2.12
Lucas Giolito,10600.00,CHW,SP,OAK,21.71,2.05
Jon Lester,7400.00,CHC,SP,CIN,14.85,2.01
Jordan Lyles,7100.00,MIL,SP,TEX,14.21,2
Steven Brault,4700.00,PIT,SP,STL,9.27,1.97
Hector Noesi,5000.00,MIA,SP,ATL,9.63,1.93
Mike Minor,9600.00,TEX,SP,MIL,17.95,1.87
Luis Castillo,11000.00,CIN,SP,CHC,20.21,1.84
Anibal Sanchez,8400.00,WAS,SP,NYM,15.27,1.82
Trent Thornton,5300.00,TOR,SP,NYY,9.65,1.82
Chris Bassitt,9100.00,OAK,SP,CHW,15.64,1.72
Andrew Cashner,5700.00,BOS,SP,LAA,9.79,1.72
Jose Berrios,10200.00,MIN,SP,CLE,17.26,1.69
Asher Wojciechowski,6200.00,BAL,SP,HOU,10.35,1.67
Patrick Sandoval,6800.00,LAA,SP,BOS,9.25,1.36
