P,P,C,1B,2B,3B,SS,OF,OF,OF,Proj_pts
Justin Verlander,Jacob deGrom,Nick Dini,Sam Travis,Chris Owings,Hunter Dozier,Humberto Arteaga,Bubba Starling,Billy Hamilton,Mike Trout,122.4
Mike Foltynewicz,Justin Verlander,Nick Dini,Sam Travis,Chris Owings,Rafael Devers,Xander Bogaerts,Trent Grisham,J.D. Martinez,Shohei Ohtani,119.53999999999999
Masahiro Tanaka,Jacob deGrom,Christian Vazquez,Sam Travis,Chris Owings,Dawel Lugo,Xander Bogaerts,Bubba Starling,Aaron Judge,J.D. Martinez,118.4
Justin Verlander,Jacob deGrom,Chris Herrmann,Matt Olson,Chris Owings,Matt Chapman,Humberto Arteaga,Aaron Judge,Nick Martini,Robbie Grossman,117.49000000000001
Justin Verlander,Jacob deGrom,Max Stassi,Matthew Thaiss,Chris Owings,Dawel Lugo,David Fletcher,Trent Grisham,Shohei Ohtani,Kole Calhoun,117.32000000000002
