P,P,C,1B,2B,3B,SS,OF,OF,OF
Yu Darvish,Justin Verlander,Mike Zunino,Jesus Aguilar,Mike Brosseau,Matt Duffy,Alex Bregman,Eloy Jimenez,Yasiel Puig,Tommy Pham
Yu Darvish,Justin Verlander,Mike Zunino,Jesus Aguilar,Jonathan Villar,Matt Duffy,Carlos Correa,Guillermo Heredia,Tommy Pham,Anthony Santander
Drew Smyly,Justin Verlander,Yasmani Grandal,Eric Thames,Jonathan Villar,Travis Shaw,Alex Bregman,Trent Grisham,Josh VanMeter,Christian Yelich
Yu Darvish,Justin Verlander,Mike Zunino,Jose Abreu,Yolmer Sanchez,Matt Duffy,Tim Anderson,Eloy Jimenez,Yasiel Puig,Jon Jay
Yu Darvish,Justin Verlander,Chance Sisco,Chris Davis,Jonathan Villar,Matt Duffy,Humberto Arteaga,Yasiel Puig,Jace Peterson,Anthony Santander
Yu Darvish,Justin Verlander,Tucker Barnhart,Joey Votto,Adam Frazier,Eugenio Suarez,Humberto Arteaga,Eloy Jimenez,Josh VanMeter,Jesse Winker
Yu Darvish,Justin Verlander,Mike Zunino,Jose Abreu,Whit Merrifield,Hunter Dozier,Humberto Arteaga,Eloy Jimenez,Jorge Soler,Bubba Starling
Yu Darvish,Justin Verlander,Mike Zunino,Jesus Aguilar,Jose Altuve,Matt Duffy,Humberto Arteaga,Tommy Pham,Lourdes Gurriel Jr.,Avisail Garcia
Yu Darvish,Justin Verlander,James McCann,Jose Abreu,Yolmer Sanchez,Matt Duffy,Ryan Goins,Eloy Jimenez,Josh VanMeter,Jon Berti
Justin Verlander,Shane Bieber,Yasmani Grandal,Eric Thames,Mike Moustakas,Travis Shaw,Humberto Arteaga,Trent Grisham,Eloy Jimenez,Josh VanMeter
Yu Darvish,Justin Verlander,Mike Zunino,Travis d'Arnaud,Jonathan Villar,Matt Duffy,Alex Bregman,Eloy Jimenez,Guillermo Heredia,Avisail Garcia
Yu Darvish,Justin Verlander,Mike Zunino,Travis d'Arnaud,Adam Frazier,Matt Duffy,Tim Anderson,Yasiel Puig,Guillermo Heredia,Tommy Pham
Drew Smyly,Justin Verlander,Yasmani Grandal,Eric Thames,Mike Moustakas,Travis Shaw,Carlos Correa,Trent Grisham,Yasiel Puig,Lourdes Gurriel Jr.
Yu Darvish,Justin Verlander,Mike Zunino,Cheslor Cuthbert,Whit Merrifield,Matt Duffy,Humberto Arteaga,Yasiel Puig,Jorge Soler,Alex Gordon
Yu Darvish,Justin Verlander,Mike Zunino,Jose Abreu,Jose Altuve,Matt Duffy,Willy Adames,Eloy Jimenez,Guillermo Heredia,Tommy Pham
Drew Smyly,Justin Verlander,Yasmani Grandal,Eric Thames,Mike Moustakas,Matt Duffy,Humberto Arteaga,Trent Grisham,George Springer,Christian Yelich
Yu Darvish,Justin Verlander,Tucker Barnhart,Derek Dietrich,Jonathan Villar,Matt Duffy,Jose Iglesias,Eloy Jimenez,Josh VanMeter,Jesse Winker
Yu Darvish,Justin Verlander,Mike Zunino,Joey Votto,Mike Brosseau,Matt Duffy,Francisco Lindor,Josh VanMeter,Guillermo Heredia,Tommy Pham
Yu Darvish,Justin Verlander,Mike Zunino,Jesus Aguilar,Mike Brosseau,Matt Duffy,Tim Anderson,Guillermo Heredia,Bryce Harper,Lourdes Gurriel Jr.
Yu Darvish,Justin Verlander,Mike Zunino,Jesus Aguilar,Cesar Hernandez,Matt Duffy,Willy Adames,Josh VanMeter,Tommy Pham,George Springer
