Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Drew Smyly,6600.00,PHI,SP,CHW,17.73,2.69
Yu Darvish,9000.00,CHC,SP,MIL,22.85,2.54
Joe Musgrove,6200.00,PIT,SP,NYM,15.32,2.47
Justin Verlander,12000.00,HOU,SP,SEA,28.26,2.36
Tom Eshelman,4400.00,BAL,SP,TOR,9.55,2.17
Sonny Gray,8100.00,CIN,SP,ATL,17.08,2.11
Shane Bieber,10900.00,CLE,SP,LAA,22.31,2.05
Brad Keller,6900.00,KCR,SP,MIN,13.79,2
Noah Syndergaard,10500.00,NYM,SP,PIT,19.94,1.9
Jaime Barria,5900.00,LAA,SP,CLE,10.79,1.83
Yonny Chirinos,8600.00,TBR,SP,MIA,15.69,1.82
Caleb Smith,10600.00,MIA,SP,TBR,19.31,1.82
Julio Teheran,8000.00,ATL,SP,CIN,14,1.75
Reynaldo Lopez,7200.00,CHW,SP,PHI,12.33,1.71
Adrian Houser,5000.00,MIL,SP,CHC,8.57,1.71
Sean Reid-Foley,7600.00,TOR,SP,BAL,11.73,1.54
Devin Smeltzer,6900.00,MIN,SP,KCR,10.56,1.53
Tommy Milone,8000.00,SEA,SP,HOU,11.88,1.49
Sam Tuivailala,4200.00,SEA,SP,HOU,5.2,1.24
Jimmy Yacabonis,6400.00,BAL,SP,TOR,3.67,0.57
