QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,Detroit Lions
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Noah Fant,John Brown,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Keenan Allen,Hunter Henry,Duke Johnson,Philadelphia Eagles
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,DeAndre Hopkins,Hunter Henry,Gabriel Davis,Los Angeles Rams
Kyler Murray,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Dan Arnold,Alvin Kamara,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,John Brown,Christian Kirk,Dallas Goedert,Duke Johnson,Green Bay Packers
Kyler Murray,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,DeAndre Hopkins,Austin Hooper,Christian Kirk,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,DeAndre Hopkins,Darren Waller,John Brown,Jacksonville Jaguars
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Cooper Kupp,Gerald Everett,Duke Johnson,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,DeVante Parker,Tyler Lockett,Keenan Allen,Mike Gesicki,Alvin Kamara,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Larry Fitzgerald,Dawson Knox,Alvin Kamara,Miami Dolphins
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Larry Fitzgerald,Darren Waller,Cole Beasley,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Christian Kirk,Cole Beasley,Hunter Henry,Miles Sanders,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,Jakeem Grant,DeVante Parker,Keenan Allen,Darren Waller,Davante Adams,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Larry Fitzgerald,Darren Waller,Christian Kirk,Cleveland Browns
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,John Brown,Dan Arnold,Alvin Kamara,Cleveland Browns
Josh Allen,Mike Davis,Duke Johnson,Tyler Lockett,Stefon Diggs,DeAndre Hopkins,Austin Hooper,John Brown,Detroit Lions
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,DeAndre Hopkins,Drew Sample,Cole Beasley,Detroit Lions
