QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Larry Fitzgerald,Dallas Goedert,Christian Kirk,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Josh Reynolds,Terry McLaurin,Darren Waller,Cooper Kupp,Miami Dolphins
Aaron Rodgers,Mike Davis,Aaron Jones,Tyler Lockett,Robby Anderson,Keelan Cole,Robert Tonyan,Davante Adams,Denver Broncos
Tom Brady,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,Chris Godwin,Rob Gronkowski,Miles Sanders,Cleveland Browns
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,D.K. Metcalf,Henry Ruggs,Noah Fant,Alvin Kamara,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,Chase Claypool,Drew Sample,James Conner,Pittsburgh Steelers
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,JuJu Smith-Schuster,Robert Woods,Jacob Hollister,Josh Jacobs,Los Angeles Chargers
Deshaun Watson,Mike Davis,Aaron Jones,Keenan Allen,Brandin Cooks,Will Fuller,Austin Hooper,D'Andre Swift,Philadelphia Eagles
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Jalen Reagor,Travis Fulgham,Evan Engram,James Robinson,Green Bay Packers
Joe Burrow,Mike Davis,Aaron Jones,A.J. Green,Davante Adams,Tyler Boyd,Eric Ebron,Antonio Gibson,Tampa Bay Buccaneers
Matthew Stafford,Mike Davis,Aaron Jones,Terry McLaurin,DJ Chark,Marvin Jones,T.J. Hockenson,Nick Chubb,New York Giants
Drew Brees,Mike Davis,Aaron Jones,Michael Thomas,Tee Higgins,Jarvis Landry,Jared Cook,Brandon Aiyuk,Washington Football Team
Josh Allen,Aaron Jones,Giovani Bernard,DeAndre Hopkins,John Brown,Cole Beasley,Mike Gesicki,Jerick McKinnon,Houston Texans
Teddy Bridgewater,Aaron Jones,Alvin Kamara,Robby Anderson,Curtis Samuel,Mike Evans,Logan Thomas,Leonard Fournette,Seattle Seahawks
Derek Carr,Aaron Jones,Kareem Hunt,Davante Adams,Darius Slayton,Tim Patrick,Darren Waller,Hunter Renfrow,Jacksonville Jaguars
Nick Mullens,Aaron Jones,Alvin Kamara,Davante Adams,Mike Williams,Richie James,Jordan Reed,Emmanuel Sanders,Carolina Panthers
Jake Luton,Aaron Jones,Alvin Kamara,Chris Conley,Davante Adams,Sterling Shepard,Tyler Eifert,Chase Edmonds,Las Vegas Raiders
Baker Mayfield,Aaron Jones,Alvin Kamara,Davante Adams,Rashard Higgins,Randall Cobb,Harrison Bryant,Melvin Gordon,Buffalo Bills
