Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Mikko Koskinen,8500,EDM,G,OTT,17.63,,
Connor McDavid,9000,EDM,C,OTT,16.44,1,1
Leon Draisaitl,8400,EDM,C,OTT,15.55,2,1
Thatcher Demko,7100,VAN,G,MON,15.52,,
Cal Petersen,7500,LA,G,ANH,14.96,,
Cam Talbot,7100,MIN,G,COL,14.77,,
John Gibson,7400,ANH,G,LA,14.72,,
Jordan Binnington,8300,STL,G,ARI,14.55,,
Kevin Lankinen,7200,CHI,G,CAR,14.40,,
Joonas Korpisalo,7500,CLS,G,DAL,14.35,,
Jake Allen,7800,MON,G,VAN,13.98,,
Philipp Grubauer,8100,COL,G,MIN,13.71,,
James Reimer,8200,CAR,G,CHI,13.57,,
Darcy Kuemper,6900,ARI,G,STL,13.46,,
Sebastian Aho,6400,CAR,C,CHI,12.75,1,1
Ryan Nugent-Hopkins,7900,EDM,LW,OTT,12.58,1,1
Mikko Rantanen,7800,COL,RW,MIN,12.16,1,1
Patrick Kane,8300,CHI,RW,CAR,12.11,1,1
David Rittich,7400,CGY,G,WPG,11.90,,
Matthew Tkachuk,7200,CGY,LW,WPG,11.64,1,1
Laurent Brossoit,7700,WPG,G,CGY,11.39,,
Marcus Hogberg,6600,OTT,G,EDM,11.12,,
Johnny Gaudreau,6000,CGY,LW,WPG,10.99,2,1
Kyle Connor,7100,WPG,LW,CGY,10.94,2,1
Mark Scheifele,7100,WPG,C,CGY,10.93,1,1
Patrik Laine,6900,CLS,RW,DAL,10.82,1,1
Jake Oettinger,7600,DAL,G,CLS,10.82,,
Anze Kopitar,6900,LA,C,ANH,10.74,1,1
Ryan O'Reilly,5700,STL,C,ARI,10.71,1,1
Zach Parise,5100,MIN,LW,COL,10.69,1,2
Gabriel Landeskog,7300,COL,LW,MIN,10.40,1,1
Andrei Svechnikov,6300,CAR,LW,CHI,10.26,3,1
Teuvo Teravainen,4800,CAR,RW,CHI,10.24,1,1
Alexander Radulov,6200,DAL,RW,CLS,10.21,1,1
Darnell Nurse,6200,EDM,D,OTT,10.20,x,2
Blake Wheeler,6500,WPG,RW,CGY,10.16,2,1
Elias Lindholm,6700,CGY,C,WPG,10.02,1,1
Jeff Carter,4900,LA,RW,ANH,9.93,2,2
Brendan Gallagher,5800,MON,RW,VAN,9.88,1,2
Tyler Toffoli,5700,MON,LW,VAN,9.81,3,1
Vincent Trocheck,5800,CAR,C,CHI,9.66,2,2
Brady Tkachuk,7600,OTT,LW,EDM,9.56,1,1
Evgenii Dadonov,3300,OTT,RW,EDM,9.50,3,1
Tyson Barrie,5200,EDM,D,OTT,9.49,x,1
Brayden Schenn,6300,STL,C,ARI,9.47,2,1
Shea Weber,5500,MON,D,VAN,9.40,x,1
Zach Werenski,5100,CLS,D,DAL,9.40,x,1
Nikolaj Ehlers,6700,WPG,RW,CGY,9.37,1,2
Kirill Kaprizov,5200,MIN,RW,COL,9.31,3,1
Jamie Benn,4900,DAL,LW,CLS,9.27,1,2
Brock Boeser,6100,VAN,RW,MON,9.25,1,1
Jaden Schwartz,4600,STL,LW,ARI,9.19,2,1
Drew Doughty,6400,LA,D,ANH,9.17,x,1
Alex DeBrincat,6600,CHI,LW,CAR,9.15,1,1
Joshua Norris,5200,OTT,C,EDM,9.10,1,2
Mark Giordano,6500,CGY,D,WPG,9.10,x,2
Oliver Bjorkstrand,4300,CLS,RW,DAL,9.06,2,2
Sean Monahan,6100,CGY,C,WPG,9.03,2,1
Cam Atkinson,4400,CLS,RW,DAL,8.99,1,1
Kailer Yamamoto,4800,EDM,RW,OTT,8.98,2,2
Dougie Hamilton,6600,CAR,D,CHI,8.94,x,1
Elias Pettersson,6600,VAN,C,MON,8.91,1,1
Joe Pavelski,7500,DAL,C,CLS,8.83,2,1
Phil Kessel,4700,ARI,RW,STL,8.81,2,2
Torey Krug,5700,STL,D,ARI,8.77,x,1
Conor Garland,5600,ARI,RW,STL,8.75,1,1
Adrian Kempe,3600,LA,RW,ANH,8.72,1,1
Jesse Puljujarvi,3900,EDM,RW,OTT,8.65,1,2
Cale Makar,6800,COL,D,MIN,8.64,x,1
J.T. Miller,5300,VAN,LW,MON,8.62,1,1
Seth Jones,4900,CLS,D,DAL,8.55,x,2
Tomas Tatar,5200,MON,LW,VAN,8.55,1,2
Andrew Copp,5100,WPG,LW,CGY,8.38,1,2
Miro Heiskanen,6000,DAL,D,CLS,8.35,x,2
Bo Horvat,6800,VAN,C,MON,8.32,2,1
John Klingberg,6900,DAL,D,CLS,8.31,x,1
Colton Parayko,4800,STL,D,ARI,8.18,x,
Alex Iafallo,5000,LA,LW,ANH,8.17,1,1
Nino Niederreiter,4100,CAR,LW,CHI,8.17,2,2
Jeff Petry,6700,MON,D,VAN,8.10,x,1
Roope Hintz,6500,DAL,C,CLS,8.00,1,1
David Perron,5400,STL,RW,ARI,7.95,1,1
Dustin Brown,3700,LA,RW,ANH,7.92,3,1
Nazem Kadri,5400,COL,C,MIN,7.91,2,1
Christian Dvorak,4200,ARI,C,STL,7.87,2,1
Martin Necas,3400,CAR,RW,CHI,7.84,2,2
Boone Jenner,4500,CLS,LW,DAL,7.75,2,2
Justin Faulk,4500,STL,D,ARI,7.75,x,
Nick Suzuki,5500,MON,C,VAN,7.69,2,1
Quinn Hughes,5200,VAN,D,MON,7.69,x,1
Clayton Keller,4300,ARI,RW,STL,7.66,1,2
Jakob Chychrun,5300,ARI,D,STL,7.64,x,1
Joel Eriksson Ek,5000,MIN,C,COL,7.62,2,
Jared Spurgeon,4200,MIN,D,COL,7.59,x,1
Jonathan Drouin,4200,MON,LW,VAN,7.57,2,1
Rickard Rakell,4400,ANH,RW,LA,7.56,1,1
Dylan Strome,5600,CHI,C,CAR,7.49,2,1
Neal Pionk,4000,WPG,D,CGY,7.49,x,2
Brady Skjei,3400,CAR,D,CHI,7.48,x,
Zach Sanford,3600,STL,LW,ARI,7.47,1,2
Tyler Myers,4600,VAN,D,MON,7.43,x,
Mike Hoffman,3700,STL,LW,ARI,7.42,3,2
Jaccob Slavin,3800,CAR,D,CHI,7.42,x,
Connor Murphy,6100,CHI,D,CAR,7.25,x,
Ryan Suter,4800,MIN,D,COL,7.19,x,1
Duncan Keith,5900,CHI,D,CAR,7.18,x,1
Max Domi,3500,CLS,C,DAL,7.18,3,1
Dominik Kubalik,5300,CHI,LW,CAR,7.17,2,2
Alexandre Texier,4800,CLS,C,DAL,7.17,1,1
Mikael Backlund,4600,CGY,C,WPG,7.16,3,2
Gabriel Vilardi,3000,LA,C,ANH,7.13,3,2
Nate Schmidt,4700,VAN,D,MON,7.05,x,2
Nick Schmaltz,5300,ARI,C,STL,7.00,1,1
Jonas Brodin,4200,MIN,D,COL,6.95,x,2
Jordan Staal,3600,CAR,C,CHI,6.93,3,1
Jordan Greenway,3000,MIN,LW,COL,6.89,2,
Brett Pesce,2900,CAR,D,CHI,6.86,x,
Connor Brown,4000,OTT,RW,EDM,6.85,1,2
Tim Stutzle,3300,OTT,LW,EDM,6.75,2,2
Paul Stastny,4500,WPG,C,CGY,6.73,2,1
Esa Lindell,5000,DAL,D,CLS,6.72,x,2
Denis Gurianov,6800,DAL,RW,CLS,6.72,2,1
Tanner Pearson,3500,VAN,LW,MON,6.71,3,2
Alex Goligoski,3500,ARI,D,STL,6.64,x,
William Lagesson,2500,EDM,D,OTT,6.59,x,
Josh Anderson,5000,MON,RW,VAN,6.54,2,2
Mikey Anderson,2900,LA,D,ANH,6.45,x,
Vince Dunn,2800,STL,D,ARI,6.41,x,2
Drake Batherson,4600,OTT,RW,EDM,6.40,2,1
Colin White,3400,OTT,C,EDM,6.38,3,2
Nick Foligno,4000,CLS,LW,DAL,6.38,3,2
Ben Chiarot,3700,MON,D,VAN,6.36,x,
Ryan Getzlaf,4000,ANH,C,LA,6.35,1,1
Adam Larsson,4600,EDM,D,OTT,6.31,x,
Andrew Mangiapane,3500,CGY,RW,WPG,6.31,2,2
Brock McGinn,2800,CAR,RW,CHI,6.26,1,
Samuel Girard,4400,COL,D,MIN,6.19,x,2
David Savard,2700,CLS,D,DAL,6.17,x,
Josh Morrissey,4300,WPG,D,CGY,6.14,x,1
Dominik Kahun,2900,EDM,LW,OTT,6.13,2,2
Andre Burakovsky,4000,COL,RW,MIN,6.12,2,2
Rasmus Andersson,5400,CGY,D,WPG,6.11,x,1
Mike Reilly,3900,OTT,D,EDM,6.03,x,1
Ryan Hartman,2700,MIN,RW,COL,6.00,2,
Jake Gardiner,2900,CAR,D,CHI,5.96,x,2
Jason Dickinson,3100,DAL,LW,CLS,5.95,2,
Radek Faksa,2900,DAL,C,CLS,5.94,3,2
Nick Bjugstad,4700,MIN,C,COL,5.93,1,1
Calvin de Haan,3600,CHI,D,CAR,5.90,x,
Mattias Janmark,3500,CHI,LW,CAR,5.89,3,2
Adam Henrique,3800,ANH,C,LA,5.87,2,2
Jakob Silfverberg,3800,ANH,RW,LA,5.85,2,1
Brandon Saad,3300,COL,LW,MIN,5.84,2,2
Jesperi Kotkaniemi,4300,MON,C,VAN,5.82,3,2
Jordan Oesterle,3500,ARI,D,STL,5.76,x,2
Nikita Zaitsev,5000,OTT,D,EDM,5.70,x,2
Adam Lowry,4100,WPG,C,CGY,5.66,3,2
Erik Gudbranson,3700,OTT,D,EDM,5.65,x,
J.T. Compher,2800,COL,C,MIN,5.64,1,1
Chris Tanev,3500,CGY,D,WPG,5.62,x,
Derick Brassard,3000,ARI,LW,STL,5.62,2,1
Hampus Lindholm,4000,ANH,D,LA,5.61,x,1
Andrew Shaw,2900,CHI,RW,CAR,5.60,3,1
Phillip Danault,4400,MON,C,VAN,5.60,1,
Cam Fowler,3200,ANH,D,LA,5.55,x,2
Corey Perry,2800,MON,RW,VAN,5.55,3,2
Nils Hoglander,4100,VAN,RW,MON,5.54,2,2
Chris Tierney,3900,OTT,C,EDM,5.53,2,
Jordie Benn,4100,VAN,D,MON,5.45,x,
Jordan Gross,2900,ARI,D,STL,5.35,x,
Joonas Donskoi,2900,COL,RW,MIN,5.32,3,2
Noah Hanifin,2800,CGY,D,WPG,5.32,x,
Jake Virtanen,2500,VAN,LW,MON,5.30,2,2
Kevin Shattenkirk,3600,ANH,D,LA,5.30,x,1
Derek Forbort,3400,WPG,D,CGY,5.19,x,
Josh Leivo,2500,CGY,RW,WPG,5.07,3,2
Jamie Oleksiak,3200,DAL,D,CLS,5.05,x,
Jack Roslovic,3000,CLS,C,DAL,5.02,2,2
Bowen Byram,3300,COL,D,MIN,5.00,x,2
Brandon Hagel,2500,CHI,LW,CAR,4.97,2,
Braydon Coburn,2500,OTT,D,EDM,4.92,x,
Kurtis MacDermid,2900,LA,D,ANH,4.87,x,
Joel Edmundson,3800,MON,D,VAN,4.82,x,
Mathieu Perreault,2500,WPG,LW,CGY,4.76,3,2
Carson Soucy,2600,MIN,D,COL,4.75,x,
Robert Thomas,2600,STL,C,ARI,4.59,3,2
Michael Amadio,2700,LA,C,ANH,4.55,2,2
Jordan Kyrou,4500,STL,RW,ARI,4.50,2,2
Jani Hakanpaa,3400,ANH,D,LA,4.43,x,
Austin Wagner,2500,LA,LW,ANH,4.40,2,
Dylan DeMelo,3300,WPG,D,CGY,4.39,x,
Danton Heinen,3400,ANH,LW,LA,4.37,2,
Adam Gaudette,2500,VAN,LW,MON,4.37,3,2
Michael Del Zotto,3300,CLS,D,DAL,4.35,x,
Philipp Kurashev,3200,CHI,C,CAR,4.34,1,2
Derek Stepan,3300,OTT,C,EDM,4.06,4,1
Ryan Dzingel,2500,CAR,RW,CHI,4.05,4,2
Nick Bonino,3300,MIN,C,COL,4.02,4,1
Niklas Hjalmarsson,2500,ARI,D,STL,3.99,x,
Marco Scandella,2500,STL,D,ARI,3.95,x,
Dillon Dube,3100,CGY,RW,WPG,3.88,1,2
Alexander Edler,4300,VAN,D,MON,3.81,x,
Kale Clague,2600,LA,D,ANH,3.72,x,2
Maxime Comtois,2700,ANH,LW,LA,3.71,3,2
Victor Rask,2800,MIN,C,COL,3.61,3,2
Nick Paul,3700,OTT,LW,EDM,3.60,3,
Sam Steel,2500,ANH,C,LA,3.48,3,2
Oskar Sundqvist,2700,STL,RW,ARI,3.42,4,
David Backes,2600,ANH,C,LA,3.41,4,
Slater Koekkoek,2800,EDM,D,OTT,3.35,x,
Tyler Motte,2900,VAN,RW,MON,3.33,4,
Morgan Geekie,2500,CAR,C,CHI,3.29,4,
Alex Chiasson,2500,EDM,RW,OTT,3.29,4,1
Tyler Pitlick,2500,ARI,RW,STL,3.23,4,2
Austin Watson,2800,OTT,RW,EDM,3.17,4,
Artturi Lehkonen,2500,MON,LW,VAN,3.09,4,
Brandon Sutter,3100,VAN,C,MON,3.03,3,
Liam Foudy,3000,CLS,RW,DAL,3.02,4,
Ryan Graves,3100,COL,D,MIN,3.01,x,
Artyom Zub,2500,OTT,D,EDM,2.98,x,
Haydn Fleury,2500,CAR,D,CHI,2.95,x,
Kris Russell,2500,EDM,D,OTT,2.93,x,
Kyle Turris,2600,EDM,C,OTT,2.91,4,2
Troy Terry,2500,ANH,RW,LA,2.90,1,2
Drake Caggiula,3000,ARI,LW,STL,2.87,3,
Pius Suter,5500,CHI,RW,CAR,2.85,4,2
Evan Bouchard,2500,EDM,D,OTT,2.78,x,
Zack Kassian,2500,EDM,RW,OTT,2.78,3,
Carl Soderberg,2600,CHI,C,CAR,2.74,3,
Jake Evans,2900,MON,C,VAN,2.74,4,
Eric Robinson,2500,CLS,LW,DAL,2.72,4,
Trevor Moore,2500,LA,LW,ANH,2.69,4,
Sam Bennett,2500,CGY,LW,WPG,2.68,3,
Paul Byron,2500,MON,RW,VAN,2.67,4,
Jordan Martinook,2500,CAR,C,CHI,2.66,4,
Warren Foegele,2500,CAR,LW,CHI,2.65,3,
Ian Cole,2500,MIN,D,COL,2.64,x,
Ben Hutton,2500,ANH,D,LA,2.60,x,
Mikko Koivu,2700,CLS,C,DAL,2.58,4,
Brad Hunt,2500,MIN,D,COL,2.54,x,2
Ian Mitchell,2500,CHI,D,CAR,2.51,x,2
Mikhail Grigorenko,2500,CLS,LW,DAL,2.49,3,
Carter Rowney,2600,ANH,RW,LA,2.48,4,
Vladislav Gavrikov,2600,CLS,D,DAL,2.48,x,
Juuso Valimaki,3000,CGY,D,WPG,2.43,x,
Kyle Clifford,2500,STL,LW,ARI,2.43,4,
Gerald Mayhew,2500,MIN,RW,COL,2.42,3,2
Valeri Nichushkin,2500,COL,LW,MIN,2.41,3,
Nicolas Deslauriers,2600,ANH,LW,LA,2.38,4,
Logan Stanley,2700,WPG,D,CGY,2.38,x,
Victor Mete,2500,MON,D,VAN,2.37,x,
Sammy Blais,2600,STL,RW,ARI,2.37,3,
Tyson Jost,2500,COL,C,MIN,2.35,3,
Ivan Barbashev,2500,STL,C,ARI,2.32,4,
Derek Ryan,2500,CGY,C,WPG,2.29,4,
Josh Archibald,2500,EDM,LW,OTT,2.26,3,
