Connor McDavid,Sebastian Aho,Teuvo Teravainen,Oliver Bjorkstrand,Jesse Puljujarvi,Tyson Barrie,Zach Werenski,Mikko Koskinen,Brock McGinn
Connor McDavid,Leon Draisaitl,Evgenii Dadonov,Kailer Yamamoto,Jesse Puljujarvi,Tyson Barrie,Zach Werenski,Thatcher Demko,Dominik Kahun
Leon Draisaitl,Sebastian Aho,Teuvo Teravainen,Kailer Yamamoto,Martin Necas,Tyson Barrie,Shea Weber,Mikko Koskinen,Dominik Kahun
Connor McDavid,Sebastian Aho,Teuvo Teravainen,Nino Niederreiter,Martin Necas,Tyson Barrie,Jared Spurgeon,Thatcher Demko,Vincent Trocheck
Leon Draisaitl,Sebastian Aho,Teuvo Teravainen,Zach Sanford,Brock McGinn,Tyson Barrie,Torey Krug,Thatcher Demko,Ryan O'Reilly
Connor McDavid,Gabriel Vilardi,Ryan Nugent-Hopkins,Jeff Carter,Jesse Puljujarvi,Tyson Barrie,Zach Werenski,Cam Talbot,Dustin Brown
Connor McDavid,Colin White,Ryan Nugent-Hopkins,Zach Parise,Evgenii Dadonov,Tyson Barrie,Jared Spurgeon,Cal Petersen,Jesse Puljujarvi
Connor McDavid,Leon Draisaitl,Jesse Puljujarvi,Jordan Greenway,Ryan Hartman,Zach Werenski,Jared Spurgeon,Mikko Koskinen,Joel Eriksson Ek
Connor McDavid,Sebastian Aho,Ryan Nugent-Hopkins,Jesse Puljujarvi,Jordan Greenway,Tyson Barrie,Ryan Suter,Thatcher Demko,Ryan Hartman
Connor McDavid,Anze Kopitar,Adrian Kempe,Jesse Puljujarvi,Alex Iafallo,Tyson Barrie,Jared Spurgeon,Mikko Koskinen,Dustin Brown
Sebastian Aho,Anze Kopitar,Teuvo Teravainen,Jeff Carter,Adrian Kempe,Shea Weber,Drew Doughty,Mikko Koskinen,Brock McGinn
Connor McDavid,Leon Draisaitl,Phil Kessel,Jesse Puljujarvi,Derick Brassard,Tyson Barrie,Jared Spurgeon,Cam Talbot,Christian Dvorak
Connor McDavid,Leon Draisaitl,Oliver Bjorkstrand,Boone Jenner,Dominik Kahun,Tyson Barrie,Jared Spurgeon,Mikko Koskinen,Jack Roslovic
Leon Draisaitl,Sebastian Aho,Zach Parise,Teuvo Teravainen,Kailer Yamamoto,Dougie Hamilton,Jared Spurgeon,Darcy Kuemper,Brock McGinn
Connor McDavid,Sebastian Aho,Teuvo Teravainen,Dustin Brown,Brock McGinn,Drew Doughty,Dougie Hamilton,Thatcher Demko,Gabriel Vilardi
Connor McDavid,Ryan O'Reilly,Jaden Schwartz,Jesse Puljujarvi,David Perron,Tyson Barrie,Zach Werenski,Cal Petersen,Zach Sanford
Connor McDavid,Jordan Staal,Ryan Nugent-Hopkins,Jesse Puljujarvi,Nino Niederreiter,Tyson Barrie,Shea Weber,John Gibson,Martin Necas
Connor McDavid,Max Domi,Ryan Nugent-Hopkins,Oliver Bjorkstrand,Jesse Puljujarvi,Zach Werenski,Jared Spurgeon,Thatcher Demko,Boone Jenner
Leon Draisaitl,Alexandre Texier,Patrik Laine,Cam Atkinson,Dustin Brown,Tyson Barrie,Zach Werenski,Mikko Koskinen,Gabriel Vilardi
Connor McDavid,Sebastian Aho,Ryan Nugent-Hopkins,Teuvo Teravainen,Brock McGinn,Jared Spurgeon,Ryan Suter,Cam Talbot,Dominik Kahun
