PG,SG,SF,PF,C,G,F,UTIL
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Mitchell Robinson,Brad Wanamaker,Kyle Kuzma,Georges Niang
Stephen Curry,Alec Burks,Brandon Ingram,Thanasis Antetokounmpo,Anthony Davis,Brad Wanamaker,Kyle Kuzma,Jordan Clarkson
Stephen Curry,Alec Burks,Brandon Ingram,Kyle Kuzma,Anthony Davis,Jordan Clarkson,Georges Niang,Jordan Poole
Stephen Curry,Alec Burks,Brandon Ingram,Eric Paschall,Anthony Davis,Dennis Schroder,Georges Niang,Kevin Knox
Stephen Curry,Alec Burks,Brandon Ingram,Georges Niang,Anthony Davis,Dennis Schroder,Reggie Bullock,Damion Lee
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Mitchell Robinson,Bryn Forbes,Kyle Kuzma,Jaxson Hayes
Stephen Curry,Alec Burks,Kent Bazemore,Brandon Ingram,Anthony Davis,Elfrid Payton,Kyle Kuzma,Georges Niang
Stephen Curry,Alec Burks,Pat Connaughton,Thanasis Antetokounmpo,Anthony Davis,Elfrid Payton,Brandon Ingram,Kyle Kuzma
Stephen Curry,Dennis Schroder,Brandon Ingram,Kyle Kuzma,Mitchell Robinson,RJ Barrett,Eric Paschall,Georges Niang
Stephen Curry,Dennis Schroder,Brandon Ingram,Eric Paschall,Mitchell Robinson,Elfrid Payton,Georges Niang,Jordan Clarkson
Stephen Curry,Alec Burks,Pat Connaughton,Anthony Davis,Kevon Looney,Dennis Schroder,Brandon Ingram,Reggie Bullock
Stephen Curry,Dennis Schroder,Brandon Ingram,Georges Niang,Mitchell Robinson,Jordan Clarkson,RJ Barrett,Damion Lee
Stephen Curry,Dennis Schroder,Brandon Ingram,Thanasis Antetokounmpo,Nerlens Noel,Jordan Clarkson,Anthony Davis,Damion Lee
Stephen Curry,Dennis Schroder,Brandon Ingram,Anthony Davis,Mitchell Robinson,Damion Lee,Georges Niang,Nerlens Noel
Stephen Curry,Alec Burks,Pat Connaughton,Brandon Ingram,Anthony Davis,Jordan Clarkson,Eric Paschall,Georges Niang
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Markieff Morris,Jordan Clarkson,Eric Paschall,Kevin Knox
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Markieff Morris,Jordan Clarkson,Reggie Bullock,Damion Lee
Stephen Curry,Jordan Clarkson,Brandon Ingram,Anthony Davis,Nerlens Noel,Damion Lee,Kyle Kuzma,Reggie Bullock
Stephen Curry,Alec Burks,Brandon Ingram,Thanasis Antetokounmpo,Nerlens Noel,Dennis Schroder,Anthony Davis,Joe Ingles
Stephen Curry,Alec Burks,Brandon Ingram,Kyle Kuzma,Mitchell Robinson,Jordan Clarkson,Eric Paschall,Nickeil Alexander-Walker
