PG,SG,SF,PF,C,G,F,UTIL
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Mitchell Robinson,Brad Wanamaker,Kyle Kuzma,Georges Niang
Stephen Curry,Dennis Schroder,Brandon Ingram,Thanasis Antetokounmpo,Nerlens Noel,Jordan Clarkson,Anthony Davis,Damion Lee
Stephen Curry,Alec Burks,Brandon Ingram,Eric Paschall,Markieff Morris,Lonzo Ball,RJ Barrett,Dennis Schroder
Stephen Curry,Jordan Clarkson,Brandon Ingram,Kyle Kuzma,Kevon Looney,Elfrid Payton,RJ Barrett,Nickeil Alexander-Walker
Stephen Curry,Dennis Schroder,Brandon Ingram,Georges Niang,Giannis Antetokounmpo,Elfrid Payton,Kevin Knox,Jordan Poole
Dennis Schroder,Damion Lee,Kent Bazemore,Giannis Antetokounmpo,Mitchell Robinson,RJ Barrett,Brandon Ingram,Kyle Kuzma
Elfrid Payton,Alec Burks,Brandon Ingram,Anthony Davis,Rudy Gobert,Jordan Clarkson,Eric Paschall,Bryn Forbes
Stephen Curry,Wesley Matthews,RJ Barrett,Brandon Ingram,Anthony Davis,Eric Bledsoe,Reggie Bullock,Jordan Poole
Stephen Curry,Reggie Bullock,Pat Connaughton,Brandon Ingram,Giannis Antetokounmpo,Immanuel Quickley,Kyle Kuzma,Eric Paschall
Stephen Curry,Dennis Schroder,Pat Connaughton,Anthony Davis,Mitchell Robinson,Elfrid Payton,Eric Paschall,Nickeil Alexander-Walker
Stephen Curry,Alec Burks,Kent Bazemore,Brandon Ingram,Giannis Antetokounmpo,Wesley Matthews,Kentavious Caldwell-Pope,Jordan Clarkson
Stephen Curry,Damion Lee,Kyle Kuzma,Giannis Antetokounmpo,Jaxson Hayes,Elfrid Payton,Anthony Davis,Bryn Forbes
Stephen Curry,Eric Bledsoe,Brandon Ingram,Markieff Morris,Rudy Gobert,Elfrid Payton,Joe Ingles,Mitchell Robinson
Stephen Curry,Alec Burks,Josh Hart,Royce O'Neale,Anthony Davis,Jordan Clarkson,Pat Connaughton,RJ Barrett
Elfrid Payton,Dennis Schroder,Brandon Ingram,Anthony Davis,Steven Adams,Brad Wanamaker,RJ Barrett,Joe Ingles
Eric Bledsoe,Alec Burks,Brandon Ingram,Giannis Antetokounmpo,Anthony Davis,Damion Lee,Kevin Knox,Joe Ingles
Stephen Curry,Alec Burks,Royce O'Neale,Giannis Antetokounmpo,Nerlens Noel,Dennis Schroder,Kyle Kuzma,Nickeil Alexander-Walker
Stephen Curry,RJ Barrett,Kyle Kuzma,Thanasis Antetokounmpo,Rudy Gobert,Joe Ingles,Anthony Davis,Eric Paschall
Dennis Schroder,Jordan Clarkson,Eric Paschall,Giannis Antetokounmpo,Jaxson Hayes,RJ Barrett,Anthony Davis,Georges Niang
Stephen Curry,Alec Burks,Kent Bazemore,Anthony Davis,Rudy Gobert,Dennis Schroder,Kevin Knox,Steven Adams
