PG,SG,SF,PF,C,G,F,UTIL
Devonte' Graham,George Hill,James Ennis III,Domantas Sabonis,DeMarcus Cousins,Tyrese Haliburton,Jerami Grant,Bam Adebayo
Kyrie Irving,Jalen Brunson,Jerami Grant,Aleksej Pokusevski,DeMarcus Cousins,Lonnie Walker IV,Pascal Siakam,Bam Adebayo
Devonte' Graham,Fred VanVleet,Grant Williams,Lauri Markkanen,DeMarcus Cousins,Rajon Rondo,Domantas Sabonis,Nikola Vucevic
Goran Dragic,Joe Harris,DeMar DeRozan,Domantas Sabonis,DeMarcus Cousins,Jordan McLaughlin,PJ Washington,Richaun Holmes
Cole Anthony,James Harden,Anthony Edwards,Lauri Markkanen,DeMarcus Cousins,Terry Rozier,Aleksej Pokusevski,Bam Adebayo
Chris Paul,Terry Rozier,Timothe Luwawu-Cabarrot,Marvin Bagley III,DeMarcus Cousins,Josh Jackson,Domantas Sabonis,Bam Adebayo
Goran Dragic,Norman Powell,Timothe Luwawu-Cabarrot,Kristaps Porzingis,DeMarcus Cousins,Elfrid Payton,PJ Washington,Nikola Jokic
Kyrie Irving,Norman Powell,Tobias Harris,Lauri Markkanen,DeMarcus Cousins,Elfrid Payton,James Johnson,Clint Capela
Devonte' Graham,James Harden,Tobias Harris,Marvin Bagley III,DeMarcus Cousins,Jordan McLaughlin,Kristaps Porzingis,Tristan Thompson
Luka Doncic,Norman Powell,Timothe Luwawu-Cabarrot,Lauri Markkanen,DeMarcus Cousins,Devonte' Graham,LaMarcus Aldridge,Bam Adebayo
Kendrick Nunn,Aaron Holiday,Timothe Luwawu-Cabarrot,Marvin Bagley III,DeMarcus Cousins,Aaron Gordon,Julius Randle,Nikola Jokic
Devonte' Graham,James Harden,Cam Johnson,Solomon Hill,DeMarcus Cousins,Fred VanVleet,Lonnie Walker IV,Bam Adebayo
Goran Dragic,RJ Barrett,Jerami Grant,James Johnson,DeMarcus Cousins,Chris Paul,Aleksej Pokusevski,Domantas Sabonis
Kyrie Irving,Aaron Holiday,Jerami Grant,Marvin Bagley III,DeMarcus Cousins,Luka Doncic,Jarred Vanderbilt,Cody Zeller
Devonte' Graham,Joe Harris,Hamidou Diallo,Marvin Bagley III,DeMarcus Cousins,Malcolm Brogdon,Pascal Siakam,Bam Adebayo
Luka Doncic,Gabe Vincent,Anthony Edwards,Domantas Sabonis,DeMarcus Cousins,Devonte' Graham,Pascal Siakam,Hassan Whiteside
Kyrie Irving,Terence Davis,Anthony Edwards,Isaiah Roby,DeMarcus Cousins,Luka Doncic,Josh Jackson,Bam Adebayo
James Harden,Fred VanVleet,Darius Bazley,Thaddeus Young,DeMarcus Cousins,Aaron Holiday,Aaron Gordon,Richaun Holmes
Chris Paul,Gabe Vincent,Norman Powell,Lauri Markkanen,DeMarcus Cousins,Dejounte Murray,Domantas Sabonis,PJ Washington
Goran Dragic,Terence Davis,DeMar DeRozan,Lauri Markkanen,DeMarcus Cousins,Devonte' Graham,James Johnson,Nikola Jokic
