PG,SG,SF,PF,C,G,F,UTIL
Goran Dragic,James Harden,Jerami Grant,Lauri Markkanen,DeMarcus Cousins,Aaron Holiday,Norman Powell,Richaun Holmes
Goran Dragic,James Harden,Norman Powell,Jerami Grant,DeMarcus Cousins,Jordan McLaughlin,Hamidou Diallo,Nikola Vucevic
Jordan McLaughlin,Kendrick Nunn,Jerami Grant,Marvin Bagley III,DeMarcus Cousins,Norman Powell,Domantas Sabonis,Nikola Vucevic
Goran Dragic,James Harden,Jerami Grant,Aleksej Pokusevski,DeMarcus Cousins,Norman Powell,Cam Johnson,Nikola Vucevic
Goran Dragic,Norman Powell,Jerami Grant,Lauri Markkanen,DeMarcus Cousins,Devonte' Graham,Marvin Bagley III,Nikola Vucevic
Goran Dragic,James Harden,Darius Bazley,James Johnson,DeMarcus Cousins,Devonte' Graham,Norman Powell,Nikola Vucevic
Devonte' Graham,Kendrick Nunn,Norman Powell,Lauri Markkanen,DeMarcus Cousins,James Harden,Aleksej Pokusevski,Nikola Vucevic
Goran Dragic,James Harden,Norman Powell,Lauri Markkanen,DeMarcus Cousins,Jalen Brunson,Lonnie Walker IV,Nikola Vucevic
Kyrie Irving,Kendrick Nunn,Norman Powell,Marvin Bagley III,DeMarcus Cousins,Devonte' Graham,Domantas Sabonis,Mason Plumlee
Goran Dragic,Jalen Brunson,Norman Powell,Marvin Bagley III,DeMarcus Cousins,Devonte' Graham,Domantas Sabonis,Nikola Vucevic
Goran Dragic,James Harden,Harrison Barnes,Lauri Markkanen,DeMarcus Cousins,Norman Powell,Aleksej Pokusevski,Nikola Vucevic
Devonte' Graham,James Harden,Norman Powell,Lauri Markkanen,DeMarcus Cousins,Gabe Vincent,Marvin Bagley III,Nikola Vucevic
Goran Dragic,James Harden,Norman Powell,James Johnson,DeMarcus Cousins,Devonte' Graham,Marvin Bagley III,Clint Capela
Goran Dragic,Aaron Holiday,Jerami Grant,Marvin Bagley III,DeMarcus Cousins,Kyrie Irving,Norman Powell,Nikola Vucevic
James Harden,Gabe Vincent,Jerami Grant,Marvin Bagley III,DeMarcus Cousins,Jalen Brunson,Norman Powell,Nikola Vucevic
Goran Dragic,James Harden,Norman Powell,Lauri Markkanen,DeMarcus Cousins,George Hill,Domantas Sabonis,Khem Birch
Goran Dragic,Wayne Ellington,Norman Powell,Marvin Bagley III,DeMarcus Cousins,James Harden,Domantas Sabonis,Naz Reid
Luka Doncic,Wayne Ellington,Norman Powell,Lauri Markkanen,DeMarcus Cousins,Kendrick Nunn,Marvin Bagley III,Nikola Vucevic
Kendrick Nunn,Wayne Ellington,Gordon Hayward,Marvin Bagley III,DeMarcus Cousins,Norman Powell,Domantas Sabonis,Nikola Vucevic
Goran Dragic,George Hill,Norman Powell,Marvin Bagley III,DeMarcus Cousins,Terry Rozier,Domantas Sabonis,Nikola Vucevic
