Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2518893538,JesseCarman77 (10/20),0,346.5,PF Giannis Antetokounmpo UTIL Nikola Jokic F DeMar DeRozan PG Dejounte Murray G Mike Conley C Aron Baynes SG Theo Maledon SF Bruce Brown,,Joe Ingles,F,49.36%,22
2,2518880647,DraftKingOfAllMedia (2/8),0,343,C Nikola Jokic SG Fred VanVleet SF Gordon Hayward PF DeMar DeRozan PG Dejounte Murray UTIL Mike Conley G Theo Maledon F Bruce Brown,,Cody Zeller,C,49.26%,24.5
3,2518917520,shadowscout (7/7),0,341,C Nikola Jokic PF Pascal Siakam PG Fred VanVleet SF DeMar DeRozan G Dejounte Murray UTIL Mike Conley SG Bruce Brown F Timothé Luwawu-Cabarrot,,Kyrie Irving,G,36.07%,44.75
4,2518957609,Garrettot13 (16/20),0,340.75,C Nikola Jokic PG Trae Young F DeMar DeRozan G LaMelo Ball UTIL Lonzo Ball PF Darius Bazley SG Tyrese Haliburton SF Bruce Brown,,Rudy Gobert,UTIL,27.99%,35.5
5,2518895744,Bigjeff234 (13/20),0,338.25,SG James Harden UTIL Nikola Jokic PF DeMar DeRozan PG Dejounte Murray G Mike Conley F Joe Ingles SF Bruce Brown C Hassan Whiteside,,Gordon Hayward,SF,27.63%,33.5
6,2518814860,cpardell (16/20),0,338,PF Giannis Antetokounmpo UTIL Joel Embiid PG Fred VanVleet SF RJ Barrett G Mike Conley C Cody Zeller SG Bruce Brown F Timothé Luwawu-Cabarrot,,Dejounte Murray,G,24.05%,40.75
7,2518840532,smcnamee22 (9/20),0,336.75,UTIL James Harden C Nikola Jokic PF DeMar DeRozan G Lonzo Ball SF Darius Bazley PG Tyrese Haliburton F Will Barton SG Theo Maledon,,James Harden,UTIL,23.87%,61.5
7,2518893541,JesseCarman77 (13/20),0,336.75,PG James Harden C Rudy Gobert SG Fred VanVleet PF DeMar DeRozan UTIL Dejounte Murray F Bojan Bogdanovic G Theo Maledon SF Bruce Brown,,Fred VanVleet,SG,21.56%,50.25
9,2518926984,Mawolfe33 (11/20),0,335.75,PF Giannis Antetokounmpo PG Kyrie Irving SG Fred VanVleet F DeMar DeRozan G Dejounte Murray C Cody Zeller SF Timothé Luwawu-Cabarrot UTIL Hassan Whiteside,,Pascal Siakam,PF,20.37%,40.5
10,2518833918,salmopct (9/20),0,334,PF Giannis Antetokounmpo G James Harden PG Fred VanVleet UTIL Mike Conley F Bojan Bogdanovic C Cody Zeller SG Terence Davis SF Bruce Brown,,Bruce Brown,SG,19.12%,26.25
10,2518926896,BLeeDat (7/20),0,334,SG James Harden C Pascal Siakam PF DeMar DeRozan PG Dejounte Murray UTIL Mike Conley F Bojan Bogdanovic SF Joe Ingles G Theo Maledon,,Theo Maledon,SG,18.25%,36.75
12,2518905482,therealfredd (16/20),0,333.75,UTIL Nikola Jokic C Joel Embiid PF DeMar DeRozan F RJ Barrett G Mike Conley SF Jeremy Lamb SG Theo Maledon PG Terence Davis,,Jordan Clarkson,SG,17.26%,28
13,2518893468,bobfuls (13/20),0,333.25,C Joel Embiid UTIL Kyrie Irving G Jrue Holiday PF Tobias Harris F DeMar DeRozan PG Lonzo Ball SG Terence Davis SF Bruce Brown,,DeMar DeRozan,SF,17.13%,47.75
14,2518905484,therealfredd (18/20),0,333,UTIL Nikola Jokic C Joel Embiid PG Trae Young F DeMar DeRozan SF Jeremy Lamb SG Theo Maledon G Terence Davis PF Timothé Luwawu-Cabarrot,,Ben Simmons,SF,16.88%,28
14,2518920822,casonmccune (14/20),0,333,G James Harden PG Kyrie Irving SG Fred VanVleet F DeMar DeRozan UTIL Mike Conley SF Joe Ingles PF Timothé Luwawu-Cabarrot C Hassan Whiteside,,Trae Young,PG,16.08%,53.75
16,2518841764,bryan_mckane (7/20),0,332.75,SG James Harden C Joel Embiid PF Domantas Sabonis G Dejounte Murray UTIL Mike Conley F Bruce Brown SF Timothé Luwawu-Cabarrot PG Cory Joseph,,Terence Davis,SG,15.94%,19
16,2518923287,fooseballking19 (1/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Mike Conley,G,15.59%,46.75
16,2518923288,fooseballking19 (2/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Kyle Lowry,G,14.40%,28.75
16,2518923289,fooseballking19 (3/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Domantas Sabonis,PF,13.25%,44.25
16,2518923290,fooseballking19 (4/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Nikola Jokic,UTIL,12.03%,61
16,2518923291,fooseballking19 (5/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Timothé Luwawu-Cabarrot,F,10.29%,27.75
16,2518923292,fooseballking19 (6/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Jeremy Lamb,SF,9.13%,27.75
16,2518923293,fooseballking19 (7/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Giannis Antetokounmpo,F,9.10%,67.75
16,2518923294,fooseballking19 (8/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Jarred Vanderbilt,PF,8.55%,22.75
16,2518923295,fooseballking19 (9/20),0,332.75,C Giannis Antetokounmpo SG James Harden PF Pascal Siakam G Fred VanVleet UTIL Joe Ingles PG Theo Maledon F Bruce Brown SF Timothé Luwawu-Cabarrot,,Tyrese Haliburton,PG,8.27%,39
