Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,2473715615,fishman2585,0,189.45999,QB Josh Allen RB Cam Akers RB Nyheim Hines WR Stefon Diggs FLEX Antonio Brown WR Jarvis Landry WR JuJu Smith-Schuster TE Logan Thomas DST Seahawks ,,A.J. Brown,FLEX,12.92%,20.3
25,2473356907,mcshyguy (19/20),0,188.76,QB Josh Allen RB Jonathan Taylor RB Cam Akers FLEX James Conner WR Diontae Johnson WR JuJu Smith-Schuster WR T.Y. Hilton TE Mark Andrews DST Browns ,,Nick Chubb,FLEX,12.45%,24.5
26,2473422259,BuckNutJr,0,187.86002,QB Josh Allen RB J.K. Dobbins RB Cam Akers FLEX DK Metcalf WR Diontae Johnson WR Robert Woods WR Marquise Brown TE Austin Hooper DST WAS Football Team ,,T.Y. Hilton,WR,12.36%,5.2
26,2473725399,joeva4107 (1/3),0,187.86,QB Josh Allen RB J.K. Dobbins RB Cam Akers WR Stefon Diggs FLEX Robert Woods WR Marquise Brown WR Chase Claypool TE Eric Ebron DST WAS Football Team ,,Antonio Brown,WR,12.05%,15.1
28,2473323807,briank1977 (2/2),0,187.34,QB Ben Roethlisberger RB Jonathan Taylor RB Cam Akers WR Stefon Diggs WR Diontae Johnson FLEX Marquise Brown WR Rashard Higgins TE Eric Ebron DST Saints ,,WAS Football Team ,DST,11.86%,6
29,2473725441,GoldCoastChihuahua,0,187.3,QB Drew Brees RB Cam Akers RB Kareem Hunt WR Stefon Diggs WR A.J. Brown WR Diontae Johnson FLEX Chase Claypool TE Mark Andrews DST Rams ,,Nyheim Hines,RB,11.58%,9.3
30,2473497279,jmorris84 (7/20),0,187.13998,QB Ben Roethlisberger RB Derrick Henry FLEX Nick Chubb RB James Conner WR Jarvis Landry WR JuJu Smith-Schuster WR Chase Claypool TE Cameron Brate DST Saints ,,Ben Roethlisberger,QB,11.35%,37.04
31,2473347666,Robbiegiggs (5/5),0,186.54,QB Ben Roethlisberger RB Jonathan Taylor RB Cam Akers FLEX J.D. McKissic WR Michael Thomas WR Diontae Johnson WR Marquise Brown TE Logan Thomas DST Rams ,,David Montgomery,RB,11.27%,3.1
31,2473602347,Pelshbm (20/20),0,186.54,QB Ben Roethlisberger RB Alvin Kamara RB J.D. McKissic WR Diontae Johnson FLEX Jarvis Landry WR JuJu Smith-Schuster WR Chase Claypool TE Mark Andrews DST WAS Football Team ,,Rob Gronkowski,TE,11.02%,0
33,2473688715,rbalkey (2/3),0,186.45999,QB Josh Allen RB Jonathan Taylor RB Cam Akers FLEX Kareem Hunt WR Stefon Diggs WR Diontae Johnson WR Michael Pittman Jr. TE Logan Thomas DST WAS Football Team ,,Rashard Higgins,WR,10.82%,4.8
34,2473761195,wanders64 (1/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,J.D. McKissic,RB,10.54%,9.3
34,2473763447,wanders64 (2/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Cole Kmet,TE,10.46%,4.6
34,2473763448,wanders64 (3/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,James Conner,RB,9.56%,19.7
34,2473763449,wanders64 (4/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Tom Brady,QB,8.92%,26.04
34,2473763450,wanders64 (5/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Logan Thomas,TE,8.61%,12.4
34,2473763451,wanders64 (6/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Rams ,DST,8.24%,16
34,2473763452,wanders64 (7/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Chris Godwin,WR,7.96%,18.9
34,2473763453,wanders64 (8/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Jared Cook,TE,7.43%,8
