QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Lamar Jackson,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Jonnu Smith,Pittsburgh Steelers
Mitchell Trubisky,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Cole Kmet,Allen Robinson,Tennessee Titans
Ben Roethlisberger,David Montgomery,Kareem Hunt,Michael Thomas,Diontae Johnson,Chase Claypool,Mark Andrews,Jarvis Landry,Baltimore Ravens
Ben Roethlisberger,Alvin Kamara,James Conner,Diontae Johnson,Allen Robinson,A.J. Brown,Eric Ebron,Austin Hooper,Tennessee Titans
Drew Brees,Alvin Kamara,Derrick Henry,Michael Thomas,Jarvis Landry,Anthony Miller,Austin Hooper,Jared Cook,Cleveland Browns
Ryan Tannehill,David Montgomery,Derrick Henry,Marquise Brown,Chase Claypool,A.J. Brown,Jonnu Smith,Eric Ebron,Chicago Bears
Lamar Jackson,Derrick Henry,Gus Edwards,JuJu Smith-Schuster,A.J. Brown,Dez Bryant,Mark Andrews,Austin Hooper,New Orleans Saints
Drew Brees,Alvin Kamara,Nick Chubb,JuJu Smith-Schuster,Allen Robinson,Emmanuel Sanders,Mark Andrews,Marquez Callaway,Baltimore Ravens
Baker Mayfield,Alvin Kamara,Derrick Henry,Corey Davis,Diontae Johnson,Chase Claypool,David Njoku,Rashard Higgins,New Orleans Saints
Ryan Tannehill,J.K. Dobbins,Latavius Murray,Corey Davis,Allen Robinson,Jarvis Landry,Mark Andrews,A.J. Brown,Cleveland Browns
Ben Roethlisberger,Nick Chubb,J.K. Dobbins,Michael Thomas,Marquise Brown,JuJu Smith-Schuster,Eric Ebron,Rashard Higgins,New Orleans Saints
Lamar Jackson,Alvin Kamara,David Montgomery,A.J. Brown,Miles Boykin,Willie Snead,Cole Kmet,Nick Chubb,Cleveland Browns
Mitchell Trubisky,Alvin Kamara,David Montgomery,Diontae Johnson,Anthony Miller,Emmanuel Sanders,Jimmy Graham,J.K. Dobbins,Pittsburgh Steelers
Lamar Jackson,Derrick Henry,Kareem Hunt,Marquise Brown,Allen Robinson,Emmanuel Sanders,Anthony Firkser,Devin Duvernay,Cleveland Browns
Drew Brees,Gus Edwards,Latavius Murray,Michael Thomas,Chase Claypool,A.J. Brown,Cole Kmet,Emmanuel Sanders,Pittsburgh Steelers
Baker Mayfield,Derrick Henry,James Conner,JuJu Smith-Schuster,Jarvis Landry,Donovan Peoples-Jones,Jimmy Graham,Nick Chubb,Chicago Bears
Mitchell Trubisky,James Conner,Gus Edwards,Marquise Brown,Chase Claypool,Allen Robinson,Jared Cook,Anthony Miller,Baltimore Ravens
Ryan Tannehill,Alvin Kamara,Derrick Henry,Allen Robinson,Miles Boykin,Cameron Batson,Geoff Swaim,Gus Edwards,Pittsburgh Steelers
Lamar Jackson,Kareem Hunt,J.K. Dobbins,Corey Davis,JuJu Smith-Schuster,Diontae Johnson,Eric Tomlinson,Miles Boykin,Chicago Bears
Ryan Tannehill,Alvin Kamara,Kareem Hunt,JuJu Smith-Schuster,Jarvis Landry,Willie Snead,Jonnu Smith,Anthony Firkser,New Orleans Saints
