P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
13104056,13104197,13104054,13104269,13104012,13104162,13103984,13103993,13103989,13104048,,1. Locate the player you want to select in the list below ,,,,,,,,
13104248,13104197,13104259,13104269,13104275,13103911,13104049,13103993,13103929,13104076,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13104056,13104197,13104321,13104030,13104379,13104162,13104049,13103929,13103966,13104075,,3. Paste the ID into the roster position desired ,,,,,,,,
13104151,13104197,13103961,13104269,13103902,13103911,13103967,13104048,13104101,13103966,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13104056,13104197,13104186,13104104,13104192,13103992,13104384,13103929,13104048,13104022,,5. You can create up to 500 lineups per file ,,,,,,,,
13104248,13104197,13104321,13104013,13103902,13103919,13104185,13103989,13103929,13104048,,,,,,,,,,
13104056,13104197,13104321,13104251,13104233,13103919,13104384,13103993,13103921,13104236,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13104056,13104197,13104052,13103926,13104275,13103991,13104185,13103993,13103966,13103888,,SP,Clayton Kershaw (13103912),Clayton Kershaw,13103912,P,11800,ARI@LAD 08/09/2019 10:10PM ET,LAD,21.84
,,,,,,,,,,,SP,Walker Buehler (13104197),Walker Buehler,13104197,P,11500,ARI@LAD 08/09/2019 10:10PM ET,LAD,22.41
,,,,,,,,,,,SP,Blake Snell (13104125),Blake Snell,13104125,P,11000,TB@SEA 08/09/2019 10:10PM ET,TB,17.55
,,,,,,,,,,,SP,Charlie Morton (13103872),Charlie Morton,13103872,P,10700,TB@SEA 08/09/2019 10:10PM ET,TB,22.26
,,,,,,,,,,,SP,Aaron Nola (13104148),Aaron Nola,13104148,P,10600,PHI@SF 08/09/2019 10:15PM ET,PHI,18.56
,,,,,,,,,,,SP,Tyler Glasnow (13104131),Tyler Glasnow,13104131,P,10400,TB@SEA 08/09/2019 10:10PM ET,TB,24.54
,,,,,,,,,,,SP,Rich Hill (13103873),Rich Hill,13103873,P,10300,ARI@LAD 08/09/2019 10:10PM ET,LAD,19.06
,,,,,,,,,,,SP,Garrett Richards (13103990),Garrett Richards,13103990,P,9900,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Robbie Ray (13104062),Robbie Ray,13104062,P,9800,ARI@LAD 08/09/2019 10:10PM ET,ARI,19.64
,,,,,,,,,,,SP,Chris Paddack (13104341),Chris Paddack,13104341,P,9600,COL@SD 08/09/2019 10:10PM ET,SD,18.26
,,,,,,,,,,,SP,German Marquez (13104170),German Marquez,13104170,P,9300,COL@SD 08/09/2019 10:10PM ET,COL,16.18
,,,,,,,,,,,SP,Zac Gallen (13104307),Zac Gallen,13104307,P,9200,ARI@LAD 08/09/2019 10:10PM ET,ARI,18.45
,,,,,,,,,,,SP,Brent Honeywell (13104280),Brent Honeywell,13104280,P,8800,TB@SEA 08/09/2019 10:10PM ET,TB,0
,,,,,,,,,,,SP,Taylor Widener (13104373),Taylor Widener,13104373,P,8700,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Johnny Cueto (13103909),Johnny Cueto,13103909,P,8700,PHI@SF 08/09/2019 10:15PM ET,SF,0
,,,,,,,,,,,SP,Jeff Samardzija (13103917),Jeff Samardzija,13103917,P,8700,PHI@SF 08/09/2019 10:15PM ET,SF,14.8
,,,,,,,,,,,SP,Yadier Alvarez (13104314),Yadier Alvarez,13104314,P,8600,ARI@LAD 08/09/2019 10:10PM ET,LAD,0
,,,,,,,,,,,SP,Joey Lucchesi (13104369),Joey Lucchesi,13104369,P,8600,COL@SD 08/09/2019 10:10PM ET,SD,15.47
,,,,,,,,,,,SP,Yonny Chirinos (13104222),Yonny Chirinos,13104222,P,8600,TB@SEA 08/09/2019 10:10PM ET,TB,15.51
,,,,,,,,,,,SP,Luke Weaver (13104150),Luke Weaver,13104150,P,8500,ARI@LAD 08/09/2019 10:10PM ET,ARI,17.25
,,,,,,,,,,,SP,Dinelson Lamet (13104306),Dinelson Lamet,13104306,P,8500,COL@SD 08/09/2019 10:10PM ET,SD,17.68
,,,,,,,,,,,SP,Mike Leake (13103920),Mike Leake,13103920,P,8400,ARI@LAD 08/09/2019 10:10PM ET,ARI,14.04
