Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2513901803,pbr1818,0,170.00002,UTIL Nathan MacKinnon C Jack Hughes C Paul Stastny W Nikolaj Ehlers W Andrew Copp W Mikael Granlund D Cale Makar D Ryan Ellis G Sergei Bobrovsky,,Connor McDavid,C,20.22%,16.5
2,2513902321,Huskerfootball15,0,167.6,C Logan Couture C Paul Stastny UTIL Max Pacioretty W Denis Gurianov W Kailer Yamamoto W Andrew Copp D Alex Pietrangelo D Rasmus Andersson G Joonas Korpisalo,,Nathan MacKinnon,UTIL,19.38%,18.3
3,2513932124,Tnoble0414,0,167.5,C Nathan MacKinnon C Leon Draisaitl W Max Pacioretty UTIL Denis Gurianov W Miles Wood W Mikael Granlund D Justin Schultz D Jani Hakanpaa G Anton Khudobin,,Filip Forsberg,W,17.13%,4.5
4,2513931897,lordchumley (1/2),0,166.8,C Connor McDavid C Nathan MacKinnon UTIL Mikko Rantanen W James van Riemsdyk W Mikael Granlund W Jesse Puljujarvi D Darnell Nurse D Dylan DeMelo G John Gibson,,Auston Matthews,C,16.29%,16.5
5,2513904952,pato1985,0,165.7,C Connor McDavid C Leon Draisaitl W Max Pacioretty UTIL Denis Gurianov W Miles Wood W Mikael Granlund D Justin Schultz D Jani Hakanpaa G Anton Khudobin,,Jack Eichel,C,16.01%,14.3
6,2513922714,Lazydog11,0,165.3,C Auston Matthews C William Karlsson W Mitchell Marner W Max Pacioretty W Ryan Donato D Shea Theodore UTIL Justin Schultz D Jani Hakanpaa G Scott Wedgewood,,Jesse Puljujarvi,W,15.45%,4.5
7,2513890919,Studonk,0,157.1,C Leon Draisaitl C Aleksander Barkov W Max Pacioretty W Mark Stone W Tyler Bertuzzi D Jeremy Lauzon D Justin Holl UTIL Justin Schultz G Anton Khudobin,,Viktor Arvidsson,W,15.45%,17.4
8,2513888315,CoachSoftball26,0,156.9,C Patrice Bergeron C Adam Lowry W Brad Marchand W Viktor Arvidsson W Jason Zucker D Ivan Provorov D Rasmus Ristolainen UTIL Nikita Zadorov G Philipp Grubauer,,Anton Khudobin,G,14.89%,16.5
9,2513925020,Ware.st.sniper,0,152.90001,C Auston Matthews C Joe Pavelski W Max Pacioretty W Jakub Voracek W Chris Kreider UTIL Mikael Granlund D Morgan Rielly D Rasmus Dahlin G Brian Elliott,,Seth Jones,D,13.76%,4.1
10,2513880650,draftman33,0,151.3,C Connor McDavid C Paul Stastny W Ryan Nugent-Hopkins UTIL Jakub Voracek W James van Riemsdyk W Jesse Puljujarvi D Ivan Provorov D Connor Murphy G Tuukka Rask,,Shayne Gostisbehere,D,12.08%,7.1
11,2513903326,J0K3RR (7/10),0,150.5,C John Tavares C Erik Haula W Max Pacioretty W Viktor Arvidsson UTIL Patric Hornqvist W Nick Ritchie D Alex Pietrangelo D Alec Martinez G Anton Khudobin,,Mikael Granlund,W,11.52%,24
12,2513903324,J0K3RR (5/10),0,147.6,C Jack Eichel C Logan Couture W Oliver Bjorkstrand W Jakub Voracek UTIL Andre Burakovsky W Andrew Copp D Roman Josi D Kris Letang G Darcy Kuemper,,Joe Pavelski,C,11.24%,8
13,2513933002,chuckitup95 (1/10),0,146.79999,C William Karlsson C Erik Haula W Max Pacioretty W Mark Stone W Alex Tuch D Shea Theodore D Alex Pietrangelo UTIL Andrej Sekera G Anton Khudobin,,Taylor Hall,W,10.96%,4.5
14,2513906383,jbeckoff,0,144.6,C Nathan MacKinnon C John Tavares UTIL Max Pacioretty W Viktor Arvidsson W Patric Hornqvist W James Neal D Noah Dobson D Adam Larsson G Anton Khudobin,,Jonathan Marchessault,W,9.83%,10.5
15,2513906184,haakee (4/10),0,142.09999,C Auston Matthews C Matt Duchene UTIL Filip Forsberg W Viktor Arvidsson W Miles Wood W Mikael Granlund D Roman Josi D Darnell Nurse G Jordan Binnington,,Malcolm Subban,G,9.83%,19.7
16,2513880125,v850404,0,138.7,C Connor McDavid C Nathan MacKinnon UTIL Paul Stastny W Mikko Rantanen W Andrew Copp W Jesse Puljujarvi D Jordan Oesterle D Shayne Gostisbehere G Darcy Kuemper,,Leon Draisaitl,C,9.55%,16.5
17,2513906181,haakee (1/10),0,136,C Auston Matthews C Matt Duchene UTIL Filip Forsberg W Viktor Arvidsson W Patric Hornqvist W Mikael Granlund D Roman Josi D Darnell Nurse G Sergei Bobrovsky,,Rasmus Dahlin,D,9.27%,11
