Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Jacob Markstrom,7800,CGY,G,TOR,15.54,,
Frederik Andersen,7600,TOR,G,CGY,14.53,,
Kevin Lankinen,6500,CHI,G,DET,14.31,,
Darcy Kuemper,7200,ARI,G,VGK,13.83,,
Marc-Andre Fleury,8200,VGK,G,ARI,13.67,,
Linus Ullmark,7000,BUF,G,WAS,13.45,,
Vitek Vanecek,8200,WAS,G,BUF,13.19,,
Thomas Greiss,7400,DET,G,CHI,13.16,,
Matthew Tkachuk,6900,CGY,RW,TOR,12.71,1,1
Max Pacioretty,7300,VGK,LW,ARI,12.65,1,1
Mitch Marner,7100,TOR,RW,CGY,12.38,2,1
Jack Eichel,7700,BUF,C,WAS,12.21,1,1
John Tavares,7100,TOR,C,CGY,11.80,1,1
Patrick Kane,7600,CHI,RW,DET,11.80,1,1
Johnny Gaudreau,6100,CGY,LW,TOR,11.65,2,1
Alex Pietrangelo,6300,VGK,D,ARI,11.57,x,1
Mark Stone,6700,VGK,RW,ARI,11.44,1,1
Elias Lindholm,6000,CGY,C,TOR,11.12,1,1
Sean Monahan,5800,CGY,C,TOR,10.76,2,1
Mark Giordano,6400,CGY,D,TOR,10.67,x,2
Shea Theodore,6600,VGK,D,ARI,10.49,x,2
Dylan Larkin,6700,DET,C,CHI,10.42,1,1
Jakub Vrana,5500,WAS,LW,BUF,10.38,1,1
Taylor Hall,6800,BUF,LW,WAS,10.37,1,1
Alex DeBrincat,6500,CHI,LW,DET,10.15,1,1
John Carlson,6900,WAS,D,BUF,10.08,x,1
Reilly Smith,4400,VGK,RW,ARI,9.52,2,2
William Nylander,6300,TOR,RW,CGY,9.52,1,1
Tage Thompson,4000,BUF,RW,WAS,9.38,2,2
Jonathan Marchessault,4600,VGK,LW,ARI,9.35,2,2
T.J. Oshie,5900,WAS,RW,BUF,9.14,2,1
Nicklas Backstrom,6100,WAS,C,BUF,9.10,1,1
Victor Soderstrom,2500,ARI,D,VGK,8.83,x,1
Anthony Mantha,4900,DET,RW,CHI,8.81,1,1
