Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2508622298,spreggin,0,161.7,C Jack Eichel C Nicklas Backstrom UTIL Pius Suter W Patrick Kane W Mitchell Marner W Dylan Cozens D Adam Boqvist D Calvin de Haan G Kevin Lankinen,,Kevin Lankinen,G,40.08%,16.5
2,2508605772,PateChoux444 (1/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Patrick Kane,W,33.76%,14.3
2,2508605773,PateChoux444 (2/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Dylan Larkin,C,26.16%,9.5
2,2508605774,PateChoux444 (3/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Jack Eichel,C,22.36%,21.5
2,2508605775,PateChoux444 (4/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Bobby Ryan,UTIL,22.36%,6.3
2,2508605776,PateChoux444 (5/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,John Tavares,C,22.36%,3
2,2508605777,PateChoux444 (6/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Dominik Kubalik,W,20.25%,6.5
2,2508605778,PateChoux444 (7/7),0,150.1,C Auston Matthews C Nicklas Backstrom UTIL Curtis Lazar W Mitchell Marner W William Nylander W Bobby Ryan D Morgan Rielly D Justin Schultz G Kevin Lankinen,,Rasmus Andersson,D,19.41%,7.8
9,2508639724,last72stop,0,144.8,C Dylan Strome C Pius Suter W Patrick Kane W Alex DeBrincat UTIL Sam Reinhart W Zach Hyman D Connor Murphy D Morgan Rielly G Kevin Lankinen,,Mitchell Marner,W,18.57%,14.5
10,2508724047,tejano23,0,142.3,C Jack Eichel C Elias Lindholm W Patrick Kane UTIL Taylor Hall W Andrew Mangiapane W Richard Panik D Rasmus Ristolainen D Justin Schultz G Vitek Vanecek,,Elias Lindholm,C,16.88%,14.5
11,2508660006,bc2565,0,139.6,C Jack Eichel UTIL Nicklas Backstrom C William Karlsson W Sam Reinhart W Jonathan Marchessault W Reilly Smith D Rasmus Andersson D Morgan Rielly G Kevin Lankinen,,Dylan Strome,C,16.03%,2.6
12,2508684591,jefftman,0,138.20001,C Sean Monahan C Pius Suter W Patrick Kane W Alex DeBrincat UTIL Johnny Gaudreau W Vladislav Namestnikov D Rasmus Andersson D Danny DeKeyser G Marc-Andre Fleury,,Shea Theodore,D,16.03%,5.8
13,2508658654,allstarmike,0,133,C Jack Eichel C Sean Monahan W Sam Reinhart W Victor Olofsson W Philipp Kurashev D Shea Theodore D Alec Martinez UTIL Calvin de Haan G Jacob Markstrom,,Alex Tuch,W,15.61%,6.5
14,2508707474,AVS20 (4/4),0,132.90001,C Jack Eichel UTIL Pius Suter C Lars Eller W Taylor Hall W T.J. Oshie W Philipp Kurashev D Mark Giordano D Duncan Keith G Kevin Lankinen,,Nicklas Backstrom,C,15.19%,32.4
15,2508573899,psereda,0,131.30002,C Jack Eichel C Pius Suter W Patrick Kane W Taylor Hall UTIL Reilly Smith W Andrew Mangiapane D Filip Hronek D Justin Holl G Jacob Markstrom,,Morgan Rielly,D,14.35%,23.8
16,2508768515,silentbobbers (4/5),0,130.8,C Nicklas Backstrom C Sean Monahan W Johnny Gaudreau W Jakub Vrana UTIL Jimmy Vesey W Dominik Simon D John Carlson D Jake Muzzin G Vitek Vanecek,,Sean Monahan,C,13.92%,28.5
