C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16226459,16226461,16226611,16226621,16226653,16226883,16226967,16227114,16226663,,1. Locate the player you want to select in the list below ,,,,,,,,
16226459,16226469,16226611,16226621,16226653,16226883,16226967,16227114,16226649,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16226459,16226469,16226611,16226607,16226653,16226883,16226967,16227125,16226649,,3. Paste the ID into the roster position desired ,,,,,,,,
16226459,16226461,16226611,16226621,16226649,16226883,16226967,16227125,16226663,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16226459,16226461,16226611,16226609,16226621,16226967,16226901,16227125,16226663,,5. You can create up to 500 lineups per file ,,,,,,,,
16226459,16226461,16226611,16226607,16226621,16226883,16226967,16227125,16226701,,,,,,,,,,
16226459,16226461,16226611,16226621,16226631,16226877,16226967,16227125,16226663,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16226461,16226469,16226611,16226621,16226653,16226883,16226967,16227125,16226649,,G,Robin Lehner (16227109),Robin Lehner,16227109,G,8400,VGK@ARI 01/24/2021 04:00PM ET,VGK,11.23
16226461,16226469,16226621,16226615,16226653,16226883,16226967,16227114,16226649,,LW,Alex Ovechkin (16226603),Alex Ovechkin,16226603,W/UTIL,8300,BUF@WAS 01/24/2021 03:00PM ET,WAS,14.05
16226461,16226469,16226607,16226615,16226653,16226883,16226967,16227125,16226649,,C,Auston Matthews (16226449),Auston Matthews,16226449,C/UTIL,8300,TOR@CGY 01/24/2021 04:00PM ET,TOR,17.68
16226459,16226469,16226611,16226615,16226653,16226883,16226967,16227122,16226649,,G,Vitek Vanecek (16227110),Vitek Vanecek,16227110,G,8200,BUF@WAS 01/24/2021 03:00PM ET,WAS,12.6
16226459,16226461,16226611,16226607,16226621,16226967,16226893,16227125,16226663,,G,Marc-Andre Fleury (16227111),Marc-Andre Fleury,16227111,G,8200,VGK@ARI 01/24/2021 04:00PM ET,VGK,15.45
16226461,16226469,16226607,16226621,16226653,16226883,16226967,16227122,16226649,,G,Craig Anderson (16227113),Craig Anderson,16227113,G,8000,BUF@WAS 01/24/2021 03:00PM ET,WAS,0
16226459,16226461,16226611,16226621,16226647,16226883,16226967,16227122,16226663,,G,Malcolm Subban (16227112),Malcolm Subban,16227112,G,8000,DET@CHI 01/24/2021 12:30PM ET,CHI,2.1
16226453,16226459,16226611,16226621,16226663,16226967,16226901,16227122,16226461,,G,Collin Delia (16227115),Collin Delia,16227115,G,7800,DET@CHI 01/24/2021 12:30PM ET,CHI,4.55
16226459,16226469,16226611,16226615,16226653,16226883,16226967,16227114,16226663,,G,Jacob Markstrom (16227114),Jacob Markstrom,16227114,G,7800,TOR@CGY 01/24/2021 04:00PM ET,CGY,19.3
16226459,16226461,16226611,16226621,16226653,16226883,16226913,16227125,16226663,,C,Jack Eichel (16226451),Jack Eichel,16226451,C/UTIL,7700,BUF@WAS 01/24/2021 03:00PM ET,BUF,13
16226451,16226459,16226611,16226621,16226663,16226967,16226913,16227125,16226461,,RW,Patrick Kane (16226605),Patrick Kane,16226605,W/UTIL,7600,DET@CHI 01/24/2021 12:30PM ET,CHI,15.08
