QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Hunter Henry,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Keenan Allen,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Robby Anderson,Darren Waller,Cole Beasley,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,Michael Thomas,Dawson Knox,Alvin Kamara,Denver Broncos
Drew Lock,Mike Davis,Aaron Jones,Tyler Lockett,Jerry Jeudy,Davante Adams,Noah Fant,Duke Johnson,Houston Texans
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,D.K. Metcalf,Austin Hooper,D'Andre Swift,New Orleans Saints
Alex Smith,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Terry McLaurin,Logan Thomas,Cooper Kupp,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,JuJu Smith-Schuster,Evan Engram,Miles Sanders,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Chris Godwin,Mike Gesicki,James Conner,Philadelphia Eagles
Jared Goff,Mike Davis,Aaron Jones,Stefon Diggs,Josh Reynolds,Cooper Kupp,T.J. Hockenson,Josh Jacobs,Cleveland Browns
Aaron Rodgers,Mike Davis,Aaron Jones,Davante Adams,Darius Slayton,Chase Claypool,Robert Tonyan,Duke Johnson,Miami Dolphins
Joe Burrow,Mike Davis,Aaron Jones,Stefon Diggs,A.J. Green,Robert Woods,Drew Sample,Alvin Kamara,Green Bay Packers
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Curtis Samuel,Brandin Cooks,Jordan Akins,Alvin Kamara,Los Angeles Chargers
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,Tee Higgins,Henry Ruggs,Darren Waller,Antonio Gibson,Pittsburgh Steelers
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Jalen Reagor,Travis Fulgham,Eric Ebron,Alvin Kamara,Seattle Seahawks
Justin Herbert,Mike Davis,Aaron Jones,Keenan Allen,DJ Chark,Mike Williams,Jacob Hollister,Alvin Kamara,New York Giants
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Sterling Shepard,Christian Kirk,Dan Arnold,Will Fuller,Tampa Bay Buccaneers
Tom Brady,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Mike Evans,Rob Gronkowski,Jerick McKinnon,Jacksonville Jaguars
Nick Mullens,Mike Davis,Aaron Jones,Stefon Diggs,Jarvis Landry,Brandon Aiyuk,Jordan Reed,Alvin Kamara,Carolina Panthers
Drew Brees,Mike Davis,Aaron Jones,Stefon Diggs,Keelan Cole,Michael Thomas,Jared Cook,Tyler Boyd,Washington Football Team
