CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16157096,16157097,16157095,16157100,16157108,16157121,,1. Locate the player you want to select in the list below ,,,,,,,,
16157096,16157097,16157095,16157099,16157110,16157121,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16157096,16157097,16157095,16157099,16157108,16157128,,3. Paste the ID into the roster position desired ,,,,,,,,
16157095,16157097,16157096,16157099,16157110,16157121,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16157097,16157095,16157096,16157100,16157108,16157121,,5. You can create up to 500 lineups per file ,,,,,,,,
16157096,16157095,16157100,16157102,16157099,16157121,,,,,,,,,,
16157102,16157097,16157095,16157096,16157099,16157121,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16157096,16157097,16157095,16157102,16157108,16157118,,QB,Tom Brady (16157094),Tom Brady,16157094,CPT,16500,TB@NO 01/17/2021 06:40PM ET,TB,23.41
16157100,16157097,16157095,16157096,16157102,16157121,,WR,Michael Thomas (16157095),Michael Thomas,16157095,CPT,15900,TB@NO 01/17/2021 06:40PM ET,NO,13.52
16157097,16157095,16157096,16157099,16157110,16157121,,RB,Alvin Kamara (16157096),Alvin Kamara,16157096,CPT,15300,TB@NO 01/17/2021 06:40PM ET,NO,25.21
16157099,16157097,16157095,16157096,16157108,16157121,,QB,Drew Brees (16157097),Drew Brees,16157097,CPT,14700,TB@NO 01/17/2021 06:40PM ET,NO,18.87
16157095,16157096,16157100,16157102,16157099,16157121,,WR,Mike Evans (16157098),Mike Evans,16157098,CPT,13500,TB@NO 01/17/2021 06:40PM ET,TB,16.56
16157095,16157097,16157096,16157102,16157108,16157118,,WR,Chris Godwin (16157099),Chris Godwin,16157099,CPT,12300,TB@NO 01/17/2021 06:40PM ET,TB,16.38
16157121,16157094,16157095,16157096,16157099,16157098,,WR,Antonio Brown (16157100),Antonio Brown,16157100,CPT,11700,TB@NO 01/17/2021 06:40PM ET,TB,15.02
16157096,16157095,16157099,16157108,16157098,16157121,,QB,Tom Brady (16157042),Tom Brady,16157042,FLEX,11000,TB@NO 01/17/2021 06:40PM ET,TB,23.41
16157096,16157097,16157095,16157098,16157113,16157121,,WR,Michael Thomas (16157043),Michael Thomas,16157043,FLEX,10600,TB@NO 01/17/2021 06:40PM ET,NO,13.52
16157095,16157097,16157096,16157100,16157108,16157128,,RB,Ronald Jones II (16157101),Ronald Jones II,16157101,CPT,10500,TB@NO 01/17/2021 06:40PM ET,TB,14.31
16157097,16157095,16157096,16157099,16157108,16157128,,RB,Alvin Kamara (16157044),Alvin Kamara,16157044,FLEX,10200,TB@NO 01/17/2021 06:40PM ET,NO,25.21
16157099,16157097,16157095,16157096,16157102,16157128,,RB,Leonard Fournette (16157102),Leonard Fournette,16157102,CPT,10200,TB@NO 01/17/2021 06:40PM ET,TB,12.17
16157095,16157097,16157096,16157100,16157111,16157121,,QB,Drew Brees (16157045),Drew Brees,16157045,FLEX,9800,TB@NO 01/17/2021 06:40PM ET,NO,18.87
,,,,,,,WR,Mike Evans (16157046),Mike Evans,16157046,FLEX,9000,TB@NO 01/17/2021 06:40PM ET,TB,16.56
,,,,,,,QB,Ryan Griffin (16157103),Ryan Griffin,16157103,CPT,9000,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,QB,Taysom Hill (16157104),Taysom Hill,16157104,CPT,9000,TB@NO 01/17/2021 06:40PM ET,NO,9.8
,,,,,,,QB,Blaine Gabbert (16157105),Blaine Gabbert,16157105,CPT,9000,TB@NO 01/17/2021 06:40PM ET,TB,3.83
,,,,,,,QB,Jameis Winston (16157106),Jameis Winston,16157106,CPT,9000,TB@NO 01/17/2021 06:40PM ET,NO,0.8
,,,,,,,QB,Trevor Siemian (16157107),Trevor Siemian,16157107,CPT,9000,TB@NO 01/17/2021 06:40PM ET,NO,0
,,,,,,,WR,Emmanuel Sanders (16157108),Emmanuel Sanders,16157108,CPT,8700,TB@NO 01/17/2021 06:40PM ET,NO,11.34
,,,,,,,WR,Deonte Harris (16157109),Deonte Harris,16157109,CPT,8400,TB@NO 01/17/2021 06:40PM ET,NO,6.38
,,,,,,,WR,Chris Godwin (16157047),Chris Godwin,16157047,FLEX,8200,TB@NO 01/17/2021 06:40PM ET,TB,16.38
,,,,,,,WR,Antonio Brown (16157048),Antonio Brown,16157048,FLEX,7800,TB@NO 01/17/2021 06:40PM ET,TB,15.02
,,,,,,,TE,Jared Cook (16157110),Jared Cook,16157110,CPT,7800,TB@NO 01/17/2021 06:40PM ET,NO,8.52
,,,,,,,TE,Rob Gronkowski (16157111),Rob Gronkowski,16157111,CPT,7500,TB@NO 01/17/2021 06:40PM ET,TB,8.96
,,,,,,,RB,Latavius Murray (16157112),Latavius Murray,16157112,CPT,7200,TB@NO 01/17/2021 06:40PM ET,NO,9.32
