Minimum Place,Payout
1,150
2,100
3,60
4,45
5,35
6,25
8,20
10,15
13,10
16,8
20,6
25,5
35,4
45,3
60,2
80,1.5
135,1
275,0.75
625,0.5
1420,0.4
3460,0.3
8545,0.2
35671,0
