CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,TE,Austin Hooper (16117619),Austin Hooper,16117619,FLEX,4800,CLE@PIT 01/10/2021 08:15PM ET,CLE,8.73
,,,,,,,DST,Steelers  (16117620),Steelers ,16117620,FLEX,4600,CLE@PIT 01/10/2021 08:15PM ET,PIT,9.25
,,,,,,,DST,Browns  (16117669),Browns ,16117669,CPT,4200,CLE@PIT 01/10/2021 08:15PM ET,CLE,5.94
,,,,,,,TE,Vance McDonald (16117621),Vance McDonald,16117621,FLEX,4000,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.49
,,,,,,,K,Chris Boswell (16117622),Chris Boswell,16117622,FLEX,3600,CLE@PIT 01/10/2021 08:15PM ET,PIT,7.69
,,,,,,,K,Matthew Wright (16117623),Matthew Wright,16117623,FLEX,3600,CLE@PIT 01/10/2021 08:15PM ET,PIT,7
,,,,,,,K,Cody Parkey (16117624),Cody Parkey,16117624,FLEX,3400,CLE@PIT 01/10/2021 08:15PM ET,CLE,7.33
,,,,,,,WR,Donovan Peoples-Jones (16117670),Donovan Peoples-Jones,16117670,CPT,3000,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.87
,,,,,,,DST,Browns  (16117625),Browns ,16117625,FLEX,2800,CLE@PIT 01/10/2021 08:15PM ET,CLE,5.94
,,,,,,,TE,David Njoku (16117671),David Njoku,16117671,CPT,2400,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.76
,,,,,,,WR,James Washington (16117672),James Washington,16117672,CPT,2100,CLE@PIT 01/10/2021 08:15PM ET,PIT,6.2
,,,,,,,WR,Donovan Peoples-Jones (16117626),Donovan Peoples-Jones,16117626,FLEX,2000,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.87
,,,,,,,TE,David Njoku (16117627),David Njoku,16117627,FLEX,1600,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.76
,,,,,,,RB,Benny Snell Jr. (16117673),Benny Snell Jr.,16117673,CPT,1500,CLE@PIT 01/10/2021 08:15PM ET,PIT,5.26
,,,,,,,WR,James Washington (16117628),James Washington,16117628,FLEX,1400,CLE@PIT 01/10/2021 08:15PM ET,PIT,6.2
