Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Robert Williams III,3500.00,BOS,C,SAC,14.92,0.10
Furkan Korkmaz,3200.00,PHI,SG/SF,CHA,13.63,0.10
Solomon Hill,3000.00,ATL,PF,DAL,12.7,0.10
Mike Muscala,3200.00,OKC,PF/C,HOU,13.51,1.10
Pat Connaughton,3500.00,MIL,SF,IND,14.71,0.10
Nickeil Alexander-Walker,4500.00,NOP,PG/SG,PHO,18.9,0.10
Ricky Rubio,4500.00,MIN,PG,SAS,18.84,0.10
Bobby Portis,5000.00,MIL,PF/C,IND,20.8,0.50
Josh Hart,4500.00,NOP,SF,PHO,18.67,1.10
Josh Okogie,3300.00,MIN,SF,SAS,13.68,0.10
Javonte Green,3000.00,BOS,SF,SAC,12.43,0.10
Devin Vassell,3100.00,SAS,SG/SF,MIN,12.83,6.50
Isaac Okoro,3700.00,CLE,SG/SF,LAC,15.14,0.10
Moe Wagner,4200.00,WAS,C,MIA,17.12,0.10
Jaylen Nowell,3000.00,MIN,SG,SAS,12.18,0.10
Doug McDermott,4700.00,IND,SF/PF,MIL,18.78,1.10
Langston Galloway,3000.00,PHO,PG/SG,NOP,11.98,0.10
Precious Achiuwa,3000.00,MIA,PF/C,WAS,11.9,0.10
Frank Kaminsky,3700.00,PHO,C,NOP,14.58,0.10
Isaiah Roby,3600.00,OKC,PF/C,HOU,14.13,0.10
Jeff Teague,4700.00,BOS,PG/SG,SAC,18.47,0.10
Garrett Temple,4200.00,CHI,SG/SF,NYK,16.51,0.10
Jarred Vanderbilt,5500.00,MIN,PF/C,SAS,21.39,0.50
Jalen Brunson,4000.00,DAL,PG/SG,ATL,15.49,0.10
Ivica Zubac,5000.00,LAC,C,CLE,19.05,0.50
Jae Crowder,5200.00,PHO,PF,NOP,19.74,0.50
Reggie Bullock,3300.00,NYK,SG/SF,CHI,12.51,0.10
Avery Bradley,3000.00,MIA,SG,WAS,11.22,0.10
Lou Williams,4700.00,LAC,PG/SG,CLE,17.53,0.10
Tomas Satoransky,3100.00,CHI,PG,NYK,11.53,0.10
Andre Iguodala,3800.00,MIA,SF/PF,WAS,14.1,0.10
Dwight Howard,4500.00,PHI,C,CHA,16.7,0.10
Jake Layman,3200.00,MIN,SF/PF,SAS,11.75,0.10
Cedi Osman,5000.00,CLE,SF/PF,LAC,18.36,0.50
Robin Lopez,4000.00,WAS,C,MIA,14.55,0.10
Danilo Gallinari,4700.00,ATL,SF/PF,DAL,16.99,0.10
D.J. Augustin,3300.00,MIL,PG,IND,11.74,0.10
Bryn Forbes,3100.00,MIL,PG/SG,IND,10.94,0.10
Aaron Holiday,3400.00,IND,PG/SG,MIL,11.95,0.10
Matisse Thybulle,3200.00,PHI,SF,CHA,11,0.10
Onyeka Okongwu,3000.00,ATL,C,DAL,9.86,0.10
Jarrett Allen,6500.00,CLE,C,LAC,21.14,2.10
Grant Williams,3000.00,BOS,SF/PF,SAC,9.66,0.10
Semi Ojeleye,3000.00,BOS,SF/PF,SAC,9.56,0.10
E'Twaun Moore,3000.00,PHO,SG/SF,NOP,9.53,0.10
Bismack Biyombo,3700.00,CHA,C,PHI,11.55,0.10
Torrey Craig,3000.00,MIL,SG/SF,IND,9.26,0.10
Lamar Stevens,3000.00,CLE,SF,LAC,9.11,0.10
Austin Rivers,3800.00,NYK,PG/SG,CHI,11.3,0.10
Tyrese Maxey,3200.00,PHI,PG/SG,CHA,9.39,0.10
Naz Reid,5800.00,MIN,C,SAS,16.87,0.50
Jerome Robinson,4100.00,WAS,SG/SF,MIA,11.84,0.10
Luke Kennard,4100.00,LAC,SG/SF,CLE,11.82,0.10
Trey Lyles,3000.00,SAS,PF/C,MIN,8.52,0.10
Jaxson Hayes,4300.00,NOP,C,PHO,12.23,0.10
Max Strus,3300.00,MIA,SF,WAS,8.95,0.10
Aaron Nesmith,3000.00,BOS,SG,SAC,8.04,0.10
Damyean Dotson,3000.00,CLE,PG/SG,LAC,7.92,0.10
Obi Toppin,3100.00,NYK,PF,CHI,8.16,0.10
Carsen Edwards,3400.00,BOS,PG/SG,SAC,8.25,0.10
Willie Cauley-Stein,4200.00,DAL,C,ATL,10.03,0.10
James Johnson,3900.00,DAL,PF,ATL,9.32,0.10
Goga Bitadze,3000.00,IND,C,MIL,6.99,0.10
Darius Miller,3100.00,OKC,SF/PF,HOU,7.18,0.10
Alex Len,3200.00,WAS,C,MIA,7.34,0.10
Cody Martin,3000.00,CHA,SG/SF,PHI,6.85,0.10
Dylan Windler,3100.00,CLE,SG/SF,LAC,6,0.10
Nicolo Melli,3000.00,NOP,PF,PHO,5.57,0.10
Mason Jones,3000.00,HOU,SG,OKC,5.38,0.10
Kira Lewis Jr.,3000.00,NOP,PG,PHO,4.59,0.10
Trey Burke,3200.00,DAL,PG/SG,ATL,4.7,0.10
Chandler Hutchison,3000.00,CHI,SF,NYK,3.73,0.10
Terance Mann,3300.00,LAC,PG/SG,CLE,3.93,0.10
Dwight Powell,3100.00,DAL,C,ATL,3.13,0.10
