QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,QB,Trevor Lawrence (31485558),Trevor Lawrence,31485558,QB,6700,JAX@CLE 12/10/2023 01:00PM ET,JAX,18.5
,,,,,,,,,,WR,DK Metcalf (31485906),DK Metcalf,31485906,WR/FLEX,6700,SEA@SF 12/10/2023 04:05PM ET,SEA,15.66
,,,,,,,,,,RB,Isiah Pacheco (31485640),Isiah Pacheco,31485640,RB/FLEX,6700,BUF@KC 12/10/2023 04:25PM ET,KC,14.98
,,,,,,,,,,RB,Jahmyr Gibbs (31485642),Jahmyr Gibbs,31485642,RB/FLEX,6600,DET@CHI 12/10/2023 01:00PM ET,DET,16.48
,,,,,,,,,,RB,Bijan Robinson (31485644),Bijan Robinson,31485644,RB/FLEX,6500,TB@ATL 12/10/2023 01:00PM ET,ATL,14.77
,,,,,,,,,,WR,DJ Moore (31485908),DJ Moore,31485908,WR/FLEX,6500,DET@CHI 12/10/2023 01:00PM ET,CHI,18.12
,,,,,,,,,,QB,Brock Purdy (31485559),Brock Purdy,31485559,QB,6500,SEA@SF 12/10/2023 04:05PM ET,SF,20.71
,,,,,,,,,,QB,Jared Goff (31485560),Jared Goff,31485560,QB,6400,DET@CHI 12/10/2023 01:00PM ET,DET,19.22
,,,,,,,,,,RB,David Montgomery (31485646),David Montgomery,31485646,RB/FLEX,6400,DET@CHI 12/10/2023 01:00PM ET,DET,17.57
,,,,,,,,,,WR,Calvin Ridley (31485910),Calvin Ridley,31485910,WR/FLEX,6400,JAX@CLE 12/10/2023 01:00PM ET,JAX,13.7
,,,,,,,,,,WR,Adam Thielen (31485912),Adam Thielen,31485912,WR/FLEX,6300,CAR@NO 12/10/2023 01:00PM ET,CAR,15.91
,,,,,,,,,,RB,Kenneth Walker III (31485648),Kenneth Walker III,31485648,RB/FLEX,6300,SEA@SF 12/10/2023 04:05PM ET,SEA,14.06
,,,,,,,,,,RB,Breece Hall (31485650),Breece Hall,31485650,RB/FLEX,6200,HOU@NYJ 12/10/2023 01:00PM ET,NYJ,13.95
,,,,,,,,,,TE,Sam LaPorta (31486292),Sam LaPorta,31486292,TE/FLEX,6100,DET@CHI 12/10/2023 01:00PM ET,DET,14.58
,,,,,,,,,,RB,Joe Mixon (31485652),Joe Mixon,31485652,RB/FLEX,6100,IND@CIN 12/10/2023 01:00PM ET,CIN,14.83
,,,,,,,,,,WR,Courtland Sutton (31485914),Courtland Sutton,31485914,WR/FLEX,6100,DEN@LAC 12/10/2023 04:25PM ET,DEN,13.72
,,,,,,,,,,WR,Chris Godwin (31485916),Chris Godwin,31485916,WR/FLEX,6000,TB@ATL 12/10/2023 01:00PM ET,TB,11.16
,,,,,,,,,,QB,Matthew Stafford (31485561),Matthew Stafford,31485561,QB,6000,LAR@BAL 12/10/2023 01:00PM ET,LAR,16.88
,,,,,,,,,,WR,Christian Kirk (31485918),Christian Kirk,31485918,WR/FLEX,6000,JAX@CLE 12/10/2023 01:00PM ET,JAX,13.19
,,,,,,,,,,TE,T.J. Hockenson (31486294),T.J. Hockenson,31486294,TE/FLEX,6000,MIN@LV 12/10/2023 04:05PM ET,MIN,15.88
,,,,,,,,,,RB,James Cook (31485654),James Cook,31485654,RB/FLEX,6000,BUF@KC 12/10/2023 04:25PM ET,BUF,13.32
,,,,,,,,,,RB,Gus Edwards (31485656),Gus Edwards,31485656,RB/FLEX,5900,LAR@BAL 12/10/2023 01:00PM ET,BAL,12
,,,,,,,,,,RB,Zack Moss (31485658),Zack Moss,31485658,RB/FLEX,5900,IND@CIN 12/10/2023 01:00PM ET,IND,13.7
,,,,,,,,,,WR,Tee Higgins (31485920),Tee Higgins,31485920,WR/FLEX,5900,IND@CIN 12/10/2023 01:00PM ET,CIN,10.18
,,,,,,,,,,QB,Joshua Dobbs (31485562),Joshua Dobbs,31485562,QB,5900,MIN@LV 12/10/2023 04:05PM ET,MIN,17.75
,,,,,,,,,,TE,George Kittle (31486296),George Kittle,31486296,TE/FLEX,5900,SEA@SF 12/10/2023 04:05PM ET,SF,13.31
,,,,,,,,,,WR,Amari Cooper (31485924),Amari Cooper,31485924,WR/FLEX,5800,JAX@CLE 12/10/2023 01:00PM ET,CLE,12.58
,,,,,,,,,,WR,Gabe Davis (31485922),Gabe Davis,31485922,WR/FLEX,5800,BUF@KC 12/10/2023 04:25PM ET,BUF,11.78
,,,,,,,,,,QB,Russell Wilson (31485563),Russell Wilson,31485563,QB,5800,DEN@LAC 12/10/2023 04:25PM ET,DEN,18.12
