QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Kyler Murray,Carlos Hyde,Dalvin Cook,Jakeem Grant,Tyler Lockett,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Tyler Boyd,Terry McLaurin,Logan Thomas,James Conner,Detroit Lions
Derek Carr,Carlos Hyde,Dalvin Cook,Amari Cooper,Adam Thielen,Hunter Renfrow,Darren Waller,Tyreek Hill,Denver Broncos
Lamar Jackson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Justin Jefferson,Corey Davis,Mark Andrews,Marquise Brown,Washington Football Team
Cam Newton,Dalvin Cook,D'Andre Swift,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Darren Waller,Aaron Jones,Las Vegas Raiders
Tom Brady,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,Cooper Kupp,Rob Gronkowski,Chris Godwin,Houston Texans
Patrick Mahomes,Carlos Hyde,Dalvin Cook,Curtis Samuel,Denzel Mims,Sammy Watkins,Darren Waller,Travis Kelce,Miami Dolphins
Matt Ryan,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Michael Thomas,Hayden Hurst,Calvin Ridley,Jacksonville Jaguars
Tua Tagovailoa,Carlos Hyde,Dalvin Cook,Jakeem Grant,DeVante Parker,Davante Adams,Noah Fant,Antonio Gibson,Carolina Panthers
Joe Burrow,Carlos Hyde,Dalvin Cook,A.J. Green,Terry McLaurin,Tee Higgins,Darren Waller,Mike Davis,Atlanta Falcons
P.J. Walker,Dalvin Cook,Giovani Bernard,Curtis Samuel,Robby Anderson,Diontae Johnson,T.J. Hockenson,Miles Sanders,New England Patriots
Philip Rivers,Carlos Hyde,Dalvin Cook,Adam Thielen,Davante Adams,Michael Pittman,Trey Burton,Ezekiel Elliott,New York Jets
Russell Wilson,Dalvin Cook,Melvin Gordon,Curtis Samuel,DeAndre Hopkins,David Moore,Greg Olsen,James Robinson,Cleveland Browns
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Randall Cobb,Julio Jones,Jordan Akins,Alvin Kamara,Tennessee Titans
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Jakobi Meyers,JuJu Smith-Schuster,Keelan Cole,Darren Waller,Chase Claypool,New Orleans Saints
Jared Goff,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Josh Reynolds,Robert Woods,Darren Waller,Mike Evans,Pittsburgh Steelers
Aaron Rodgers,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Davante Adams,Jarvis Landry,Robert Tonyan,T.Y. Hilton,Minnesota Vikings
