QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Evan Baylis,James Conner,Cincinnati Bengals
P.J. Walker,Dalvin Cook,D'Andre Swift,Curtis Samuel,Adam Thielen,D.J. Moore,Mark Andrews,Kenny Golladay,Denver Broncos
Alex Smith,Carlos Hyde,Dalvin Cook,Amari Cooper,Tyler Boyd,Terry McLaurin,Logan Thomas,DeAndre Hopkins,Jacksonville Jaguars
Tua Tagovailoa,Carlos Hyde,Dalvin Cook,Jakeem Grant,Justin Jefferson,DeVante Parker,Noah Fant,Davante Adams,Houston Texans
Derek Carr,Carlos Hyde,Dalvin Cook,Cooper Kupp,Hunter Renfrow,Henry Ruggs,Travis Kelce,Aaron Jones,Detroit Lions
Lamar Jackson,Dalvin Cook,Antonio Gibson,Denzel Mims,Corey Davis,Marquise Brown,Mark Andrews,Mike Davis,Atlanta Falcons
Kyler Murray,Dalvin Cook,Giovani Bernard,Larry Fitzgerald,Diontae Johnson,DeAndre Hopkins,Dallas Goedert,David Moore,Las Vegas Raiders
Matt Ryan,Carlos Hyde,Dalvin Cook,A.J. Green,Michael Thomas,Calvin Ridley,Hayden Hurst,Melvin Gordon,New England Patriots
Tom Brady,Dalvin Cook,Ezekiel Elliott,Curtis Samuel,Josh Reynolds,Chris Godwin,Rob Gronkowski,James Robinson,Washington Football Team
Cam Newton,Dalvin Cook,Miles Sanders,Jakobi Meyers,Damiere Byrd,Randall Cobb,Austin Hooper,Alvin Kamara,Carolina Panthers
Patrick Mahomes,Dalvin Cook,Salvon Ahmed,Michael Gallup,Michael Pittman,Tyreek Hill,Darren Waller,Sammy Watkins,New York Jets
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Jarvis Landry,Tee Higgins,JuJu Smith-Schuster,Tyler Eifert,Chase Claypool,Miami Dolphins
Philip Rivers,Dalvin Cook,DeeJay Dallas,Davante Adams,Julio Jones,T.Y. Hilton,Trey Burton,J.D. McKissic,Philadelphia Eagles
Jared Goff,Carlos Hyde,Dalvin Cook,Robert Woods,Jerry Jeudy,Mike Evans,Tyler Higbee,Josh Jacobs,Cleveland Browns
Carson Wentz,Dalvin Cook,Derrick Henry,Adam Thielen,Jalen Reagor,Rashard Higgins,Mike Gesicki,Travis Fulgham,Seattle Seahawks
Aaron Rodgers,Dalvin Cook,La'Mical Perine,Davante Adams,CeeDee Lamb,Zach Pascal,Robert Tonyan,Ronald Jones,Tennessee Titans
Joe Flacco,Dalvin Cook,Clyde Edwards-Helaire,Adam Thielen,Breshad Perriman,Antonio Brown,Eric Ebron,Jamison Crowder,Minnesota Vikings
Matthew Stafford,Dalvin Cook,Todd Gurley,Robby Anderson,KJ Hamler,Marvin Jones,T.J. Hockenson,Nyheim Hines,Pittsburgh Steelers
Jameis Winston,Dalvin Cook,Rex Burkhead,Davante Adams,Russell Gage,Emmanuel Sanders,Jared Cook,Kenyan Drake,Baltimore Ravens
