QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
30168850,30168932,30169006,30169164,30169166,30169218,30169584,30169248,30169825,,1. Locate the player you want to select in the list below ,,,,,,,,
30168850,30168932,30168922,30169160,30169216,30169218,30169588,30169248,30169821,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
30168850,30168932,30169006,30169164,30169168,30169216,30169596,30168998,30169821,,3. Paste the ID into the roster position desired ,,,,,,,,
30168850,30168932,30168922,30169164,30169218,30169272,30169598,30168934,30169819,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
30168843,30168932,30169006,30169160,30169216,30169218,30169598,30169202,30169825,,5. You can create up to 500 lineups per file ,,,,,,,,
30168847,30168932,30168924,30169160,30169216,30169242,30169584,30169006,30169821,,,,,,,,,,
30168849,30168932,30169006,30169160,30169166,30169218,30169596,30169270,30169819,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
30168849,30168932,30168922,30169166,30169216,30169210,30169584,30169272,30169819,,RB,Christian McCaffrey (30168912),Christian McCaffrey,30168912,RB/FLEX,9500,SF@CLE 10/15/2023 01:00PM ET,SF,28.76
30168850,30168932,30168938,30169164,30169166,30169234,30169596,30169272,30169822,,WR,Tyreek Hill (30169160),Tyreek Hill,30169160,WR/FLEX,9300,CAR@MIA 10/15/2023 01:00PM ET,MIA,28.3
30168850,30168932,30168924,30169164,30169216,30169218,30169594,30169234,30169817,,WR,Justin Jefferson (30169162),Justin Jefferson,30169162,WR/FLEX,9200,MIN@CHI 10/15/2023 01:00PM ET,MIN,23.82
30168843,30168932,30168934,30169160,30169202,30169248,30169584,30169272,30169821,,WR,Cooper Kupp (30169164),Cooper Kupp,30169164,WR/FLEX,9000,ARI@LAR 10/15/2023 04:25PM ET,LAR,22.8
30168850,30168922,30169006,30169160,30169164,30169224,30169596,30169272,30169825,,WR,Ja'Marr Chase (30169166),Ja'Marr Chase,30169166,WR/FLEX,8300,SEA@CIN 10/15/2023 01:00PM ET,CIN,23.16
30168850,30168932,30168998,30169166,30169168,30169218,30169588,30169234,30169819,,QB,Jalen Hurts (30168842),Jalen Hurts,30168842,QB,8200,PHI@NYJ 10/15/2023 04:25PM ET,PHI,24.02
30168847,30168932,30168922,30169166,30169216,30169218,30169598,30169242,30169811,,WR,Davante Adams (30169168),Davante Adams,30169168,WR/FLEX,8100,NE@LV 10/15/2023 04:05PM ET,LV,20.44
30168849,30168932,30168938,30169166,30169168,30169216,30169598,30169270,30169825,,WR,Puka Nacua (30169170),Puka Nacua,30169170,WR/FLEX,8000,ARI@LAR 10/15/2023 04:25PM ET,LAR,24.92
30168850,30168938,30169006,30169160,30169164,30169218,30169598,30169256,30169821,,WR,A.J. Brown (30169172),A.J. Brown,30169172,WR/FLEX,7800,PHI@NYJ 10/15/2023 04:25PM ET,PHI,22.02
