QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Davante Adams,Detroit Lions
Kyler Murray,Mike Davis,Alvin Kamara,Stefon Diggs,Robby Anderson,Larry Fitzgerald,Dallas Goedert,Christian Kirk,Los Angeles Rams
Drew Lock,Mike Davis,Aaron Jones,Terry McLaurin,Michael Thomas,Jerry Jeudy,Noah Fant,Darren Waller,Miami Dolphins
Jared Goff,Mike Davis,Aaron Jones,Josh Reynolds,Cooper Kupp,D.K. Metcalf,Austin Hooper,James Conner,Philadelphia Eagles
Tom Brady,Mike Davis,Aaron Jones,D.J. Moore,Chase Claypool,Chris Godwin,Rob Gronkowski,Miles Sanders,Pittsburgh Steelers
Ben Roethlisberger,Mike Davis,Aaron Jones,Diontae Johnson,JuJu Smith-Schuster,Tee Higgins,T.J. Hockenson,Josh Jacobs,Green Bay Packers
Deshaun Watson,Mike Davis,Aaron Jones,Brandin Cooks,Robert Woods,Jarvis Landry,Evan Engram,Will Fuller,New York Giants
Aaron Rodgers,Mike Davis,D'Andre Swift,Davante Adams,DJ Chark,Brandon Aiyuk,Robert Tonyan,Antonio Gibson,Cleveland Browns
Carson Wentz,Aaron Jones,Alvin Kamara,Darius Slayton,Jalen Reagor,Travis Fulgham,Logan Thomas,James Robinson,Tampa Bay Buccaneers
Joe Burrow,Aaron Jones,Nick Chubb,Stefon Diggs,A.J. Green,Curtis Samuel,Eric Ebron,Tyler Boyd,Los Angeles Chargers
Russell Wilson,Giovani Bernard,Leonard Fournette,Tyler Lockett,D.K. Metcalf,John Brown,Tyler Higbee,Jerick McKinnon,Denver Broncos
Derek Carr,Aaron Jones,Kareem Hunt,Davante Adams,Tim Patrick,Henry Ruggs,Mike Gesicki,Hunter Renfrow,Washington Football Team
Drew Brees,Aaron Jones,Chase Edmonds,Davante Adams,Mike Williams,Richie James,Jared Cook,Emmanuel Sanders,Houston Texans
Jake Luton,Aaron Jones,Melvin Gordon,Keelan Cole,Davante Adams,Sterling Shepard,Tyler Eifert,Mike Evans,Seattle Seahawks
Matthew Stafford,Ronald Jones,Darrell Henderson,Terry McLaurin,Davante Adams,Danny Amendola,Jordan Reed,Marvin Jones,Carolina Panthers
Baker Mayfield,Aaron Jones,J.D. McKissic,Davante Adams,Rashard Higgins,Randall Cobb,Harrison Bryant,Antonio Brown,Las Vegas Raiders
Josh Allen,Jamaal Williams,Wayne Gallman,Stefon Diggs,Cole Beasley,Marquez Valdes-Scantling,Dan Arnold,Joshua Kelley,Jacksonville Jaguars
Nick Mullens,Aaron Jones,Travis Homer,Davante Adams,Tre'Quan Smith,Kendrick Bourne,Ross Dwelley,Kenyan Drake,Buffalo Bills
Daniel Jones,Aaron Jones,Salvon Ahmed,Davante Adams,Greg Ward,Golden Tate,Kaden Smith,Devin Singletary,Arizona Cardinals
