QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Lamar Jackson,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Eric Ebron,Baltimore Ravens
Drew Brees,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,Allen Robinson,Mark Andrews,Jonnu Smith,Tennessee Titans
Drew Brees,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Allen Robinson,Tennessee Titans
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Marquise Brown,Eric Ebron,Allen Robinson,Tennessee Titans
Ben Roethlisberger,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Diontae Johnson,Jonnu Smith,Jarvis Landry,Tennessee Titans
Mitchell Trubisky,Alvin Kamara,Derrick Henry,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Cole Kmet,Tennessee Titans
Lamar Jackson,David Montgomery,James Conner,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Chase Claypool,Baltimore Ravens
Ben Roethlisberger,Alvin Kamara,James Conner,Michael Thomas,Marquise Brown,JuJu Smith-Schuster,Mark Andrews,Jarvis Landry,Tennessee Titans
Lamar Jackson,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,Allen Robinson,Mark Andrews,Jonnu Smith,Cleveland Browns
Ben Roethlisberger,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Austin Hooper,Tennessee Titans
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Diontae Johnson,Mark Andrews,Cole Kmet,Baltimore Ravens
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Anthony Miller,Mark Andrews,A.J. Brown,Tennessee Titans
Lamar Jackson,Derrick Henry,James Conner,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Eric Ebron,Cleveland Browns
Lamar Jackson,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,Anthony Miller,Mark Andrews,Jonnu Smith,Baltimore Ravens
Lamar Jackson,Alvin Kamara,Gus Edwards,Michael Thomas,Corey Davis,Diontae Johnson,Mark Andrews,Jonnu Smith,Baltimore Ravens
Lamar Jackson,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Jonnu Smith,Diontae Johnson,Chicago Bears
Mitchell Trubisky,Derrick Henry,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Allen Robinson,Tennessee Titans
Lamar Jackson,David Montgomery,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Jarvis Landry,Cleveland Browns
Lamar Jackson,David Montgomery,Kareem Hunt,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Mark Andrews,Diontae Johnson,Cleveland Browns
Drew Brees,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Cole Kmet,Diontae Johnson,Tennessee Titans
