P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Nick Margevicius (13097337),Nick Margevicius,13097337,P,6300,COL@SD 08/08/2019 10:10PM ET,SD,6.32
,,,,,,,,,,,SP,Jake Arrieta (13097130),Jake Arrieta,13097130,P,6200,PHI@SF 08/08/2019 09:45PM ET,PHI,12.66
,,,,,,,,,,,SP,Garrett Williams (13097276),Garrett Williams,13097276,P,6000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,Chad Bettis (13097134),Chad Bettis,13097134,P,5800,COL@SD 08/08/2019 10:10PM ET,COL,2.2
,,,,,,,,,,,SP,Kyle Freeland (13097231),Kyle Freeland,13097231,P,5800,COL@SD 08/08/2019 10:10PM ET,COL,6.95
,,,,,,,,,,,OF,Charlie Blackmon (13097143),Charlie Blackmon,13097143,OF,5700,COL@SD 08/08/2019 10:10PM ET,COL,10.62
,,,,,,,,,,,RP,Will Smith (13097146),Will Smith,13097146,P,5700,PHI@SF 08/08/2019 09:45PM ET,SF,4.3
,,,,,,,,,,,SP,Nick Pivetta (13097270),Nick Pivetta,13097270,P,5600,PHI@SF 08/08/2019 09:45PM ET,PHI,9.6
,,,,,,,,,,,SS,Trevor Story (13097215),Trevor Story,13097215,SS,5500,COL@SD 08/08/2019 10:10PM ET,COL,10.45
,,,,,,,,,,,SP,Melvin Adon (13097306),Melvin Adon,13097306,P,5500,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Wade Davis (13097102),Wade Davis,13097102,P,5400,COL@SD 08/08/2019 10:10PM ET,COL,1.71
,,,,,,,,,,,RP,Jesus Tinoco (13097242),Jesus Tinoco,13097242,P,5400,COL@SD 08/08/2019 10:10PM ET,COL,3.34
,,,,,,,,,,,SS,Fernando Tatis Jr. (13097334),Fernando Tatis Jr.,13097334,SS,5400,COL@SD 08/08/2019 10:10PM ET,SD,10.85
,,,,,,,,,,,SP,Chi Chi Gonzalez (13097263),Chi Chi Gonzalez,13097263,P,5300,COL@SD 08/08/2019 10:10PM ET,COL,4.65
,,,,,,,,,,,SP,Cole Irvin (13097255),Cole Irvin,13097255,P,5300,PHI@SF 08/08/2019 09:45PM ET,PHI,5.58
,,,,,,,,,,,SP,Peter Lambert (13097315),Peter Lambert,13097315,P,5200,COL@SD 08/08/2019 10:10PM ET,COL,6.94
,,,,,,,,,,,RP,Reyes Moronta (13097214),Reyes Moronta,13097214,P,5200,PHI@SF 08/08/2019 09:45PM ET,SF,3.91
,,,,,,,,,,,SP,Jeff Hoffman (13097262),Jeff Hoffman,13097262,P,5000,COL@SD 08/08/2019 10:10PM ET,COL,7.7
,,,,,,,,,,,RP,Juan Nicasio (13097135),Juan Nicasio,13097135,P,5000,PHI@SF 08/08/2019 09:45PM ET,PHI,2.18
,,,,,,,,,,,3B,Nolan Arenado (13097153),Nolan Arenado,13097153,3B,4900,COL@SD 08/08/2019 10:10PM ET,COL,9.19
,,,,,,,,,,,1B,Daniel Murphy (13097125),Daniel Murphy,13097125,1B,4800,COL@SD 08/08/2019 10:10PM ET,COL,7.52
,,,,,,,,,,,OF,David Dahl (13097244),David Dahl,13097244,OF,4800,COL@SD 08/08/2019 10:10PM ET,COL,8.65
,,,,,,,,,,,SP,Dan Straily (13097159),Dan Straily,13097159,P,4800,PHI@SF 08/08/2019 09:45PM ET,PHI,1.36
,,,,,,,,,,,OF,Alex Dickerson (13097178),Alex Dickerson,13097178,OF,4800,PHI@SF 08/08/2019 09:45PM ET,SF,7.36
,,,,,,,,,,,SP,Dereck Rodriguez (13097225),Dereck Rodriguez,13097225,P,4800,PHI@SF 08/08/2019 09:45PM ET,SF,5.53
,,,,,,,,,,,SP,Shaun Anderson (13097278),Shaun Anderson,13097278,P,4800,PHI@SF 08/08/2019 09:45PM ET,SF,8.25
,,,,,,,,,,,OF,Corey Dickerson (13097160),Corey Dickerson,13097160,OF,4700,PHI@SF 08/08/2019 09:45PM ET,PHI,7.06
,,,,,,,,,,,RP,Dan Winkler (13097200),Dan Winkler,13097200,P,4700,PHI@SF 08/08/2019 09:45PM ET,SF,2.32
