P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,OF,Vince Fernandez (13097308),Vince Fernandez,13097308,OF,3000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,C,Austin Allen (13097316),Austin Allen,13097316,C,3000,COL@SD 08/08/2019 10:10PM ET,SD,2.81
,,,,,,,,,,,3B,Ty France (13097322),Ty France,13097322,3B,3000,COL@SD 08/08/2019 10:10PM ET,SD,4.35
,,,,,,,,,,,3B,Colton Welker (13097329),Colton Welker,13097329,3B,3000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,SS,Brandon Crawford (13097144),Brandon Crawford,13097144,SS,3000,PHI@SF 08/08/2019 09:45PM ET,SF,5.93
,,,,,,,,,,,2B,Joe Panik (13097206),Joe Panik,13097206,2B,3000,PHI@SF 08/08/2019 09:45PM ET,SF,5.06
,,,,,,,,,,,2B/3B,Jesmuel Valentin (13097245),Jesmuel Valentin,13097245,2B/3B,3000,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,Drew Ferguson (13097320),Drew Ferguson,13097320,OF,3000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,3B,Chase Headley (13097115),Chase Headley,13097115,3B,2900,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,C,Dom Nunez (13097269),Dom Nunez,13097269,C,2900,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,2B,Scooter Gennett (13097158),Scooter Gennett,13097158,2B,2900,PHI@SF 08/08/2019 09:45PM ET,SF,3.78
,,,,,,,,,,,1B,Mark Reynolds (13097099),Mark Reynolds,13097099,1B,2800,COL@SD 08/08/2019 10:10PM ET,COL,3.01
,,,,,,,,,,,C,Austin Hedges (13097221),Austin Hedges,13097221,C,2800,COL@SD 08/08/2019 10:10PM ET,SD,4.71
,,,,,,,,,,,2B/SS,Pat Valaika (13097260),Pat Valaika,13097260,2B/SS,2800,COL@SD 08/08/2019 10:10PM ET,COL,2.12
,,,,,,,,,,,2B,Luis Urias (13097286),Luis Urias,13097286,2B,2800,COL@SD 08/08/2019 10:10PM ET,SD,3.54
,,,,,,,,,,,1B/3B,Tyler Nevin (13097313),Tyler Nevin,13097313,1B/3B,2800,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,OF/SS,Phil Gosselin (13097175),Phil Gosselin,13097175,SS/OF,2800,PHI@SF 08/08/2019 09:45PM ET,PHI,1.94
,,,,,,,,,,,OF,Steven Duggar (13097282),Steven Duggar,13097282,OF,2800,PHI@SF 08/08/2019 09:45PM ET,SF,5.37
,,,,,,,,,,,C,A.J. Ellis (13097091),A.J. Ellis,13097091,C,2700,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Boog Powell (13097252),Boog Powell,13097252,OF,2700,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Sam Hilliard (13097293),Sam Hilliard,13097293,OF,2700,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,OF,Edward Olivares (13097298),Edward Olivares,13097298,OF,2700,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Shane Robinson (13097122),Shane Robinson,13097122,OF,2700,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,C,Rob Brantly (13097179),Rob Brantly,13097179,C,2700,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,C,Brett Nicholas (13097189),Brett Nicholas,13097189,C,2600,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,OF,Buddy Reed (13097277),Buddy Reed,13097277,OF,2600,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Cornelius Randolph (13097311),Cornelius Randolph,13097311,OF,2600,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,Mickey Moniak (13097326),Mickey Moniak,13097326,OF,2600,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,1B,Roberto Ramos (13097292),Roberto Ramos,13097292,1B,2500,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,1B/C,Matt McBride (13097119),Matt McBride,13097119,C/1B,2500,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,2B,Daniel Brito (13097303),Daniel Brito,13097303,2B,2500,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,2B/OF,Andrew Romine (13097132),Andrew Romine,13097132,2B/OF,2400,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,C,Andrew Knapp (13097197),Andrew Knapp,13097197,C,2400,PHI@SF 08/08/2019 09:45PM ET,PHI,2.34
,,,,,,,,,,,OF,Nick Williams (13097250),Nick Williams,13097250,OF,2400,PHI@SF 08/08/2019 09:45PM ET,PHI,1.83
,,,,,,,,,,,SS,Arquimedes Gamboa (13097323),Arquimedes Gamboa,13097323,SS,2400,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,SS,Hudson Sanchez (13097327),Hudson Sanchez,13097327,SS,2300,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,2B/SS,Gregorio Petit (13097095),Gregorio Petit,13097095,2B/SS,2300,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,2B/SS,Gift Ngoepe (13097161),Gift Ngoepe,13097161,2B/SS,2300,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,3B,Zach Green (13097249),Zach Green,13097249,3B,2300,PHI@SF 08/08/2019 09:45PM ET,SF,2
,,,,,,,,,,,C,Joey Bart (13097321),Joey Bart,13097321,C,2300,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,C,Chris Stewart (13097088),Chris Stewart,13097088,C,2200,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SS,Javy Guerra (13097265),Javy Guerra,13097265,SS,2200,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SS,Gabriel Arias (13097338),Gabriel Arias,13097338,SS,2200,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Tirso Ornelas (13097339),Tirso Ornelas,13097339,OF,2200,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SS,Allen Cordoba (13097266),Allen Cordoba,13097266,SS,2100,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SS,Ruddy Giron (13097296),Ruddy Giron,13097296,SS,2000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SS,Xavier Edwards (13097340),Xavier Edwards,13097340,SS,2000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,3B/OF,Jose Bautista (13097086),Jose Bautista,13097086,3B/OF,2000,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,Andrew McCutchen (13097108),Andrew McCutchen,13097108,OF,2000,PHI@SF 08/08/2019 09:45PM ET,PHI,8.66
