Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Timothy Lopes,2700.00,SEA,2B,SDP,7.46,2.76,8,1
Billy Hamilton,2700.00,KCR,OF,BOS,6.63,2.46,9,1
Wil Myers,3700.00,SDP,OF,SEA,8.89,2.4,2,1
Ryan O'Hearn,2700.00,KCR,1B,BOS,6.47,2.4,8,1
Brock Holt,3300.00,BOS,2B,KCR,7.87,2.38,8,1
Meibrys Viloria,3000.00,KCR,C,BOS,7.1,2.37,7,1
Manny Machado,4300.00,SDP,3B/SS,SEA,10.15,2.36,3,1
Humberto Arteaga,2300.00,KCR,SS,BOS,5.42,2.36,2,1
Hunter Renfroe,4300.00,SDP,OF,SEA,9.95,2.31,5,1
Pablo Reyes,3000.00,PIT,2B/OF,MIL,6.82,2.27,7,1
Luis Urias,2600.00,SDP,2B,SEA,5.85,2.25,8,1
Wilmer Flores,3300.00,ARI,2B,PHI,7.35,2.23,6,1
Trent Grisham,3200.00,MIL,OF,PIT,7.09,2.22,1,1
Aaron Judge,4800.00,NYY,OF,BAL,10.54,2.2,2,1
Eduardo Escobar,4600.00,ARI,2B/3B,PHI,9.83,2.14,3,1
Mitch Moreland,4100.00,BOS,1B,KCR,8.65,2.11,7,1
Christian Walker,4100.00,ARI,1B,PHI,8.57,2.09,4,1
Yasmani Grandal,3900.00,MIL,C,PIT,8.17,2.09,2,1
Fernando Tatis,5100.00,SDP,SS,SEA,10.56,2.07,1,1
Austin Hedges,2900.00,SDP,C,SEA,5.95,2.05,9,1
Mallex Smith,3800.00,SEA,OF,SDP,7.7,2.03,1,1
Bryce Harper,4300.00,PHI,OF,ARI,8.68,2.02,3,1
Austin Nola,3700.00,SEA,1B/2B,SDP,7.47,2.02,7,1
Ketel Marte,5000.00,ARI,2B/OF,PHI,10.03,2.01,1,1
Colin Moran,3700.00,PIT,3B,MIL,7.43,2.01,6,1
Mookie Betts,5200.00,BOS,OF,KCR,10.33,1.99,1,1
Francisco Mejia,3200.00,SDP,C,SEA,6.33,1.98,6,1
Domingo Santana,4000.00,SEA,OF,SDP,7.9,1.98,3,1
Manuel Margot,3600.00,SDP,OF,SEA,7.02,1.95,7,1
Rhys Hoskins,4300.00,PHI,1B,ARI,8.39,1.95,2,1
Renato Nunez,4000.00,BAL,1B/3B,NYY,7.72,1.93,4,1
Giovanny Urshela,4800.00,NYY,3B,BAL,9.15,1.91,3,1
Carson Kelly,3900.00,ARI,C,PHI,7.45,1.91,8,1
Jackie Bradley,3800.00,BOS,OF,KCR,7.27,1.91,9,1
Keon Broxton,3000.00,SEA,OF,SDP,5.67,1.89,9,1
Jacob Stallings,2700.00,PIT,C,MIL,5.1,1.89,8,1
Breyvic Valera,3600.00,NYY,2B,BAL,6.73,1.87,9,1
Nicky Lopez,2600.00,KCR,2B,BOS,4.86,1.87,6,1
