PG,SG,SF,PF,C,G,F,UTIL
Malcolm Brogdon,Collin Sexton,Lamar Stevens,Cedi Osman,Andre Drummond,Aaron Holiday,Victor Oladipo,Myles Turner
T.J. McConnell,Collin Sexton,Justin Holiday,Cedi Osman,Andre Drummond,Victor Oladipo,Domantas Sabonis,Isaac Okoro
Malcolm Brogdon,Collin Sexton,Doug McDermott,Dean Wade,Andre Drummond,Victor Oladipo,Larry Nance Jr.,JaVale McGee
