PG,SG,SF,PF,C,G,F,UTIL
Collin Sexton,Fred VanVleet,Kevin Durant,Davis Bertans,Tony Bradley,Justin Holiday,Aaron Gordon,Naz Reid
Kyle Lowry,D'Angelo Russell,Kevin Durant,Rui Hachimura,Tony Bradley,Justin Holiday,Dylan Windler,Nikola Vucevic
Kyle Lowry,Malik Beasley,Kevin Durant,Davis Bertans,Tony Bradley,Evan Fournier,Justin Holiday,Collin Sexton
Kyle Lowry,Justin Holiday,Kevin Durant,Rui Hachimura,Tony Bradley,Darius Garland,Jarred Vanderbilt,Nikola Vucevic
Kyle Lowry,Evan Fournier,Kevin Durant,Davis Bertans,Tony Bradley,Darius Garland,Jeremy Lamb,D'Angelo Russell
Fred VanVleet,Malik Beasley,Kevin Durant,Davis Bertans,Tony Bradley,Justin Holiday,Isaac Okoro,Nikola Vucevic
Kyrie Irving,D'Angelo Russell,Taurean Prince,Davis Bertans,Tony Bradley,Kyle Lowry,Justin Holiday,Nikola Vucevic
Russell Westbrook,Fred VanVleet,Kevin Durant,Jaden McDaniels,Tony Bradley,Justin Holiday,Dylan Windler,Nikola Vucevic
Kyle Lowry,Collin Sexton,Kevin Durant,Davis Bertans,Tony Bradley,Cole Anthony,Justin Holiday,D'Angelo Russell
Kyle Lowry,Malik Beasley,Kevin Durant,Rui Hachimura,Tony Bradley,Justin Holiday,Taurean Prince,Nikola Vucevic
Kyrie Irving,Collin Sexton,Justin Holiday,Davis Bertans,Tony Bradley,Kyle Lowry,Anthony Edwards,Nikola Vucevic
Collin Sexton,Fred VanVleet,Kevin Durant,Jaden McDaniels,Dwight Howard,Justin Holiday,Davis Bertans,Nikola Vucevic
Darius Garland,Malik Beasley,Kevin Durant,Davis Bertans,Tony Bradley,Malcolm Brogdon,Pascal Siakam,Khem Birch
Kyle Lowry,D'Angelo Russell,Kevin Durant,Davis Bertans,Tony Bradley,Justin Holiday,Dylan Windler,Nikola Vucevic
Cole Anthony,Malik Beasley,Kevin Durant,Rui Hachimura,Tony Bradley,Collin Sexton,Jeremy Lamb,Fred VanVleet
Kyle Lowry,Justin Holiday,Kevin Durant,Davis Bertans,Tony Bradley,Darius Garland,Jarred Vanderbilt,Nikola Vucevic
Terence Davis,Bradley Beal,Kevin Durant,Jaden McDaniels,Tony Bradley,Collin Sexton,Domantas Sabonis,Khem Birch
Russell Westbrook,Terence Davis,Kevin Durant,Jaden McDaniels,Dwight Howard,Collin Sexton,Justin Holiday,Nikola Vucevic
Kyle Lowry,Collin Sexton,Kevin Durant,Jaden McDaniels,Tony Bradley,Cole Anthony,Rui Hachimura,Domantas Sabonis
Kyle Lowry,Bradley Beal,Kevin Durant,Jaden McDaniels,Tony Bradley,Darius Garland,Jeremy Lamb,Cole Anthony
