CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Jamaal Williams,D.J. Moore,Aaron Rodgers,Mike Davis,Davante Adams,Allen Lazard
Allen Lazard,D.J. Moore,Aaron Rodgers,Robby Anderson,Davante Adams,Jamaal Williams
Davante Adams,D.J. Moore,Aaron Rodgers,Mike Davis,Jamaal Williams,Equanimeous St. Brown
Aaron Rodgers,Mike Davis,Robby Anderson,Davante Adams,Jamaal Williams,Equanimeous St. Brown
