QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
36141834,36141902,36141898,36142146,36142160,36142210,36142528,36142196,36142722,,1. Locate the player you want to select in the list below ,,,,,,,,
36141837,36141902,36141954,36142146,36142160,36142156,36142502,36142210,36142731,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
36141839,36141902,36141898,36142146,36142136,36142210,36142524,36141992,36142723,,3. Paste the ID into the roster position desired ,,,,,,,,
36141839,36141902,36141914,36142146,36142160,36142168,36142524,36141954,36142722,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
36141837,36141902,36141898,36142140,36142174,36142210,36142524,36141954,36142722,,5. You can create up to 500 lineups per file ,,,,,,,,
36141832,36141902,36141920,36142146,36142154,36142210,36142528,36141954,36142716,,,,,,,,,,
36141839,36141902,36141898,36142156,36142210,36142168,36142528,36141914,36142731,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
36141832,36141902,36141914,36142160,36142154,36142210,36142506,36141992,36142722,,WR,Ja'Marr Chase (36142122),Ja'Marr Chase,36142122,WR/FLEX,8000,BAL@CIN 10/06/2024 01:00PM ET,CIN,17.5
36141837,36141902,36141920,36142146,36142160,36142140,36142528,36141992,36142723,,WR,Cooper Kupp (36142124),Cooper Kupp,36142124,WR/FLEX,7900,GB@LAR 10/06/2024 04:25PM ET,LAR,21.35
36141839,36141902,36141936,36142126,36142136,36142210,36142528,36141954,36142722,,RB,Derrick Henry (36141894),Derrick Henry,36141894,RB/FLEX,7800,BAL@CIN 10/06/2024 01:00PM ET,BAL,24.88
36141841,36141902,36141914,36142146,36142160,36142174,36142510,36142210,36142723,,QB,Josh Allen (36141829),Josh Allen,36141829,QB,7700,BUF@HOU 10/06/2024 01:00PM ET,BUF,20.29
36141849,36141902,36141898,36142146,36142156,36142174,36142528,36141954,36142723,,WR,Nico Collins (36142126),Nico Collins,36142126,WR/FLEX,7700,BUF@HOU 10/06/2024 01:00PM ET,HOU,24.98
36141841,36141902,36141898,36142160,36142210,36142172,36142524,36141936,36142716,,RB,Jonathan Taylor (36141896),Jonathan Taylor,36141896,RB/FLEX,7700,IND@JAX 10/06/2024 01:00PM ET,IND,19.65
36141848,36141902,36141898,36142156,36142210,36142152,36142502,36141992,36142722,,WR,Tyreek Hill (36142128),Tyreek Hill,36142128,WR/FLEX,7600,MIA@NE 10/06/2024 01:00PM ET,MIA,12.7
36141832,36141902,36141898,36142146,36142160,36142194,36142522,36141992,36142731,,RB,Kyren Williams (36141898),Kyren Williams,36141898,RB/FLEX,7600,GB@LAR 10/06/2024 04:25PM ET,LAR,20.4
36141839,36141902,36141910,36142146,36142160,36142210,36142526,36141940,36142716,,QB,Lamar Jackson (36141830),Lamar Jackson,36141830,QB,7500,BAL@CIN 10/06/2024 01:00PM ET,BAL,24.28
36141829,36141902,36141954,36142146,36142174,36142196,36142506,36141992,36142722,,RB,Christian McCaffrey (36141900),Christian McCaffrey,36141900,RB/FLEX,7500,ARI@SF 10/06/2024 04:05PM ET,SF,0
36141834,36141902,36141914,36142146,36142156,36142210,36142524,36141936,36142725,,WR,Marvin Harrison Jr. (36142130),Marvin Harrison Jr.,36142130,WR/FLEX,7500,ARI@SF 10/06/2024 04:05PM ET,ARI,16.58
36141841,36141902,36141898,36142146,36142156,36142196,36142510,36141992,36142725,,RB,Jordan Mason (36141902),Jordan Mason,36141902,RB/FLEX,7400,ARI@SF 10/06/2024 04:05PM ET,SF,20.85
36141834,36141902,36141914,36142126,36142160,36142174,36142528,36141992,36142731,,WR,Malik Nabers (36142132),Malik Nabers,36142132,WR/FLEX,7300,NYG@SEA 10/06/2024 04:25PM ET,NYG,24.4
36141839,36141902,36141898,36142210,36142196,36142190,36142502,36141954,36142716,,QB,C.J. Stroud (36141831),C.J. Stroud,36141831,QB,7200,BUF@HOU 10/06/2024 01:00PM ET,HOU,17.82
36141829,36141902,36141898,36142160,36142210,36142264,36142506,36141954,36142723,,RB,De'Von Achane (36141904),De'Von Achane,36141904,RB/FLEX,7200,MIA@NE 10/06/2024 01:00PM ET,MIA,16.8
,,,,,,,,,,WR,Davante Adams (36142134),Davante Adams,36142134,WR/FLEX,7100,LV@DEN 10/06/2024 04:05PM ET,LV,15.97
,,,,,,,,,,RB,James Cook (36141906),James Cook,36141906,RB/FLEX,7000,BUF@HOU 10/06/2024 01:00PM ET,BUF,16.58
,,,,,,,,,,WR,DK Metcalf (36142136),DK Metcalf,36142136,WR/FLEX,7000,NYG@SEA 10/06/2024 04:25PM ET,SEA,20.15
,,,,,,,,,,RB,Joe Mixon (36141908),Joe Mixon,36141908,RB/FLEX,6900,BUF@HOU 10/06/2024 01:00PM ET,HOU,18.9
,,,,,,,,,,WR,Stefon Diggs (36142138),Stefon Diggs,36142138,WR/FLEX,6900,BUF@HOU 10/06/2024 01:00PM ET,HOU,17
,,,,,,,,,,QB,Jayden Daniels (36141832),Jayden Daniels,36141832,QB,6800,CLE@WAS 10/06/2024 01:00PM ET,WAS,23.67
,,,,,,,,,,WR,Deebo Samuel Sr. (36142140),Deebo Samuel Sr.,36142140,WR/FLEX,6800,ARI@SF 10/06/2024 04:05PM ET,SF,16.63
,,,,,,,,,,RB,Kenneth Walker III (36141910),Kenneth Walker III,36141910,RB/FLEX,6800,NYG@SEA 10/06/2024 04:25PM ET,SEA,27.75
,,,,,,,,,,RB,Travis Etienne Jr. (36141912),Travis Etienne Jr.,36141912,RB/FLEX,6700,IND@JAX 10/06/2024 01:00PM ET,JAX,11.8
,,,,,,,,,,QB,Kyler Murray (36141833),Kyler Murray,36141833,QB,6700,ARI@SF 10/06/2024 04:05PM ET,ARI,17.37
,,,,,,,,,,WR,Puka Nacua (36142142),Puka Nacua,36142142,WR/FLEX,6700,GB@LAR 10/06/2024 04:25PM ET,LAR,8.2
,,,,,,,,,,WR,DJ Moore (36142144),DJ Moore,36142144,WR/FLEX,6600,CAR@CHI 10/06/2024 01:00PM ET,CHI,11.92
,,,,,,,,,,RB,Brian Robinson Jr. (36141914),Brian Robinson Jr.,36141914,RB/FLEX,6600,CLE@WAS 10/06/2024 01:00PM ET,WAS,17.38
,,,,,,,,,,RB,James Conner (36141916),James Conner,36141916,RB/FLEX,6500,ARI@SF 10/06/2024 04:05PM ET,ARI,16.62
,,,,,,,,,,QB,Jordan Love (36141834),Jordan Love,36141834,QB,6500,GB@LAR 10/06/2024 04:25PM ET,GB,25.78
,,,,,,,,,,WR,Jayden Reed (36142146),Jayden Reed,36142146,WR/FLEX,6500,GB@LAR 10/06/2024 04:25PM ET,GB,20.92
,,,,,,,,,,QB,Joe Burrow (36141835),Joe Burrow,36141835,QB,6400,BAL@CIN 10/06/2024 01:00PM ET,CIN,17.98
,,,,,,,,,,WR,Zay Flowers (36142148),Zay Flowers,36142148,WR/FLEX,6400,BAL@CIN 10/06/2024 01:00PM ET,BAL,10.12
,,,,,,,,,,RB,Josh Jacobs (36141920),Josh Jacobs,36141920,RB/FLEX,6400,GB@LAR 10/06/2024 04:25PM ET,GB,11.78
,,,,,,,,,,RB,Zach Charbonnet (36141918),Zach Charbonnet,36141918,RB/FLEX,6400,NYG@SEA 10/06/2024 04:25PM ET,SEA,16.52
,,,,,,,,,,QB,Tua Tagovailoa (36141836),Tua Tagovailoa,36141836,QB,6300,MIA@NE 10/06/2024 01:00PM ET,MIA,15.06
,,,,,,,,,,WR,Brandon Aiyuk (36142150),Brandon Aiyuk,36142150,WR/FLEX,6300,ARI@SF 10/06/2024 04:05PM ET,SF,7.42
,,,,,,,,,,RB,Devin Singletary (36141922),Devin Singletary,36141922,RB/FLEX,6300,NYG@SEA 10/06/2024 04:25PM ET,NYG,12.32
,,,,,,,,,,RB,Raheem Mostert (36141924),Raheem Mostert,36141924,RB/FLEX,6200,MIA@NE 10/06/2024 01:00PM ET,MIA,3.9
,,,,,,,,,,WR,Amari Cooper (36142152),Amari Cooper,36142152,WR/FLEX,6200,CLE@WAS 10/06/2024 01:00PM ET,CLE,10.7
,,,,,,,,,,QB,Brock Purdy (36141837),Brock Purdy,36141837,QB,6200,ARI@SF 10/06/2024 04:05PM ET,SF,17.92
,,,,,,,,,,RB,Chuba Hubbard (36141926),Chuba Hubbard,36141926,RB/FLEX,6100,CAR@CHI 10/06/2024 01:00PM ET,CAR,17.25
,,,,,,,,,,WR,Diontae Johnson (36142156),Diontae Johnson,36142156,WR/FLEX,6100,CAR@CHI 10/06/2024 01:00PM ET,CAR,14.72
,,,,,,,,,,WR,Terry McLaurin (36142154),Terry McLaurin,36142154,WR/FLEX,6100,CLE@WAS 10/06/2024 01:00PM ET,WAS,13.28
,,,,,,,,,,RB,Zack Moss (36141930),Zack Moss,36141930,RB/FLEX,6000,BAL@CIN 10/06/2024 01:00PM ET,CIN,14.58
,,,,,,,,,,WR,Tee Higgins (36142158),Tee Higgins,36142158,WR/FLEX,6000,BAL@CIN 10/06/2024 01:00PM ET,CIN,9.45
,,,,,,,,,,QB,Anthony Richardson (36141838),Anthony Richardson,36141838,QB,6000,IND@JAX 10/06/2024 01:00PM ET,IND,13.06
,,,,,,,,,,WR,Michael Pittman Jr. (36142160),Michael Pittman Jr.,36142160,WR/FLEX,6000,IND@JAX 10/06/2024 01:00PM ET,IND,10.02
,,,,,,,,,,RB,Rhamondre Stevenson (36141928),Rhamondre Stevenson,36141928,RB/FLEX,6000,MIA@NE 10/06/2024 01:00PM ET,NE,13.02
,,,,,,,,,,WR,Khalil Shakir (36142162),Khalil Shakir,36142162,WR/FLEX,5900,BUF@HOU 10/06/2024 01:00PM ET,BUF,13.3
,,,,,,,,,,RB,Tank Bigsby (36141932),Tank Bigsby,36141932,RB/FLEX,5900,IND@JAX 10/06/2024 01:00PM ET,JAX,4.3
,,,,,,,,,,WR,Brian Thomas Jr. (36142164),Brian Thomas Jr.,36142164,WR/FLEX,5900,IND@JAX 10/06/2024 01:00PM ET,JAX,14.45
,,,,,,,,,,TE,Trey McBride (36142500),Trey McBride,36142500,TE/FLEX,5900,ARI@SF 10/06/2024 04:05PM ET,ARI,10.73
,,,,,,,,,,QB,Geno Smith (36141839),Geno Smith,36141839,QB,5900,NYG@SEA 10/06/2024 04:25PM ET,SEA,19.67
,,,,,,,,,,QB,Caleb Williams (36141840),Caleb Williams,36141840,QB,5800,CAR@CHI 10/06/2024 01:00PM ET,CHI,12.84
,,,,,,,,,,WR,Keenan Allen (36142166),Keenan Allen,36142166,WR/FLEX,5800,CAR@CHI 10/06/2024 01:00PM ET,CHI,5.9
,,,,,,,,,,RB,Nick Chubb (36141934),Nick Chubb,36141934,RB/FLEX,5800,CLE@WAS 10/06/2024 01:00PM ET,CLE,0
,,,,,,,,,,RB,Jerome Ford (36141936),Jerome Ford,36141936,RB/FLEX,5800,CLE@WAS 10/06/2024 01:00PM ET,CLE,12.95
,,,,,,,,,,WR,Jaxon Smith-Njigba (36142168),Jaxon Smith-Njigba,36142168,WR/FLEX,5800,NYG@SEA 10/06/2024 04:25PM ET,SEA,12.65
,,,,,,,,,,RB,D'Andre Swift (36141940),D'Andre Swift,36141940,RB/FLEX,5700,CAR@CHI 10/06/2024 01:00PM ET,CHI,12.22
,,,,,,,,,,QB,Trevor Lawrence (36141841),Trevor Lawrence,36141841,QB,5700,IND@JAX 10/06/2024 01:00PM ET,JAX,12.44
,,,,,,,,,,RB,Trey Sermon (36141938),Trey Sermon,36141938,RB/FLEX,5700,IND@JAX 10/06/2024 01:00PM ET,IND,2.52
,,,,,,,,,,WR,Christian Kirk (36142172),Christian Kirk,36142172,WR/FLEX,5700,IND@JAX 10/06/2024 01:00PM ET,JAX,9.98
,,,,,,,,,,WR,Jaylen Waddle (36142170),Jaylen Waddle,36142170,WR/FLEX,5700,MIA@NE 10/06/2024 01:00PM ET,MIA,10.48
,,,,,,,,,,RB,Chase Brown (36141944),Chase Brown,36141944,RB/FLEX,5600,BAL@CIN 10/06/2024 01:00PM ET,CIN,10.12
,,,,,,,,,,QB,Tyler Huntley (36141842),Tyler Huntley,36141842,QB,5600,MIA@NE 10/06/2024 01:00PM ET,MIA,12.84
,,,,,,,,,,RB,Austin Ekeler (36141942),Austin Ekeler,36141942,RB/FLEX,5600,CLE@WAS 10/06/2024 01:00PM ET,WAS,11.8
,,,,,,,,,,WR,Jauan Jennings (36142176),Jauan Jennings,36142176,WR/FLEX,5600,ARI@SF 10/06/2024 04:05PM ET,SF,19.6
,,,,,,,,,,TE,George Kittle (36142502),George Kittle,36142502,TE/FLEX,5600,ARI@SF 10/06/2024 04:05PM ET,SF,14.37
,,,,,,,,,,WR,Wan'Dale Robinson (36142174),Wan'Dale Robinson,36142174,WR/FLEX,5600,NYG@SEA 10/06/2024 04:25PM ET,NYG,13.2
,,,,,,,,,,RB,Cam Akers (36141946),Cam Akers,36141946,RB/FLEX,5500,BUF@HOU 10/06/2024 01:00PM ET,HOU,6.23
,,,,,,,,,,QB,Joe Flacco (36141844),Joe Flacco,36141844,QB,5500,IND@JAX 10/06/2024 01:00PM ET,IND,15.02
,,,,,,,,,,WR,Jakobi Meyers (36142178),Jakobi Meyers,36142178,WR/FLEX,5500,LV@DEN 10/06/2024 04:05PM ET,LV,11.85
,,,,,,,,,,WR,Courtland Sutton (36142180),Courtland Sutton,36142180,WR/FLEX,5500,LV@DEN 10/06/2024 04:05PM ET,DEN,10.05
,,,,,,,,,,TE,Brock Bowers (36142504),Brock Bowers,36142504,TE/FLEX,5500,LV@DEN 10/06/2024 04:05PM ET,LV,10.7
,,,,,,,,,,QB,Matthew Stafford (36141843),Matthew Stafford,36141843,QB,5500,GB@LAR 10/06/2024 04:25PM ET,LAR,11.5
,,,,,,,,,,QB,Andy Dalton (36141846),Andy Dalton,36141846,QB,5400,CAR@CHI 10/06/2024 01:00PM ET,CAR,14.75
,,,,,,,,,,WR,Tank Dell (36142184),Tank Dell,36142184,WR/FLEX,5400,BUF@HOU 10/06/2024 01:00PM ET,HOU,7.47
,,,,,,,,,,RB,Tyler Goodson (36141948),Tyler Goodson,36141948,RB/FLEX,5400,IND@JAX 10/06/2024 01:00PM ET,IND,0.4
,,,,,,,,,,WR,Romeo Doubs (36142182),Romeo Doubs,36142182,WR/FLEX,5400,GB@LAR 10/06/2024 04:25PM ET,GB,7.22
,,,,,,,,,,QB,Sam Howell (36141845),Sam Howell,36141845,QB,5400,NYG@SEA 10/06/2024 04:25PM ET,SEA,0
,,,,,,,,,,WR,Rome Odunze (36142186),Rome Odunze,36142186,WR/FLEX,5300,CAR@CHI 10/06/2024 01:00PM ET,CHI,8.95
,,,,,,,,,,RB,Justice Hill (36141952),Justice Hill,36141952,RB/FLEX,5300,BAL@CIN 10/06/2024 01:00PM ET,BAL,11.42
,,,,,,,,,,TE,Dalton Kincaid (36142506),Dalton Kincaid,36142506,TE/FLEX,5300,BUF@HOU 10/06/2024 01:00PM ET,BUF,8.05
,,,,,,,,,,RB,Jeff Wilson Jr. (36141950),Jeff Wilson Jr.,36141950,RB/FLEX,5300,MIA@NE 10/06/2024 01:00PM ET,MIA,1.8
,,,,,,,,,,QB,Deshaun Watson (36141848),Deshaun Watson,36141848,QB,5300,CLE@WAS 10/06/2024 01:00PM ET,CLE,14.94
,,,,,,,,,,QB,Malik Willis (36141847),Malik Willis,36141847,QB,5300,GB@LAR 10/06/2024 04:25PM ET,GB,12.79
,,,,,,,,,,QB,Mac Jones (36141850),Mac Jones,36141850,QB,5200,IND@JAX 10/06/2024 01:00PM ET,JAX,-0.12
,,,,,,,,,,WR,Jerry Jeudy (36142188),Jerry Jeudy,36142188,WR/FLEX,5200,CLE@WAS 10/06/2024 01:00PM ET,CLE,11.42
,,,,,,,,,,RB,Javonte Williams (36141954),Javonte Williams,36141954,RB/FLEX,5200,LV@DEN 10/06/2024 04:05PM ET,DEN,7.98
,,,,,,,,,,RB,Alexander Mattison (36141956),Alexander Mattison,36141956,RB/FLEX,5200,LV@DEN 10/06/2024 04:05PM ET,LV,10.42
,,,,,,,,,,QB,Daniel Jones (36141849),Daniel Jones,36141849,QB,5200,NYG@SEA 10/06/2024 04:25PM ET,NYG,13.81
,,,,,,,,,,WR,Tyler Lockett (36142190),Tyler Lockett,36142190,WR/FLEX,5200,NYG@SEA 10/06/2024 04:25PM ET,SEA,9.48
,,,,,,,,,,WR,Xavier Legette (36142192),Xavier Legette,36142192,WR/FLEX,5100,CAR@CHI 10/06/2024 01:00PM ET,CAR,8.32
,,,,,,,,,,WR,Josh Downs (36142194),Josh Downs,36142194,WR/FLEX,5100,IND@JAX 10/06/2024 01:00PM ET,IND,13.7
,,,,,,,,,,RB,Antonio Gibson (36141958),Antonio Gibson,36141958,RB/FLEX,5100,MIA@NE 10/06/2024 01:00PM ET,NE,7.68
,,,,,,,,,,QB,Aidan O'Connell (36141851),Aidan O'Connell,36141851,QB,5100,LV@DEN 10/06/2024 04:05PM ET,LV,7.28
,,,,,,,,,,QB,Gardner Minshew II (36141852),Gardner Minshew II,36141852,QB,5100,LV@DEN 10/06/2024 04:05PM ET,LV,11.67
,,,,,,,,,,RB,Zamir White (36141960),Zamir White,36141960,RB/FLEX,5100,LV@DEN 10/06/2024 04:05PM ET,LV,4.95
,,,,,,,,,,RB,Jonathon Brooks (36141964),Jonathon Brooks,36141964,RB/FLEX,5000,CAR@CHI 10/06/2024 01:00PM ET,CAR,0
,,,,,,,,,,WR,Adam Thielen (36142198),Adam Thielen,36142198,WR/FLEX,5000,CAR@CHI 10/06/2024 01:00PM ET,CAR,8.3
,,,,,,,,,,RB,Dameon Pierce (36141962),Dameon Pierce,36141962,RB/FLEX,5000,BUF@HOU 10/06/2024 01:00PM ET,HOU,1.6
,,,,,,,,,,QB,Drake Maye (36141855),Drake Maye,36141855,QB,5000,MIA@NE 10/06/2024 01:00PM ET,NE,2.08
,,,,,,,,,,QB,Jameis Winston (36141853),Jameis Winston,36141853,QB,5000,CLE@WAS 10/06/2024 01:00PM ET,CLE,0.25
,,,,,,,,,,TE,David Njoku (36142508),David Njoku,36142508,TE/FLEX,5000,CLE@WAS 10/06/2024 01:00PM ET,CLE,8.4
,,,,,,,,,,QB,Bo Nix (36141854),Bo Nix,36141854,QB,5000,LV@DEN 10/06/2024 04:05PM ET,DEN,12.35
,,,,,,,,,,WR,Dontayvion Wicks (36142196),Dontayvion Wicks,36142196,WR/FLEX,5000,GB@LAR 10/06/2024 04:25PM ET,GB,9.1
,,,,,,,,,,QB,Bryce Young (36141858),Bryce Young,36141858,QB,4900,CAR@CHI 10/06/2024 01:00PM ET,CAR,7.3
