C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16268704,16268716,16269136,16269166,16269284,16269986,16269888,16270461,16268766,,1. Locate the player you want to select in the list below ,,,,,,,,
16268716,16268766,16269136,16269186,16269284,16269844,16269850,16270461,16269450,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16268716,16268752,16269136,16269166,16269284,16269850,16269904,16270461,16269278,,3. Paste the ID into the roster position desired ,,,,,,,,
16268698,16268766,16269136,16269122,16269338,16269844,16269986,16270461,16269450,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16268698,16268716,16269136,16269166,16269284,16269862,16269986,16270494,16269450,,5. You can create up to 500 lineups per file ,,,,,,,,
16268698,16268716,16269166,16269284,16269338,16269844,16269986,16270461,16268756,,,,,,,,,,
16268716,16268714,16269136,16269284,16269242,16269844,16269986,16270461,16269244,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16268700,16268766,16269136,16269124,16269268,16269850,16269986,16270461,16269450,,C,Nathan MacKinnon (16268696),Nathan MacKinnon,16268696,C/UTIL,8500,COL@MIN 01/30/2021 08:00PM ET,COL,16.24
16268716,16268738,16269136,16269166,16269284,16269858,16269908,16270461,16269268,,G,Jordan Binnington (16270460),Jordan Binnington,16270460,G,8400,STL@ANH 01/30/2021 09:00PM ET,STL,15.6
16268716,16268766,16269136,16269166,16269284,16269844,16269848,16270494,16269338,,C,Connor McDavid (16268698),Connor McDavid,16268698,C/UTIL,8400,TOR@EDM 01/30/2021 07:00PM ET,EDM,18.47
16268704,16268752,16269136,16269184,16269278,16269850,16269986,16270461,16268766,,G,Andrei Vasilevskiy (16270461),Andrei Vasilevskiy,16270461,G,8300,NSH@TB 01/30/2021 07:00PM ET,TB,16.78
16268716,16268738,16269166,16269206,16269284,16269844,16269850,16270461,16269342,,G,Sergei Bobrovsky (16270463),Sergei Bobrovsky,16270463,G,8200,FLA@DET 01/30/2021 07:00PM ET,FLA,11.6
16268698,16268766,16269136,16269166,16269284,16269858,16269904,16270461,16269450,,G,Chris Driedger (16270483),Chris Driedger,16270483,G,8200,FLA@DET 01/30/2021 07:00PM ET,FLA,16.95
16268700,16268716,16269166,16269284,16269226,16269850,16269986,16270461,16269210,,G,Philipp Grubauer (16270462),Philipp Grubauer,16270462,G,8200,COL@MIN 01/30/2021 08:00PM ET,COL,16.87
16268716,16268710,16269136,16269134,16269450,16269986,16269904,16270461,16268766,,G,Ville Husso (16270482),Ville Husso,16270482,G,8200,STL@ANH 01/30/2021 09:00PM ET,STL,-2.1
16268704,16268716,16269284,16269176,16269332,16269850,16269986,16270461,16268724,,C,Auston Matthews (16268700),Auston Matthews,16268700,C/UTIL,8200,TOR@EDM 01/30/2021 07:00PM ET,TOR,17.39
16268716,16268756,16269136,16269284,16269338,16269850,16269858,16270461,16269218,,G,Anton Khudobin (16270465),Anton Khudobin,16270465,G,8100,DAL@CAR 01/30/2021 07:00PM ET,DAL,21.6
