Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Andrei Vasilevskiy,8300,TB,G,NSH,23.65,,
Alexandar Georgiev,7600,NYR,G,PIT,20.02,,
Artemi Panarin,6500,NYR,LW,PIT,16.67,2,1
Anton Khudobin,8100,DAL,G,CAR,16.22,,
Jordan Binnington,8400,STL,G,ANH,16.21,,
Connor Hellebuyck,8000,WPG,G,VAN,16.08,,
Kaapo Kahkonen,6800,MIN,G,COL,16.07,,
Connor McDavid,8400,EDM,C,TOR,16.05,1,1
Auston Matthews,8200,TOR,C,EDM,15.70,1,1
Frederik Andersen,7700,TOR,G,EDM,15.70,,
Semyon Varlamov,7800,NYI,G,PHI,15.52,,
Leon Draisaitl,7500,EDM,C,TOR,15.52,2,1
Vitek Vanecek,7800,WAS,G,BOS,15.34,,
Mikko Koskinen,7600,EDM,G,TOR,14.93,,
Jacob Markstrom,7200,CGY,G,MON,14.91,,
Nathan MacKinnon,8500,COL,C,MIN,14.91,1,1
Mika Zibanejad,6800,NYR,C,PIT,14.83,1,1
Steven Stamkos,8100,TB,RW,NSH,14.52,1,1
Tuukka Rask,7500,BOS,G,WAS,14.10,,
Petr Mrazek,7800,CAR,G,DAL,14.02,,
Thomas Greiss,7700,DET,G,FLA,13.86,,
Philipp Grubauer,8200,COL,G,MIN,13.67,,
Sergei Bobrovsky,8200,FLA,G,DET,13.65,,
John Gibson,6900,ANH,G,STL,13.56,,
David Pastrnak,7800,BOS,RW,WAS,13.56,1,1
Victor Hedman,7000,TB,D,NSH,13.41,x,1
Adam Fox,6400,NYR,D,PIT,13.39,x,1
Casey DeSmith,7300,PIT,G,NYR,13.23,,
Jake Allen,8100,MON,G,CGY,13.22,,
Thatcher Demko,7400,VAN,G,WPG,13.21,,
Ryan McDonagh,3100,TB,D,NSH,13.02,x,
Alex Ovechkin,8000,WAS,LW,BOS,12.83,2,1
Sidney Crosby,7100,PIT,C,NYR,12.74,1,1
Sebastian Aho,6700,CAR,C,DAL,12.74,1,1
Mitch Marner,7200,TOR,RW,EDM,12.61,1,1
