PG,SG,SF,PF,C,G,F,UTIL
Kemba Walker,Denzel Valentine,Kenrich Williams,Domantas Sabonis,Nikola Vucevic,Darius Garland,Jimmy Butler,Naz Reid
Kemba Walker,Denzel Valentine,Kenrich Williams,Taurean Prince,Nikola Vucevic,D'Angelo Russell,Kevin Durant,Deandre Ayton
Kemba Walker,Denzel Valentine,Kenrich Williams,Taurean Prince,Nikola Vucevic,Russell Westbrook,Jimmy Butler,Myles Turner
Kemba Walker,Fred VanVleet,Kenrich Williams,Taurean Prince,Nikola Vucevic,Malcolm Brogdon,Patrick Williams,Deandre Ayton
Kemba Walker,Denzel Valentine,Kenrich Williams,Domantas Sabonis,Nikola Vucevic,Fred VanVleet,Taurean Prince,Deandre Ayton
Kemba Walker,Denzel Valentine,Kenrich Williams,Taurean Prince,Nikola Vucevic,Malcolm Brogdon,Jimmy Butler,Deandre Ayton
Kemba Walker,D'Angelo Russell,Kenrich Williams,Taurean Prince,Nikola Vucevic,Russell Westbrook,Patrick Williams,Deandre Ayton
Kemba Walker,Hamidou Diallo,Patrick Williams,Kevin Durant,Nikola Vucevic,Jeremy Lamb,Deni Avdija,Deandre Ayton
Kemba Walker,Fred VanVleet,Patrick Williams,Deni Avdija,Nikola Vucevic,Donovan Mitchell,Hamidou Diallo,Myles Turner
Kemba Walker,Hamidou Diallo,Jimmy Butler,Domantas Sabonis,Nikola Vucevic,Darius Garland,Deni Avdija,Isaiah Stewart
Kemba Walker,Fred VanVleet,Khris Middleton,Jaden McDaniels,Nikola Vucevic,Hamidou Diallo,Patrick Williams,Deandre Ayton
Kemba Walker,Coby White,Deni Avdija,Pascal Siakam,Nikola Vucevic,Hamidou Diallo,Jeremy Lamb,Deandre Ayton
Kemba Walker,Denzel Valentine,Deni Avdija,Domantas Sabonis,Nikola Vucevic,Goran Dragic,Hamidou Diallo,Andre Drummond
Kemba Walker,Denzel Valentine,Kevin Durant,Deni Avdija,Nikola Vucevic,Darius Garland,Hamidou Diallo,Deandre Ayton
Kemba Walker,Denzel Valentine,Khris Middleton,Pascal Siakam,Nikola Vucevic,Hamidou Diallo,Deni Avdija,Deandre Ayton
Kemba Walker,Collin Sexton,Patrick Williams,Jaden McDaniels,Nikola Vucevic,Hamidou Diallo,Domantas Sabonis,Deandre Ayton
Kemba Walker,Malik Beasley,Taurean Prince,Deni Avdija,Nikola Vucevic,Fred VanVleet,Hamidou Diallo,Deandre Ayton
Kemba Walker,Denzel Valentine,Deni Avdija,Gordon Hayward,Nikola Vucevic,Fred VanVleet,Hamidou Diallo,Deandre Ayton
Kemba Walker,Denzel Valentine,Josh Okogie,Domantas Sabonis,Nikola Vucevic,Hamidou Diallo,Gordon Hayward,Deandre Ayton
Kemba Walker,Coby White,Deni Avdija,Domantas Sabonis,Nikola Vucevic,Darius Garland,Hamidou Diallo,Naz Reid
