Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_
Harrison Bader,4000,STL,OF,PHI,6.07,1.5175,8 
Marcell Ozuna,4900,STL,OF,PHI,6.89,1.406122449,4 
Andrew McCutchen,4800,PHI,OF,STL,8.96,1.866666667,1 
Jean Segura,4800,PHI,SS,STL,8.72,1.816666667,2 
J.T. Realmuto,4600,PHI,C,STL,7,1.52173913,5 
Rhys Hoskins,4900,PHI,1B,STL,8.45,1.724489796,4 
Paul DeJong,4600,STL,SS,PHI,8.27,1.797826087,3 
Paul Goldschmidt,4100,STL,1B,PHI,7.95,1.93902439,2 
Dwight Smith Jr.,4700,BAL,OF,DET,5.77,1.227659574,5 
Christin Stewart,3700,DET,OF,BAL,6.85,1.851351351,2 
Dexter Fowler,3700,STL,OF,PHI,7.12,1.924324324,1 
Matt Carpenter,4200,STL,1B/3B,PHI,8.3,1.976190476,5 
Bryce Harper,4500,PHI,OF,STL,8.22,1.826666667,3 
