RG,DK
Kelly Oubre,Kelly Oubre Jr.
J.J. Redick,JJ Redick
P.J. Dozier,PJ Dozier
Cam Johnson,Cameron Johnson
Lu Dort,Luguentz Dort
Timothe Luwawu-Cabarrot,Timothé Luwawu-Cabarrot
