CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16188821,16188835,16188834,16188825,16188824,16188847,,1. Locate the player you want to select in the list below ,,,,,,,,
16188824,16188821,16188835,16188834,16188823,16188847,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16188825,16188821,16188835,16188834,16188824,16188847,,3. Paste the ID into the roster position desired ,,,,,,,,
16188823,16188821,16188835,16188834,16188825,16188847,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16188821,16188822,16188835,16188825,16188836,16188847,,5. You can create up to 500 lineups per file ,,,,,,,,
16188822,16188835,16188834,16188825,16188823,16188847,,,,,,,,,,
16188821,16188835,16188834,16188824,16188823,16188855,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16188822,16188835,16188834,16188825,16188824,16188846,,QB,Patrick Mahomes (16188821),Patrick Mahomes,16188821,CPT,17100,BUF@KC 01/24/2021 06:40PM ET,KC,26.94
16188822,16188821,16188835,16188825,16188836,16188847,,QB,Josh Allen (16188822),Josh Allen,16188822,CPT,16800,BUF@KC 01/24/2021 06:40PM ET,BUF,26.89
16188847,16188821,16188835,16188825,16188824,16188823,,TE,Travis Kelce (16188823),Travis Kelce,16188823,CPT,16500,BUF@KC 01/24/2021 06:40PM ET,KC,22.48
16188822,16188821,16188835,16188824,16188836,16188846,,WR,Tyreek Hill (16188824),Tyreek Hill,16188824,CPT,16200,BUF@KC 01/24/2021 06:40PM ET,KC,22.55
16188821,16188835,16188834,16188825,16188823,16188856,,WR,Stefon Diggs (16188825),Stefon Diggs,16188825,CPT,15900,BUF@KC 01/24/2021 06:40PM ET,BUF,22.5
16188834,16188821,16188835,16188824,16188823,16188845,,QB,Chad Henne (16188826),Chad Henne,16188826,CPT,13800,BUF@KC 01/24/2021 06:40PM ET,KC,6.64
16188824,16188822,16188835,16188834,16188825,16188847,,QB,Patrick Mahomes (16188773),Patrick Mahomes,16188773,FLEX,11400,BUF@KC 01/24/2021 06:40PM ET,KC,26.94
16188835,16188821,16188834,16188824,16188823,16188845,,WR,John Brown (16188827),John Brown,16188827,CPT,11400,BUF@KC 01/24/2021 06:40PM ET,BUF,10.09
16188821,16188834,16188825,16188823,16188836,16188847,,QB,Josh Allen (16188774),Josh Allen,16188774,FLEX,11200,BUF@KC 01/24/2021 06:40PM ET,BUF,26.89
16188821,16188822,16188835,16188824,16188837,16188847,,TE,Travis Kelce (16188775),Travis Kelce,16188775,FLEX,11000,BUF@KC 01/24/2021 06:40PM ET,KC,22.48
16188825,16188822,16188835,16188834,16188823,16188847,,WR,Tyreek Hill (16188776),Tyreek Hill,16188776,FLEX,10800,BUF@KC 01/24/2021 06:40PM ET,KC,22.55
16188835,16188822,16188821,16188824,16188827,16188847,,RB,Clyde Edwards-Helaire (16188828),Clyde Edwards-Helaire,16188828,CPT,10800,BUF@KC 01/24/2021 06:40PM ET,KC,14
16188821,16188822,16188835,16188824,16188845,16188846,,WR,Stefon Diggs (16188777),Stefon Diggs,16188777,FLEX,10600,BUF@KC 01/24/2021 06:40PM ET,BUF,22.5
,,,,,,,RB,Darrel Williams (16188829),Darrel Williams,16188829,CPT,10500,BUF@KC 01/24/2021 06:40PM ET,KC,4.85
,,,,,,,QB,Chad Henne (16188778),Chad Henne,16188778,FLEX,9200,BUF@KC 01/24/2021 06:40PM ET,KC,6.64
,,,,,,,QB,Jordan Ta'amu (16188830),Jordan Ta'amu,16188830,CPT,9000,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,QB,Matt Barkley (16188831),Matt Barkley,16188831,CPT,9000,BUF@KC 01/24/2021 06:40PM ET,BUF,2.57
,,,,,,,QB,Jake Fromm (16188832),Jake Fromm,16188832,CPT,9000,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,QB,Matt Moore (16188833),Matt Moore,16188833,CPT,9000,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,RB,Devin Singletary (16188834),Devin Singletary,16188834,CPT,8400,BUF@KC 01/24/2021 06:40PM ET,BUF,8.82
,,,,,,,WR,John Brown (16188779),John Brown,16188779,FLEX,7600,BUF@KC 01/24/2021 06:40PM ET,BUF,10.09
,,,,,,,WR,Cole Beasley (16188835),Cole Beasley,16188835,CPT,7500,BUF@KC 01/24/2021 06:40PM ET,BUF,13.84
,,,,,,,RB,Clyde Edwards-Helaire (16188780),Clyde Edwards-Helaire,16188780,FLEX,7200,BUF@KC 01/24/2021 06:40PM ET,KC,14
,,,,,,,WR,Mecole Hardman (16188836),Mecole Hardman,16188836,CPT,7200,BUF@KC 01/24/2021 06:40PM ET,KC,8.25
,,,,,,,RB,Darrel Williams (16188781),Darrel Williams,16188781,FLEX,7000,BUF@KC 01/24/2021 06:40PM ET,KC,4.85
,,,,,,,TE,Dawson Knox (16188837),Dawson Knox,16188837,CPT,6600,BUF@KC 01/24/2021 06:40PM ET,BUF,6.24
,,,,,,,QB,Jordan Ta'amu (16188782),Jordan Ta'amu,16188782,FLEX,6000,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,QB,Matt Barkley (16188783),Matt Barkley,16188783,FLEX,6000,BUF@KC 01/24/2021 06:40PM ET,BUF,2.57
,,,,,,,QB,Jake Fromm (16188784),Jake Fromm,16188784,FLEX,6000,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,QB,Matt Moore (16188785),Matt Moore,16188785,FLEX,6000,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,RB,Le'Veon Bell (16188838),Le'Veon Bell,16188838,CPT,6000,BUF@KC 01/24/2021 06:40PM ET,KC,6.27
,,,,,,,WR,Sammy Watkins (16188839),Sammy Watkins,16188839,CPT,5700,BUF@KC 01/24/2021 06:40PM ET,KC,8.94
,,,,,,,RB,Devin Singletary (16188786),Devin Singletary,16188786,FLEX,5600,BUF@KC 01/24/2021 06:40PM ET,BUF,8.82
,,,,,,,K,Harrison Butker (16188840),Harrison Butker,16188840,CPT,5400,BUF@KC 01/24/2021 06:40PM ET,KC,8.59
,,,,,,,K,Tyler Bass (16188841),Tyler Bass,16188841,CPT,5100,BUF@KC 01/24/2021 06:40PM ET,BUF,9.67
,,,,,,,WR,Cole Beasley (16188787),Cole Beasley,16188787,FLEX,5000,BUF@KC 01/24/2021 06:40PM ET,BUF,13.84
,,,,,,,WR,Mecole Hardman (16188788),Mecole Hardman,16188788,FLEX,4800,BUF@KC 01/24/2021 06:40PM ET,KC,8.25
,,,,,,,WR,Gabriel Davis (16188842),Gabriel Davis,16188842,CPT,4800,BUF@KC 01/24/2021 06:40PM ET,BUF,8.47
,,,,,,,DST,Bills  (16188843),Bills ,16188843,CPT,4500,BUF@KC 01/24/2021 06:40PM ET,BUF,7.61
,,,,,,,TE,Dawson Knox (16188789),Dawson Knox,16188789,FLEX,4400,BUF@KC 01/24/2021 06:40PM ET,BUF,6.24
,,,,,,,DST,Chiefs  (16188844),Chiefs ,16188844,CPT,4200,BUF@KC 01/24/2021 06:40PM ET,KC,6.71
,,,,,,,RB,Le'Veon Bell (16188790),Le'Veon Bell,16188790,FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,KC,6.27
,,,,,,,WR,Sammy Watkins (16188791),Sammy Watkins,16188791,FLEX,3800,BUF@KC 01/24/2021 06:40PM ET,KC,8.94
,,,,,,,K,Harrison Butker (16188792),Harrison Butker,16188792,FLEX,3600,BUF@KC 01/24/2021 06:40PM ET,KC,8.59
,,,,,,,K,Tyler Bass (16188793),Tyler Bass,16188793,FLEX,3400,BUF@KC 01/24/2021 06:40PM ET,BUF,9.67
,,,,,,,WR,Gabriel Davis (16188794),Gabriel Davis,16188794,FLEX,3200,BUF@KC 01/24/2021 06:40PM ET,BUF,8.47
,,,,,,,DST,Bills  (16188795),Bills ,16188795,FLEX,3000,BUF@KC 01/24/2021 06:40PM ET,BUF,7.61
,,,,,,,DST,Chiefs  (16188796),Chiefs ,16188796,FLEX,2800,BUF@KC 01/24/2021 06:40PM ET,KC,6.71
,,,,,,,WR,Demarcus Robinson (16188845),Demarcus Robinson,16188845,CPT,2700,BUF@KC 01/24/2021 06:40PM ET,KC,6.94
,,,,,,,WR,Demarcus Robinson (16188797),Demarcus Robinson,16188797,FLEX,1800,BUF@KC 01/24/2021 06:40PM ET,KC,6.94
,,,,,,,WR,Isaiah McKenzie (16188846),Isaiah McKenzie,16188846,CPT,1800,BUF@KC 01/24/2021 06:40PM ET,BUF,6.4
,,,,,,,WR,Isaiah McKenzie (16188798),Isaiah McKenzie,16188798,FLEX,1200,BUF@KC 01/24/2021 06:40PM ET,BUF,6.4
,,,,,,,WR,Byron Pringle (16188847),Byron Pringle,16188847,CPT,1200,BUF@KC 01/24/2021 06:40PM ET,KC,4.93
,,,,,,,RB,T.J. Yeldon (16188848),T.J. Yeldon,16188848,CPT,900,BUF@KC 01/24/2021 06:40PM ET,BUF,4.15
,,,,,,,WR,Byron Pringle (16188799),Byron Pringle,16188799,FLEX,800,BUF@KC 01/24/2021 06:40PM ET,KC,4.93
,,,,,,,RB,T.J. Yeldon (16188800),T.J. Yeldon,16188800,FLEX,600,BUF@KC 01/24/2021 06:40PM ET,BUF,4.15
,,,,,,,RB,Darwin Thompson (16188849),Darwin Thompson,16188849,CPT,600,BUF@KC 01/24/2021 06:40PM ET,KC,6.84
,,,,,,,RB,Darwin Thompson (16188801),Darwin Thompson,16188801,FLEX,400,BUF@KC 01/24/2021 06:40PM ET,KC,6.84
,,,,,,,RB,Anthony Sherman (16188850),Anthony Sherman,16188850,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,1.38
,,,,,,,RB,Taiwan Jones (16188851),Taiwan Jones,16188851,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,0
