PG,SG,SF,PF,C,G,F,UTIL
D.J. Augustin,Eric Bledsoe,Khris Middleton,Julius Randle,Rudy Gobert,Lonzo Ball,LeBron James,Derrick Favors
Stephen Curry,Alex Caruso,Khris Middleton,Draymond Green,Rudy Gobert,LeBron James,Bobby Portis,Derrick Favors
Jrue Holiday,Andrew Wiggins,Pat Connaughton,Anthony Davis,Rudy Gobert,LeBron James,J.J. Redick,James Wiseman
Jrue Holiday,Nickeil Alexander-Walker,LeBron James,Anthony Davis,Rudy Gobert,D.J. Augustin,Andrew Wiggins,Derrick Favors
Jrue Holiday,Eric Bledsoe,Royce O'Neale,Anthony Davis,Rudy Gobert,D.J. Augustin,LeBron James,James Wiseman
Jrue Holiday,Nickeil Alexander-Walker,Khris Middleton,Draymond Green,Rudy Gobert,Lonzo Ball,LeBron James,Derrick Favors
Mike Conley,Donte DiVincenzo,Khris Middleton,Draymond Green,Rudy Gobert,Lonzo Ball,LeBron James,Marc Gasol
Jrue Holiday,Kentavious Caldwell-Pope,Khris Middleton,Julius Randle,Rudy Gobert,LeBron James,J.J. Redick,Derrick Favors
Brad Wanamaker,Andrew Wiggins,Khris Middleton,Julius Randle,Rudy Gobert,LeBron James,Bobby Portis,Marc Gasol
D.J. Augustin,Nickeil Alexander-Walker,Khris Middleton,Julius Randle,Rudy Gobert,LeBron James,Kelly Oubre,Marc Gasol
Jrue Holiday,Dennis Schroder,LeBron James,Julius Randle,Rudy Gobert,D.J. Augustin,Draymond Green,Derrick Favors
Jrue Holiday,Kentavious Caldwell-Pope,Pat Connaughton,Julius Randle,Rudy Gobert,Mike Conley,LeBron James,James Wiseman
Mike Conley,Kentavious Caldwell-Pope,Khris Middleton,Draymond Green,Rudy Gobert,Elfrid Payton,LeBron James,James Wiseman
Jrue Holiday,Andrew Wiggins,LeBron James,Julius Randle,Rudy Gobert,Reggie Bullock,Bobby Portis,Derrick Favors
Jrue Holiday,Alex Caruso,LeBron James,Julius Randle,Rudy Gobert,Brad Wanamaker,Andrew Wiggins,Steven Adams
Jrue Holiday,Andrew Wiggins,Khris Middleton,Royce O'Neale,Rudy Gobert,Brad Wanamaker,LeBron James,Montrezl Harrell
Mike Conley,Alex Caruso,Pat Connaughton,Giannis Antetokounmpo,Rudy Gobert,LeBron James,Draymond Green,James Wiseman
Jrue Holiday,Andrew Wiggins,Khris Middleton,Kelly Oubre,Rudy Gobert,Immanuel Quickley,LeBron James,Derrick Favors
Mike Conley,Joe Ingles,Khris Middleton,Julius Randle,James Wiseman,Lonzo Ball,LeBron James,Marc Gasol
Jrue Holiday,Alex Caruso,Brandon Ingram,Bobby Portis,Rudy Gobert,Mike Conley,LeBron James,James Wiseman
