Minimum Place,Payout
1,750
2,500
3,300
4,200
5,150
7,100
10,75
15,50
20,40
25,30
30,25
40,20
50,15
65,10
85,8
110,6
140,5
180,4
240,3
425,2
845,1.5
2105,1
5635,0.75
17120,0.5
71343,0
