CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16188726,16188728,16188732,16188730,16188749,16188748,,1. Locate the player you want to select in the list below ,,,,,,,,
16188728,16188732,16188730,16188726,16188749,16188748,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16188726,16188728,16188732,16188729,16188747,16188749,,3. Paste the ID into the roster position desired ,,,,,,,,
16188726,16188727,16188728,16188732,16188749,16188751,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16188752,16188728,16188732,16188730,16188726,16188729,,5. You can create up to 500 lineups per file ,,,,,,,,
16188727,16188728,16188732,16188726,16188749,16188751,,,,,,,,,,
16188748,16188727,16188732,16188730,16188726,16188733,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16188732,16188728,16188730,16188726,16188743,16188748,,WR,Davante Adams (16188726),Davante Adams,16188726,CPT,17400,TB@GB 01/24/2021 03:05PM ET,GB,26.8
16188728,16188732,16188726,16188729,16188747,16188749,,QB,Aaron Rodgers (16188727),Aaron Rodgers,16188727,CPT,16800,TB@GB 01/24/2021 03:05PM ET,GB,25.34
16188732,16188728,16188726,16188729,16188743,16188749,,QB,Tom Brady (16188728),Tom Brady,16188728,CPT,15900,TB@GB 01/24/2021 03:05PM ET,TB,23.34
16188730,16188728,16188732,16188726,16188749,16188748,,RB,Aaron Jones (16188729),Aaron Jones,16188729,CPT,14700,TB@GB 01/24/2021 03:05PM ET,GB,19.08
16188728,16188727,16188732,16188726,16188749,16188751,,WR,Mike Evans (16188730),Mike Evans,16188730,CPT,13500,TB@GB 01/24/2021 03:05PM ET,TB,16.04
16188726,16188728,16188730,16188729,16188749,16188752,,RB,Leonard Fournette (16188731),Leonard Fournette,16188731,CPT,12600,TB@GB 01/24/2021 03:05PM ET,TB,12.85
16188749,16188727,16188732,16188726,16188729,16188733,,WR,Chris Godwin (16188732),Chris Godwin,16188732,CPT,11700,TB@GB 01/24/2021 03:05PM ET,TB,15.74
16188727,16188728,16188730,16188726,16188749,16188757,,WR,Davante Adams (16188679),Davante Adams,16188679,FLEX,11600,TB@GB 01/24/2021 03:05PM ET,GB,26.8
